ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
J43_J44,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"3.63(2.11,5.19)","4.23(2.61,5.83)","4.38(2.66,6.12)","5.22(3.25,7.23)",0.0002,0.0002,0.0002,0.0002,1.0020,1.0037,1.0035,1.0038,1799,1421,1290,1237,2362,2348,2161,1696,"2.42(2.24,2.60)",0.0002,0.9996,2127,2487,"-0.22(-0.32,-0.12)",0.0002,1.0004,1427,2119,"-0.29(-0.45,-0.13)",0.0012,1.0027,1732,2875
"J43_J44","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","1.94(0.27,3.66)","3.15(1.43,4.88)","3.72(1.95,5.55)","3.35(1.39,5.33)","0.0232","0.0002","0.0002","0.0012","1.0029","1.0012","1.0011","1.0013",1777,1660,1476,1414,2367,2670,2168,2324,"2.43(2.23,2.62)","0.0002","1.0014",2712,2743,"-0.25(-0.36,-0.15)","0.0002","1.0002",1607,2604,"-0.33(-0.50,-0.16)","0.0002","1.0013",2819,2872
"J43_J44","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-0.11(-2.14,1.91)","0.88(-1.23,2.92)","2.75(0.65,4.79)","3.29(1.04,5.48)","0.9295","0.4161","0.0087","0.0057","1.0013","1.0025","1.0017","1.0016",1411,1250,1233,1232,2483,2332,2156,2023,"2.43(2.23,2.62)","0.0002","1.0014",2712,2743,"-0.25(-0.36,-0.15)","0.0002","1.0002",1607,2604,"-0.33(-0.50,-0.16)","0.0002","1.0013",2819,2872
"J43_J44","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","-1.26(-2.72,0.19)","-0.52(-2.03,1.03)","-0.67(-2.43,1.11)","0.65(-1.21,2.54)","0.0887","0.5061","0.4501","0.4931","1.0012","1.0012","1.0005","1.0009",2564,2058,1688,1672,3063,2731,2223,2285,"2.43(2.23,2.62)","0.0002","1.0014",2712,2743,"-0.25(-0.36,-0.15)","0.0002","1.0002",1607,2604,"-0.33(-0.50,-0.16)","0.0002","1.0013",2819,2872
"J43_J44","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","1.85(0.33,3.34)","2.17(0.59,3.70)","2.60(0.98,4.12)","2.02(0.29,3.74)","0.0187","0.0072","0.0027","0.0232","1.0012","1.0019","1.0022","1.0018",1962,1828,1596,1670,2716,2278,2225,2059,"2.43(2.23,2.62)","0.0002","1.0014",2712,2743,"-0.25(-0.36,-0.15)","0.0002","1.0002",1607,2604,"-0.33(-0.50,-0.16)","0.0002","1.0013",2819,2872
"J43_J44","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","2.01(0.52,3.48)","0.78(-0.82,2.43)","0.66(-1.16,2.52)","1.39(-0.74,3.59)","0.0067","0.3722","0.4821","0.2172","1.0004","1.0008","1.0008","1.0015",2143,1744,1559,1479,2724,3114,2632,2313,"2.43(2.23,2.62)","0.0002","1.0014",2712,2743,"-0.25(-0.36,-0.15)","0.0002","1.0002",1607,2604,"-0.33(-0.50,-0.16)","0.0002","1.0013",2819,2872
"J43_J44","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","4.22(2.61,5.75)","4.76(3.17,6.35)","4.90(3.15,6.59)","5.15(3.21,7.07)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0010","1.0009","1.0024",2047,1681,1534,1598,2251,2535,2283,2497,"2.84(2.66,3.02)","0.0002","1.0006",2094,2575,"-0.34(-0.44,-0.24)","0.0002","1.0003",1459,2303,"-0.33(-0.49,-0.18)","0.0002","1.0009",1739,2346
"J43_J44","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","2.20(0.55,3.83)","2.96(1.16,4.68)","3.49(1.62,5.30)","2.41(0.40,4.40)","0.0107","0.0012","0.0007","0.0222","1.0011","1.0016","1.0022","1.0039",1480,1229,1114,1039,2379,2057,1810,1861,"2.84(2.66,3.03)","0.0002","1.0021",1975,2361,"-0.37(-0.48,-0.26)","0.0002","1.0072",1192,1906,"-0.38(-0.54,-0.22)","0.0002","1.0015",1944,2595
"J43_J44","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","0.77(-1.17,2.94)","0.76(-1.29,2.88)","3.76(1.63,5.88)","3.91(1.74,6.09)","0.4606","0.4886","0.0012","0.0007","1.0010","1.0012","1.0012","1.0007",1255,1043,1047,1084,2037,2129,2211,2096,"2.84(2.66,3.03)","0.0002","1.0021",1975,2361,"-0.37(-0.48,-0.26)","0.0002","1.0072",1192,1906,"-0.38(-0.54,-0.22)","0.0002","1.0015",1944,2595
"J43_J44","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","-0.30(-1.77,1.20)","-0.01(-1.60,1.62)","-0.11(-1.90,1.73)","1.23(-0.67,3.29)","0.6851","0.9745","0.8950","0.2112","0.9999","1.0021","1.0035","1.0042",1926,1446,1324,1268,2605,2420,1780,1824,"2.84(2.66,3.03)","0.0002","1.0021",1975,2361,"-0.37(-0.48,-0.26)","0.0002","1.0072",1192,1906,"-0.38(-0.54,-0.22)","0.0002","1.0015",1944,2595
