ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
J45,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"0.21(0.15,0.27)","0.45(0.38,0.52)","0.69(0.61,0.77)","0.90(0.80,0.99)",0.0002,0.0002,0.0002,0.0002,1.0024,1.0037,1.0038,1.0033,2026,1733,1692,1673,2364,2318,2574,2297,"0.00(-0.01,0.01)",0.7136,1.0011,2712,3294,"-0.01(-0.02,-0.01)",0.0037,1.0005,1435,2171,"0.01(0.01,0.02)",0.0017,1.0006,2384,2697
"J45","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","0.24(0.18,0.30)","0.39(0.32,0.46)","0.57(0.49,0.65)","0.80(0.72,0.89)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0013","1.0006","1.0010",1533,1166,1158,1126,2413,1782,1676,2166,"-0.00(-0.01,0.01)","0.5426","0.9996",2705,2746,"-0.00(-0.01,0.01)","0.8955","1.0034",1423,2261,"0.01(0.00,0.02)","0.0067","0.9999",2570,2678
"J45","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","0.01(-0.07,0.09)","0.03(-0.05,0.11)","0.04(-0.04,0.13)","0.06(-0.03,0.15)","0.7821","0.5126","0.3177","0.1937","1.0028","1.0024","1.0033","1.0027",1211,1065,961,1307,1958,2021,1799,2140,"-0.00(-0.01,0.01)","0.5426","0.9996",2705,2746,"-0.00(-0.01,0.01)","0.8955","1.0034",1423,2261,"0.01(0.00,0.02)","0.0067","0.9999",2570,2678
"J45","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","0.07(-0.00,0.13)","0.04(-0.03,0.11)","0.04(-0.04,0.12)","0.03(-0.05,0.11)","0.0597","0.2467","0.3187","0.4766","1.0007","1.0015","1.0014","1.0006",2223,1678,1683,1593,2691,2708,2379,2381,"-0.00(-0.01,0.01)","0.5426","0.9996",2705,2746,"-0.00(-0.01,0.01)","0.8955","1.0034",1423,2261,"0.01(0.00,0.02)","0.0067","0.9999",2570,2678
"J45","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","0.09(0.03,0.15)","0.15(0.08,0.21)","0.21(0.14,0.27)","0.22(0.15,0.29)","0.0027","0.0002","0.0002","0.0002","1.0020","1.0022","1.0022","1.0026",2364,2198,1768,1532,2795,2847,2677,2287,"-0.00(-0.01,0.01)","0.5426","0.9996",2705,2746,"-0.00(-0.01,0.01)","0.8955","1.0034",1423,2261,"0.01(0.00,0.02)","0.0067","0.9999",2570,2678
"J45","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.03(-0.09,0.03)","-0.03(-0.11,0.04)","0.00(-0.09,0.09)","-0.07(-0.18,0.04)","0.3497","0.4131","0.9425","0.2102","1.0001","1.0019","1.0024","1.0013",1751,1380,1274,1163,2400,2322,1978,1981,"-0.00(-0.01,0.01)","0.5426","0.9996",2705,2746,"-0.00(-0.01,0.01)","0.8955","1.0034",1423,2261,"0.01(0.00,0.02)","0.0067","0.9999",2570,2678
"J45","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","0.22(0.16,0.28)","0.42(0.36,0.49)","0.61(0.53,0.68)","0.86(0.78,0.95)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0014","1.0014","1.0016",1901,1621,1481,1446,2583,2681,2172,2143,"0.00(-0.01,0.01)","0.8045","1.0008",2866,3199,"-0.01(-0.02,-0.01)","0.0002","1.0025",1556,2654,"0.01(0.00,0.02)","0.0057","0.9997",2181,2595
"J45","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","0.22(0.16,0.28)","0.36(0.29,0.42)","0.52(0.44,0.59)","0.73(0.64,0.81)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0004","1.0002","1.0000",1938,1621,1477,1431,2947,2705,2621,2310,"-0.00(-0.01,0.01)","0.5581","1.0009",3025,3137,"-0.01(-0.01,0.00)","0.1542","1.0013",1478,2367,"0.01(0.00,0.02)","0.0092","1.0008",2728,2794
"J45","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","0.02(-0.05,0.10)","0.03(-0.05,0.11)","0.04(-0.05,0.12)","0.11(0.02,0.19)","0.5591","0.5171","0.4001","0.0177","1.0004","1.0003","1.0022","1.0011",1640,1312,1359,1485,2787,2031,1935,2431,"-0.00(-0.01,0.01)","0.5581","1.0009",3025,3137,"-0.01(-0.01,0.00)","0.1542","1.0013",1478,2367,"0.01(0.00,0.02)","0.0092","1.0008",2728,2794
"J45","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","-0.01(-0.07,0.05)","-0.01(-0.07,0.06)","0.01(-0.07,0.08)","0.07(-0.01,0.15)","0.7956","0.8735","0.8860","0.0922","1.0040","1.0007","1.0023","1.0029",2116,1660,1395,1338,2918,2406,2414,2224,"-0.00(-0.01,0.01)","0.5581","1.0009",3025,3137,"-0.01(-0.01,0.00)","0.1542","1.0013",1478,2367,"0.01(0.00,0.02)","0.0092","1.0008",2728,2794
