ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"3.70(2.89,4.51)","4.14(3.31,4.96)","4.92(4.02,5.80)","6.44(5.45,7.41)",0.0002,0.0002,0.0002,0.0002,1.0029,1.0020,1.0013,1.0012,2382,1823,1658,1856,2411,2447,2145,2526,"0.67(0.57,0.77)",0.0002,1.0007,3190,3129,"-0.14(-0.21,-0.07)",0.0002,1.0010,2074,1899,"0.21(0.12,0.30)",0.0002,0.9999,3105,2837
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","3.90(3.06,4.75)","4.03(3.15,4.90)","4.24(3.32,5.16)","5.24(4.24,6.24)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0014","1.0009","1.0018",1874,1577,1498,1406,2523,2282,2279,2082,"0.65(0.56,0.75)","0.0002","1.0007",2429,2596,"-0.03(-0.10,0.05)","0.4666","1.0016",1507,1772,"0.15(0.07,0.24)","0.0022","1.0015",2596,2525
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-0.23(-1.28,0.80)","0.61(-0.42,1.63)","1.10(0.05,2.11)","1.20(0.10,2.30)","0.6751","0.2512","0.0407","0.0337","1.0044","1.0043","1.0039","1.0038",1142,1178,1303,1208,1931,2209,2060,2032,"0.65(0.56,0.75)","0.0002","1.0007",2429,2596,"-0.03(-0.10,0.05)","0.4666","1.0016",1507,1772,"0.15(0.07,0.24)","0.0022","1.0015",2596,2525
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","0.21(-0.50,0.93)","0.58(-0.24,1.41)","-0.29(-1.15,0.58)","0.02(-0.91,0.93)","0.5796","0.1687","0.5066","0.9745","1.0015","1.0008","1.0027","1.0004",3022,2164,1880,1790,3169,2449,2489,2303,"0.65(0.56,0.75)","0.0002","1.0007",2429,2596,"-0.03(-0.10,0.05)","0.4666","1.0016",1507,1772,"0.15(0.07,0.24)","0.0022","1.0015",2596,2525
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","2.27(1.54,3.00)","2.85(2.08,3.64)","3.20(2.44,4.00)","4.30(3.44,5.14)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0006","1.0007","1.0010",2276,1865,1783,1711,2908,2624,2354,2828,"0.65(0.56,0.75)","0.0002","1.0007",2429,2596,"-0.03(-0.10,0.05)","0.4666","1.0016",1507,1772,"0.15(0.07,0.24)","0.0022","1.0015",2596,2525
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-2.33(-3.10,-1.53)","-2.75(-3.62,-1.86)","-2.75(-3.70,-1.75)","-2.96(-4.06,-1.82)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0013","1.0014","1.0005",2279,1896,1669,1712,2574,2561,2457,2273,"0.65(0.56,0.75)","0.0002","1.0007",2429,2596,"-0.03(-0.10,0.05)","0.4666","1.0016",1507,1772,"0.15(0.07,0.24)","0.0022","1.0015",2596,2525
"K70_K76_C22","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","4.05(3.15,4.99)","4.91(3.99,5.87)","5.62(4.56,6.65)","7.25(6.09,8.41)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0016","1.0025","1.0026",1920,1403,1333,1314,2691,2024,1983,1891,"0.85(0.74,0.95)","0.0002","0.9997",2791,2529,"-0.20(-0.28,-0.13)","0.0002","1.0023",1700,1754,"0.23(0.13,0.34)","0.0002","1.0023",2224,2673
"K70_K76_C22","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","3.57(2.60,4.55)","3.49(2.45,4.49)","4.01(2.94,5.08)","5.41(4.20,6.58)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0018","1.0014","1.0006",1516,1363,1253,1325,2320,2100,1916,2048,"0.82(0.72,0.93)","0.0002","1.0002",2789,2478,"-0.09(-0.17,-0.01)","0.0292","1.0010",1877,2367,"0.19(0.09,0.28)","0.0002","1.0019",2661,2770
"K70_K76_C22","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","-0.03(-1.19,1.13)","0.82(-0.35,2.02)","1.75(0.57,2.91)","2.23(0.99,3.47)","0.9510","0.1722","0.0022","0.0002","1.0014","1.0019","1.0009","1.0016",1444,1362,1288,1297,2255,2365,2231,1792,"0.82(0.72,0.93)","0.0002","1.0002",2789,2478,"-0.09(-0.17,-0.01)","0.0292","1.0010",1877,2367,"0.19(0.09,0.28)","0.0002","1.0019",2661,2770
"K70_K76_C22","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.99(0.16,1.81)","0.78(-0.08,1.65)","0.46(-0.56,1.44)","0.76(-0.31,1.81)","0.0197","0.0757","0.3617","0.1607","1.0010","1.0000","1.0013","1.0021",2477,2078,1790,1725,2626,2625,2293,2374,"0.82(0.72,0.93)","0.0002","1.0002",2789,2478,"-0.09(-0.17,-0.01)","0.0292","1.0010",1877,2367,"0.19(0.09,0.28)","0.0002","1.0019",2661,2770
"K70_K76_C22","2000_2005","2011_2015",10,"EQI_Built+SM+PA+OB","0.00","2.65(1.79,3.49)","3.33(2.49,4.18)","4.18(3.30,5.03)","5.04(4.09,5.96)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0041","1.0032","1.0021",2514,1667,1622,1704,2654,2464,1936,2575,"0.82(0.72,0.93)","0.0002","1.0002",2789,2478,"-0.09(-0.17,-0.01)","0.0292","1.0010",1877,2367,"0.19(0.09,0.28)","0.0002","1.0019",2661,2770
"K70_K76_C22","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","-1.37(-2.26,-0.50)","-2.60(-3.61,-1.64)","-2.85(-3.94,-1.77)","-3.25(-4.51,-2.04)","0.0037","0.0002","0.0002","0.0002","1.0016","0.9999","1.0018","1.0005",2311,1847,1775,1644,2788,2690,2351,2205,"0.82(0.72,0.93)","0.0002","1.0002",2789,2478,"-0.09(-0.17,-0.01)","0.0292","1.0010",1877,2367,"0.19(0.09,0.28)","0.0002","1.0019",2661,2770
