ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
K70_K76,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"3.21(2.56,3.84)","3.74(3.07,4.41)","4.26(3.56,4.99)","5.23(4.42,6.04)",0.0002,0.0002,0.0002,0.0002,1.0018,1.0012,1.0018,1.0020,2739,2391,2042,1996,3301,3294,3022,2871,"0.61(0.54,0.69)",0.0002,1.0005,3510,3456,"-0.09(-0.15,-0.03)",0.0019,1.0001,1992,2783,"0.14(0.06,0.21)",0.0002,1.0004,2968,3498
"K70_K76","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","3.19(2.50,3.87)","3.37(2.64,4.06)","3.51(2.77,4.22)","3.99(3.17,4.77)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0020","1.0001","1.0008",2304,1990,1754,1730,3344,2965,2239,2257,"0.61(0.54,0.68)","0.0002","1.0001",4282,3848,"0.02(-0.05,0.08)","0.6088","1.0009",2003,2875,"0.12(0.04,0.19)","0.0023","1.0033",3257,3545
"K70_K76","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","0.36(-0.41,1.13)","1.05(0.21,1.88)","1.21(0.40,2.04)","1.63(0.74,2.49)","0.3760","0.0144","0.0040","0.0015","1.0022","1.0023","1.0030","1.0021",2253,2123,1994,2049,3239,2710,3127,3263,"0.61(0.54,0.68)","0.0002","1.0001",4282,3848,"0.02(-0.05,0.08)","0.6088","1.0009",2003,2875,"0.12(0.04,0.19)","0.0023","1.0033",3257,3545
"K70_K76","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","0.00(-0.57,0.57)","0.15(-0.48,0.79)","-0.28(-0.98,0.43)","-0.07(-0.81,0.67)","0.9971","0.6580","0.4214","0.8550","1.0014","1.0030","1.0039","1.0040",2593,2046,1844,2042,3612,3097,2700,3075,"0.61(0.54,0.68)","0.0002","1.0001",4282,3848,"0.02(-0.05,0.08)","0.6088","1.0009",2003,2875,"0.12(0.04,0.19)","0.0023","1.0033",3257,3545
"K70_K76","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","1.96(1.36,2.54)","2.52(1.91,3.13)","2.85(2.22,3.46)","3.73(3.07,4.40)","0.0002","0.0002","0.0002","0.0002","1.0010","0.9999","1.0000","1.0011",3155,2485,2345,2185,3592,3731,3211,2965,"0.61(0.54,0.68)","0.0002","1.0001",4282,3848,"0.02(-0.05,0.08)","0.6088","1.0009",2003,2875,"0.12(0.04,0.19)","0.0023","1.0033",3257,3545
"K70_K76","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-1.83(-2.47,-1.20)","-2.01(-2.70,-1.30)","-2.24(-3.00,-1.47)","-2.40(-3.30,-1.48)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0014","1.0012","1.0010",2696,2205,1988,1897,3507,3159,2844,2616,"0.61(0.54,0.68)","0.0002","1.0001",4282,3848,"0.02(-0.05,0.08)","0.6088","1.0009",2003,2875,"0.12(0.04,0.19)","0.0023","1.0033",3257,3545
"K70_K76","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","3.21(2.50,3.91)","4.04(3.29,4.77)","4.37(3.56,5.15)","5.34(4.42,6.25)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0012","1.0020","1.0024",3108,2603,2136,2124,3111,3302,3075,2950,"0.71(0.62,0.79)","0.0002","1.0002",3545,3739,"-0.13(-0.20,-0.07)","0.0002","1.0023",1993,3146,"0.12(0.04,0.21)","0.0044","1.0012",2965,3483
"K70_K76","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","3.22(2.41,4.02)","2.95(2.14,3.77)","3.33(2.52,4.15)","3.92(3.01,4.86)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0011","1.0025","1.0017",2195,2101,1789,1662,2950,3066,2572,2993,"0.68(0.60,0.77)","0.0002","1.0009",3663,3182,"-0.02(-0.09,0.05)","0.5426","1.0014",1939,2413,"0.10(0.02,0.17)","0.0140","1.0011",3659,3557
"K70_K76","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","0.43(-0.49,1.36)","1.02(0.05,2.00)","2.05(1.07,3.01)","2.15(1.13,3.16)","0.3672","0.0414","0.0002","0.0002","1.0015","1.0029","1.0028","1.0022",1828,1515,1626,1603,2747,2667,2601,2376,"0.68(0.60,0.77)","0.0002","1.0009",3663,3182,"-0.02(-0.09,0.05)","0.5426","1.0014",1939,2413,"0.10(0.02,0.17)","0.0140","1.0011",3659,3557
"K70_K76","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.50(-0.16,1.16)","0.39(-0.32,1.10)","0.15(-0.68,0.97)","0.49(-0.43,1.37)","0.1352","0.2951","0.7209","0.2839","0.9999","1.0011","1.0015","1.0023",2571,1960,1794,1922,3266,3207,3136,2346,"0.68(0.60,0.77)","0.0002","1.0009",3663,3182,"-0.02(-0.09,0.05)","0.5426","1.0014",1939,2413,"0.10(0.02,0.17)","0.0140","1.0011",3659,3557
"K70_K76","2000_2005","2011_2015",10,"EQI_Built+SM+PA+OB","0.00","2.01(1.33,2.65)","2.55(1.85,3.23)","3.39(2.67,4.07)","3.91(3.15,4.64)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0005","1.0006","1.0008",2687,2401,2225,2298,3709,3120,2961,3347,"0.68(0.60,0.77)","0.0002","1.0009",3663,3182,"-0.02(-0.09,0.05)","0.5426","1.0014",1939,2413,"0.10(0.02,0.17)","0.0140","1.0011",3659,3557
"K70_K76","2000_2005","2011_2015",10,"EQI_Social+SM+PA+OB","0.00","-0.84(-1.54,-0.11)","-2.01(-2.82,-1.19)","-2.31(-3.21,-1.40)","-2.82(-3.91,-1.79)","0.0256","0.0002","0.0002","0.0002","1.0018","1.0006","1.0024","1.0033",2459,1848,1587,1623,3249,2936,2243,2044,"0.68(0.60,0.77)","0.0002","1.0009",3663,3182,"-0.02(-0.09,0.05)","0.5426","1.0014",1939,2413,"0.10(0.02,0.17)","0.0140","1.0011",3659,3557
"K70_K76","2000_2005","2016_2020",15,"EQI+SM+PA+OB","0.00","3.20(2.42,4.04)","3.88(3.07,4.69)","4.25(3.35,5.14)","4.98(3.97,5.97)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0021","1.0031","1.0029",1990,1567,1436,1454,2458,2814,2547,2689,"0.87(0.78,0.96)","0.0002","1.0019",2550,2977,"-0.16(-0.23,-0.10)","0.0002","1.0021",1639,2427,"0.14(0.05,0.23)","0.0027","1.0016",2270,2987
"K70_K76","2000_2005","2016_2020",15,"EQI_Air+SM+PA+OB","0.00","2.93(2.09,3.78)","2.51(1.66,3.37)","2.81(1.93,3.69)","2.83(1.86,3.83)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0015","1.0010","1.0003",2326,1853,1760,1732,2584,2404,2725,2857,"0.86(0.77,0.95)","0.0002","1.0018",3371,3244,"-0.05(-0.12,0.02)","0.2143","1.0031",1711,2306,"0.11(0.03,0.20)","0.0102","1.0008",3304,3220
"K70_K76","2000_2005","2016_2020",15,"EQI_Water+SM+PA+OB","0.00","1.09(0.10,2.09)","2.46(1.42,3.52)","3.40(2.38,4.49)","2.95(1.86,4.11)","0.0327","0.0002","0.0002","0.0002","1.0016","1.0023","1.0030","1.0045",1841,1645,1592,1510,2405,2419,2563,2281,"0.86(0.77,0.95)","0.0002","1.0018",3371,3244,"-0.05(-0.12,0.02)","0.2143","1.0031",1711,2306,"0.11(0.03,0.20)","0.0102","1.0008",3304,3220
"K70_K76","2000_2005","2016_2020",15,"EQI_Land+SM+PA+OB","0.00","1.06(0.34,1.73)","0.53(-0.22,1.26)","0.49(-0.38,1.33)","0.31(-0.60,1.23)","0.0035","0.1685","0.2610","0.5072","1.0014","1.0022","1.0019","1.0015",3042,2458,2023,2045,3292,3549,2472,2648,"0.86(0.77,0.95)","0.0002","1.0018",3371,3244,"-0.05(-0.12,0.02)","0.2143","1.0031",1711,2306,"0.11(0.03,0.20)","0.0102","1.0008",3304,3220
"K70_K76","2000_2005","2016_2020",15,"EQI_Built+SM+PA+OB","0.00","1.87(1.16,2.57)","2.82(2.07,3.56)","3.73(3.00,4.48)","4.58(3.75,5.38)","0.0002","0.0002","0.0002","0.0002","1.0000","0.9999","1.0001","1.0003",3091,2644,2406,2276,3118,2918,3202,2816,"0.86(0.77,0.95)","0.0002","1.0018",3371,3244,"-0.05(-0.12,0.02)","0.2143","1.0031",1711,2306,"0.11(0.03,0.20)","0.0102","1.0008",3304,3220
"K70_K76","2000_2005","2016_2020",15,"EQI_Social+SM+PA+OB","0.00","-1.69(-2.46,-0.92)","-2.89(-3.76,-2.05)","-3.13(-4.07,-2.20)","-3.25(-4.33,-2.17)","0.0002","0.0002","0.0002","0.0002","1.0031","1.0020","1.0041","1.0041",1723,1603,1370,1209,2584,2520,2109,2065,"0.86(0.77,0.95)","0.0002","1.0018",3371,3244,"-0.05(-0.12,0.02)","0.2143","1.0031",1711,2306,"0.11(0.03,0.20)","0.0102","1.0008",3304,3220
"K70_K76","2000_2005","2021_2024",20,"EQI+SM+PA+OB","0.00","4.29(3.03,5.50)","5.50(4.22,6.75)","5.47(4.12,6.82)","5.64(4.13,7.16)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0012","1.0021","1.0013",1987,1685,1505,1452,3065,2907,2291,2399,"1.38(1.23,1.52)","0.0002","0.9996",2387,2951,"-0.24(-0.32,-0.15)","0.0002","1.0044",1435,2517,"0.21(0.08,0.34)","0.0031","1.0007",2106,2848
"K70_K76","2000_2005","2021_2024",20,"EQI_Air+SM+PA+OB","0.00","5.54(4.24,6.83)","4.26(2.94,5.62)","4.36(2.99,5.76)","3.60(2.06,5.16)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0011","1.0009","1.0015",1746,1606,1498,1432,2550,2735,2537,2372,"1.32(1.18,1.46)","0.0002","1.0006",3216,3236,"-0.10(-0.19,-0.01)","0.0365","1.0050",1784,2781,"0.13(0.01,0.25)","0.0385","1.0025",2858,3456
"K70_K76","2000_2005","2021_2024",20,"EQI_Water+SM+PA+OB","0.00","1.30(-0.22,2.86)","2.10(0.54,3.72)","3.89(2.28,5.47)","2.98(1.32,4.66)","0.0969","0.0090","0.0002","0.0006","1.0033","1.0038","1.0050","1.0045",1810,1632,1686,1628,2756,2783,2768,2290,"1.32(1.18,1.46)","0.0002","1.0006",3216,3236,"-0.10(-0.19,-0.01)","0.0365","1.0050",1784,2781,"0.13(0.01,0.25)","0.0385","1.0025",2858,3456
"K70_K76","2000_2005","2021_2024",20,"EQI_Land+SM+PA+OB","0.00","2.23(1.12,3.35)","1.11(-0.12,2.35)","0.55(-0.76,1.93)","0.87(-0.60,2.34)","0.0002","0.0781","0.4205","0.2389","1.0003","1.0009","1.0014","1.0016",2302,2031,1712,1680,3240,2939,2714,2471,"1.32(1.18,1.46)","0.0002","1.0006",3216,3236,"-0.10(-0.19,-0.01)","0.0365","1.0050",1784,2781,"0.13(0.01,0.25)","0.0385","1.0025",2858,3456
"K70_K76","2000_2005","2021_2024",20,"EQI_Built+SM+PA+OB","0.00","3.42(2.31,4.54)","4.57(3.45,5.70)","6.28(5.11,7.46)","6.91(5.66,8.16)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0014","1.0016","1.0017",2702,2290,2087,2019,3488,3079,2555,3096,"1.32(1.18,1.46)","0.0002","1.0006",3216,3236,"-0.10(-0.19,-0.01)","0.0365","1.0050",1784,2781,"0.13(0.01,0.25)","0.0385","1.0025",2858,3456
"K70_K76","2000_2005","2021_2024",20,"EQI_Social+SM+PA+OB","0.00","-2.53(-3.74,-1.31)","-4.76(-6.10,-3.48)","-5.22(-6.70,-3.76)","-5.60(-7.27,-3.89)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0008","1.0018","1.0010",2212,2047,1824,1697,3092,2940,2980,2635,"1.32(1.18,1.46)","0.0002","1.0006",3216,3236,"-0.10(-0.19,-0.01)","0.0365","1.0050",1784,2781,"0.13(0.01,0.25)","0.0385","1.0025",2858,3456
"K70_K76","2006_2010","2011_2015",5,"EQI+SM+PA+OB","0.00","0.54(-0.26,1.32)","0.30(-0.54,1.15)","-0.11(-1.00,0.74)","-0.64(-1.56,0.25)","0.1843","0.4605","0.8150","0.1502","1.0025","1.0036","1.0020","1.0023",2483,2082,1992,1967,2964,2771,2677,2841,"0.66(0.58,0.74)","0.0002","1.0009",4155,3407,"-0.04(-0.11,0.02)","0.2031","1.0009",2456,3236,"-0.02(-0.09,0.06)","0.6784","1.0011",2407,2922
"K70_K76","2006_2010","2011_2015",5,"EQI_Air+SM+PA+OB","0.00","-0.94(-1.66,-0.24)","-0.95(-1.73,-0.17)","-0.46(-1.26,0.36)","-0.34(-1.19,0.51)","0.0069","0.0215","0.2768","0.4301","1.0016","1.0020","1.0001","1.0016",2462,2175,2223,2172,2903,2505,2835,3068,"0.72(0.64,0.80)","0.0002","1.0009",3226,2833,"-0.21(-0.28,-0.14)","0.0002","1.0012",2166,2985,"0.12(0.04,0.20)","0.0056","1.0027",2732,2596
"K70_K76","2006_2010","2011_2015",5,"EQI_Water+SM+PA+OB","0.00","-0.61(-1.45,0.19)","0.64(-0.24,1.50)","1.57(0.69,2.43)","1.75(0.85,2.67)","0.1452","0.1502","0.0015","0.0006","1.0045","1.0039","1.0058","1.0036",2388,2150,1940,2195,3507,2963,2759,3353,"0.72(0.64,0.80)","0.0002","1.0009",3226,2833,"-0.21(-0.28,-0.14)","0.0002","1.0012",2166,2985,"0.12(0.04,0.20)","0.0056","1.0027",2732,2596
"K70_K76","2006_2010","2011_2015",5,"EQI_Land+SM+PA+OB","0.00","0.26(-0.39,0.89)","0.02(-0.64,0.67)","-0.15(-0.85,0.53)","-0.72(-1.47,0.01)","0.4135","0.9404","0.6917","0.0544","1.0008","1.0011","1.0019","1.0019",3209,2741,2668,2721,3863,3525,3325,3348,"0.72(0.64,0.80)","0.0002","1.0009",3226,2833,"-0.21(-0.28,-0.14)","0.0002","1.0012",2166,2985,"0.12(0.04,0.20)","0.0056","1.0027",2732,2596
"K70_K76","2006_2010","2011_2015",5,"EQI_Built+SM+PA+OB","0.00","0.31(-0.39,0.99)","-0.34(-1.08,0.39)","-0.59(-1.35,0.16)","-1.47(-2.24,-0.71)","0.3797","0.3630","0.1306","0.0006","1.0034","1.0035","1.0037","1.0051",2412,2115,2154,2123,3189,2759,2890,2948,"0.72(0.64,0.80)","0.0002","1.0009",3226,2833,"-0.21(-0.28,-0.14)","0.0002","1.0012",2166,2985,"0.12(0.04,0.20)","0.0056","1.0027",2732,2596
"K70_K76","2006_2010","2011_2015",5,"EQI_Social+SM+PA+OB","0.00","-1.38(-2.01,-0.71)","-2.16(-2.92,-1.39)","-3.79(-4.64,-2.92)","-5.01(-6.01,-4.04)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0020","1.0014","1.0006",2453,1953,2026,2205,2928,3307,2844,3033,"0.72(0.64,0.80)","0.0002","1.0009",3226,2833,"-0.21(-0.28,-0.14)","0.0002","1.0012",2166,2985,"0.12(0.04,0.20)","0.0056","1.0027",2732,2596
"K70_K76","2006_2010","2016_2020",10,"EQI+SM+PA+OB","0.00","0.40(-0.40,1.22)","0.39(-0.46,1.27)","-0.45(-1.35,0.46)","-1.16(-2.09,-0.23)","0.3397","0.3751","0.3231","0.0106","1.0022","1.0024","1.0034","1.0044",2370,1978,1876,1838,3132,2812,2503,2250,"0.78(0.69,0.87)","0.0002","1.0019",3398,3617,"-0.11(-0.18,-0.04)","0.0006","1.0021",2240,2891,"0.00(-0.08,0.09)","0.9000","1.0022",2411,2684
