ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
K70,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"1.21(0.92,1.50)","1.81(1.50,2.14)","2.03(1.67,2.38)","2.46(2.06,2.86)",0.0002,0.0002,0.0002,0.0002,1.0009,1.0014,1.0016,1.0015,2665,2006,1745,1660,2980,2947,2188,2896,"0.27(0.23,0.32)",0.0002,1.0006,2412,2543,"0.02(-0.01,0.06)",0.1967,1.0004,1632,2244,"0.03(-0.01,0.07)",0.1287,1.0013,2329,2750
"K70","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","1.64(1.29,1.99)","1.82(1.46,2.18)","1.82(1.44,2.19)","1.68(1.27,2.09)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0001","1.0002","1.0001",2080,1682,1492,1364,2733,2666,2049,2332,"0.27(0.23,0.30)","0.0002","1.0009",3384,3262,"0.10(0.06,0.14)","0.0002","1.0016",1361,2192,"0.03(-0.01,0.07)","0.1747","1.0020",2451,2781
"K70","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","0.26(-0.14,0.67)","0.42(0.01,0.86)","0.70(0.26,1.13)","0.84(0.38,1.31)","0.2037","0.0482","0.0022","0.0002","1.0004","0.9998","1.0003","1.0009",1391,1415,1377,1442,2038,2301,1992,2336,"0.27(0.23,0.30)","0.0002","1.0009",3384,3262,"0.10(0.06,0.14)","0.0002","1.0016",1361,2192,"0.03(-0.01,0.07)","0.1747","1.0020",2451,2781
"K70","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","0.07(-0.23,0.37)","0.26(-0.08,0.57)","0.05(-0.32,0.41)","0.30(-0.10,0.70)","0.6406","0.1332","0.7806","0.1477","1.0020","1.0034","1.0026","1.0020",2362,1889,1735,1735,2660,2196,2268,2155,"0.27(0.23,0.30)","0.0002","1.0009",3384,3262,"0.10(0.06,0.14)","0.0002","1.0016",1361,2192,"0.03(-0.01,0.07)","0.1747","1.0020",2451,2781
"K70","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","0.77(0.49,1.04)","1.05(0.76,1.35)","1.20(0.90,1.51)","1.74(1.41,2.08)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0014","1.0001","1.0000",2250,2157,2052,2035,2484,3287,3058,2809,"0.27(0.23,0.30)","0.0002","1.0009",3384,3262,"0.10(0.06,0.14)","0.0002","1.0016",1361,2192,"0.03(-0.01,0.07)","0.1747","1.0020",2451,2781
"K70","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.77(-1.08,-0.46)","-1.05(-1.41,-0.67)","-0.96(-1.37,-0.54)","-1.30(-1.79,-0.80)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0001","1.0012","1.0022",1617,1292,1264,1198,2450,2033,2253,1946,"0.27(0.23,0.30)","0.0002","1.0009",3384,3262,"0.10(0.06,0.14)","0.0002","1.0016",1361,2192,"0.03(-0.01,0.07)","0.1747","1.0020",2451,2781
"K70","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","1.32(0.97,1.67)","2.31(1.92,2.69)","2.44(2.02,2.84)","2.89(2.43,3.35)","0.0002","0.0002","0.0002","0.0002","1.0028","1.0024","1.0029","1.0027",1238,1003,1026,1194,2425,2042,1971,2220,"0.31(0.27,0.36)","0.0002","1.0008",2191,2656,"0.02(-0.02,0.06)","0.4171","1.0063",1165,1933,"0.00(-0.04,0.05)","0.9135","1.0072",1457,1856
"K70","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","1.96(1.59,2.34)","1.95(1.55,2.35)","1.93(1.50,2.34)","1.77(1.33,2.22)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0009","1.0006","1.0018",1845,1583,1524,1309,2241,2174,2524,2240,"0.30(0.26,0.35)","0.0002","1.0010",2886,3109,"0.11(0.07,0.15)","0.0002","1.0033",1452,2204,"-0.00(-0.04,0.04)","0.9635","1.0012",2589,2728
"K70","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","0.17(-0.26,0.60)","0.33(-0.13,0.81)","0.58(0.13,1.05)","0.76(0.25,1.28)","0.4701","0.1687","0.0112","0.0022","1.0048","1.0059","1.0062","1.0054",1449,1303,1328,1325,2211,1854,2087,2146,"0.30(0.26,0.35)","0.0002","1.0010",2886,3109,"0.11(0.07,0.15)","0.0002","1.0033",1452,2204,"-0.00(-0.04,0.04)","0.9635","1.0012",2589,2728
"K70","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.23(-0.12,0.56)","0.37(-0.01,0.74)","0.36(-0.08,0.78)","0.70(0.25,1.15)","0.1967","0.0572","0.1042","0.0057","1.0002","0.9997","0.9999","1.0004",2286,1856,1674,1597,2562,2449,2211,2076,"0.30(0.26,0.35)","0.0002","1.0010",2886,3109,"0.11(0.07,0.15)","0.0002","1.0033",1452,2204,"-0.00(-0.04,0.04)","0.9635","1.0012",2589,2728
"K70","2000_2005","2011_2015",10,"EQI_Built+SM+PA+OB","0.00","0.70(0.40,1.01)","1.23(0.90,1.55)","1.63(1.30,1.96)","2.00(1.63,2.37)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0001","1.0013","1.0020",2843,2051,1913,1962,3162,2854,2923,2760,"0.30(0.26,0.35)","0.0002","1.0010",2886,3109,"0.11(0.07,0.15)","0.0002","1.0033",1452,2204,"-0.00(-0.04,0.04)","0.9635","1.0012",2589,2728
