ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
K71_K73_K74,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"1.71(1.40,2.03)","2.21(1.89,2.53)","2.66(2.31,3.01)","2.94(2.56,3.32)",0.0002,0.0002,0.0002,0.0002,1.0008,1.0014,1.0022,1.0014,2759,2246,1879,1728,2995,2743,2552,2480,"0.18(0.14,0.22)",0.0002,1.0011,2611,3004,"-0.06(-0.09,-0.02)",0.0007,1.0037,1529,2435,"0.10(0.06,0.14)",0.0002,1.0033,2297,2971
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","1.69(1.38,1.99)","2.30(1.97,2.62)","2.39(2.06,2.72)","2.53(2.18,2.88)","0.0002","0.0002","0.0002","0.0002","1.0001","0.9996","1.0016","1.0009",2462,2035,1765,1701,3060,2424,2244,2529,"0.16(0.13,0.20)","0.0002","1.0004",3188,3016,"-0.02(-0.06,0.01)","0.2202","1.0000",1450,2205,"0.08(0.04,0.12)","0.0002","0.9999",2302,2849
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","0.23(-0.14,0.59)","0.53(0.13,0.91)","0.68(0.30,1.06)","0.98(0.56,1.37)","0.2262","0.0087","0.0012","0.0002","1.0016","1.0023","1.0022","1.0016",1637,1613,1452,1521,2472,2350,2510,2008,"0.16(0.13,0.20)","0.0002","1.0004",3188,3016,"-0.02(-0.06,0.01)","0.2202","1.0000",1450,2205,"0.08(0.04,0.12)","0.0002","0.9999",2302,2849
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","-0.11(-0.41,0.21)","-0.10(-0.42,0.23)","-0.50(-0.86,-0.15)","-0.60(-0.98,-0.22)","0.4801","0.5401","0.0052","0.0022","1.0005","1.0013","1.0013","1.0008",2374,1837,1570,1568,3015,2693,2662,2765,"0.16(0.13,0.20)","0.0002","1.0004",3188,3016,"-0.02(-0.06,0.01)","0.2202","1.0000",1450,2205,"0.08(0.04,0.12)","0.0002","0.9999",2302,2849
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","0.99(0.71,1.27)","1.30(1.01,1.58)","1.35(1.05,1.66)","1.39(1.07,1.73)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0007","1.0016","1.0020",2653,2344,2086,2241,2570,2789,2798,2883,"0.16(0.13,0.20)","0.0002","1.0004",3188,3016,"-0.02(-0.06,0.01)","0.2202","1.0000",1450,2205,"0.08(0.04,0.12)","0.0002","0.9999",2302,2849
"K71_K73_K74","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.44(-0.77,-0.12)","-0.50(-0.86,-0.15)","-0.61(-1.00,-0.21)","-0.61(-1.08,-0.15)","0.0082","0.0052","0.0017","0.0097","1.0023","1.0023","1.0021","1.0014",1924,1529,1424,1442,3243,2296,2340,1899,"0.16(0.13,0.20)","0.0002","1.0004",3188,3016,"-0.02(-0.06,0.01)","0.2202","1.0000",1450,2205,"0.08(0.04,0.12)","0.0002","0.9999",2302,2849
"K71_K73_K74","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","1.64(1.28,1.98)","2.05(1.69,2.41)","2.41(2.01,2.81)","2.78(2.32,3.21)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0023","1.0023","1.0033",2276,1952,1745,1593,2912,2256,2302,2372,"0.22(0.17,0.26)","0.0002","1.0009",2847,3417,"-0.12(-0.16,-0.08)","0.0002","1.0070",1469,2408,"0.11(0.06,0.15)","0.0002","1.0037",2234,2627
"K71_K73_K74","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","2.20(1.84,2.54)","2.45(2.08,2.82)","2.57(2.18,2.94)","2.75(2.35,3.16)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0024","1.0028","1.0024",2336,1946,1642,1558,2719,2308,2090,2565,"0.19(0.15,0.23)","0.0002","1.0006",2832,2422,"-0.08(-0.11,-0.04)","0.0002","1.0018",1736,2584,"0.08(0.04,0.13)","0.0002","1.0013",2471,2792
"K71_K73_K74","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","0.05(-0.37,0.47)","0.50(0.04,0.94)","0.84(0.40,1.30)","0.86(0.38,1.34)","0.8165","0.0272","0.0002","0.0012","1.0023","1.0016","1.0027","1.0016",1637,1613,1508,1573,2593,1947,1864,2042,"0.19(0.15,0.23)","0.0002","1.0006",2832,2422,"-0.08(-0.11,-0.04)","0.0002","1.0018",1736,2584,"0.08(0.04,0.13)","0.0002","1.0013",2471,2792
"K71_K73_K74","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","0.05(-0.30,0.39)","-0.15(-0.52,0.21)","-0.49(-0.89,-0.08)","-0.52(-0.94,-0.10)","0.8110","0.4126","0.0182","0.0142","1.0005","1.0011","1.0013","1.0020",2614,2165,1780,1640,3012,2580,2685,2118,"0.19(0.15,0.23)","0.0002","1.0006",2832,2422,"-0.08(-0.11,-0.04)","0.0002","1.0018",1736,2584,"0.08(0.04,0.13)","0.0002","1.0013",2471,2792
"K71_K73_K74","2000_2005","2011_2015",10,"EQI_Built+SM+PA+OB","0.00","1.08(0.76,1.42)","1.20(0.88,1.52)","1.46(1.12,1.79)","1.34(0.98,1.70)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0012","1.0019","1.0019",2585,2215,1921,1943,2665,2579,2461,2345,"0.19(0.15,0.23)","0.0002","1.0006",2832,2422,"-0.08(-0.11,-0.04)","0.0002","1.0018",1736,2584,"0.08(0.04,0.13)","0.0002","1.0013",2471,2792
