ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"3.21(2.38,4.07)","3.81(2.94,4.69)","4.61(3.67,5.55)","5.76(4.72,6.80)",0.0002,0.0002,0.0002,0.0002,1.0031,1.0016,1.0026,1.0022,1763,1460,1313,1261,2257,2081,1780,1934,"0.28(0.18,0.37)",0.0002,1.0008,2505,2710,"-0.30(-0.37,-0.22)",0.0002,1.0004,1618,2173,"0.50(0.41,0.59)",0.0002,1.0011,2343,2683
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","2.64(1.74,3.56)","2.67(1.73,3.61)","2.99(2.00,3.97)","3.77(2.71,4.77)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0029","1.0021","1.0020",2065,1685,1524,1524,2429,2288,2219,2126,"0.31(0.22,0.41)","0.0002","1.0011",2731,2802,"-0.24(-0.31,-0.16)","0.0002","1.0018",1512,2236,"0.46(0.37,0.56)","0.0002","1.0013",2693,2733
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-1.31(-2.46,-0.22)","0.51(-0.63,1.63)","0.88(-0.25,1.96)","0.53(-0.67,1.70)","0.0137","0.3692","0.1207","0.3602","1.0012","1.0011","1.0014","1.0009",1608,1590,1588,1587,2160,2654,2334,2354,"0.31(0.22,0.41)","0.0002","1.0011",2731,2802,"-0.24(-0.31,-0.16)","0.0002","1.0018",1512,2236,"0.46(0.37,0.56)","0.0002","1.0013",2693,2733
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","-0.26(-1.03,0.50)","0.44(-0.38,1.25)","0.31(-0.59,1.18)","-0.26(-1.21,0.70)","0.4831","0.3087","0.5026","0.5981","1.0006","1.0007","1.0017","1.0029",2282,2021,1948,1931,2788,2418,2805,2563,"0.31(0.22,0.41)","0.0002","1.0011",2731,2802,"-0.24(-0.31,-0.16)","0.0002","1.0018",1512,2236,"0.46(0.37,0.56)","0.0002","1.0013",2693,2733
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","3.05(2.25,3.85)","2.92(2.12,3.73)","3.20(2.37,4.03)","3.90(3.03,4.78)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0013","1.0002","1.0006",2019,1733,1750,1688,2877,2561,2727,2488,"0.31(0.22,0.41)","0.0002","1.0011",2731,2802,"-0.24(-0.31,-0.16)","0.0002","1.0018",1512,2236,"0.46(0.37,0.56)","0.0002","1.0013",2693,2733
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.52(-1.35,0.31)","-1.63(-2.52,-0.71)","-1.20(-2.18,-0.20)","-0.55(-1.69,0.60)","0.2112","0.0002","0.0172","0.3612","1.0014","1.0027","1.0038","1.0045",2075,1594,1433,1385,2585,2137,2251,2013,"0.31(0.22,0.41)","0.0002","1.0011",2731,2802,"-0.24(-0.31,-0.16)","0.0002","1.0018",1512,2236,"0.46(0.37,0.56)","0.0002","1.0013",2693,2733
"N00_N29_C64_C65","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","3.53(2.77,4.29)","3.92(3.13,4.70)","3.98(3.11,4.80)","5.29(4.29,6.26)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0003","1.0005","1.0006",1834,1466,1347,1370,2437,2059,2078,2302,"0.35(0.26,0.44)","0.0002","1.0004",1906,2803,"-0.22(-0.29,-0.15)","0.0002","1.0016",1372,1872,"0.40(0.31,0.48)","0.0002","1.0000",1895,2295
"N00_N29_C64_C65","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","2.65(1.83,3.47)","2.67(1.83,3.52)","3.28(2.39,4.15)","4.00(3.02,4.94)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0008","1.0008","1.0010",2088,1635,1589,1533,2487,2549,2629,2247,"0.36(0.27,0.45)","0.0002","1.0010",3183,3037,"-0.19(-0.26,-0.11)","0.0002","1.0009",2020,2479,"0.37(0.28,0.45)","0.0002","1.0020",2827,3040
"N00_N29_C64_C65","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","-0.83(-1.84,0.15)","0.67(-0.38,1.72)","0.67(-0.34,1.73)","0.16(-0.96,1.27)","0.1067","0.2127","0.2202","0.7761","1.0040","1.0063","1.0056","1.0049",1241,1188,1210,1259,2008,1947,1971,1689,"0.36(0.27,0.45)","0.0002","1.0010",3183,3037,"-0.19(-0.26,-0.11)","0.0002","1.0009",2020,2479,"0.37(0.28,0.45)","0.0002","1.0020",2827,3040
"N00_N29_C64_C65","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","-0.35(-1.08,0.34)","-0.16(-0.92,0.58)","-0.47(-1.31,0.36)","-0.42(-1.31,0.51)","0.3262","0.6806","0.2742","0.3582","1.0002","0.9999","1.0002","1.0003",2571,2194,1904,1951,3027,2979,2716,3066,"0.36(0.27,0.45)","0.0002","1.0010",3183,3037,"-0.19(-0.26,-0.11)","0.0002","1.0009",2020,2479,"0.37(0.28,0.45)","0.0002","1.0020",2827,3040
