ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail
N18_N19,2000_2005,2006_2010,5,EQI+SM+PA+OB,0.00,"2.29(1.67,2.88)","2.50(1.88,3.10)","3.17(2.48,3.82)","3.64(2.88,4.37)",0.0002,0.0002,0.0002,0.0002,1.0015,1.0021,1.0015,1.0016,1827,1507,1421,1501,2335,2318,1721,2076,"0.10(0.03,0.17)",0.0047,1.0006,3123,2708,"-0.21(-0.27,-0.15)",0.0002,1.0008,1779,2404,"0.33(0.26,0.39)",0.0002,1.0005,2295,2864
"N18_N19","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB","0.00","2.29(1.64,2.95)","1.93(1.26,2.58)","2.13(1.45,2.82)","2.60(1.82,3.34)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0013","1.0009","1.0027",2070,1656,1531,1471,3017,2698,2306,2253,"0.11(0.04,0.19)","0.0017","1.0000",2956,2666,"-0.17(-0.23,-0.10)","0.0002","1.0017",1797,2040,"0.30(0.23,0.37)","0.0002","0.9998",2750,2954
"N18_N19","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB","0.00","-0.80(-1.59,0.03)","0.20(-0.63,1.03)","0.29(-0.54,1.15)","0.20(-0.69,1.11)","0.0577","0.6316","0.4986","0.6686","1.0015","1.0016","1.0019","1.0018",1350,1215,1218,1372,2404,2175,2180,2250,"0.11(0.04,0.19)","0.0017","1.0000",2956,2666,"-0.17(-0.23,-0.10)","0.0002","1.0017",1797,2040,"0.30(0.23,0.37)","0.0002","0.9998",2750,2954
"N18_N19","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB","0.00","-0.44(-1.02,0.13)","0.00(-0.63,0.63)","-0.44(-1.17,0.27)","-0.76(-1.52,-0.01)","0.1467","0.9990","0.2397","0.0492","1.0019","1.0029","1.0019","1.0009",2546,1956,1738,1679,3053,2717,2474,2135,"0.11(0.04,0.19)","0.0017","1.0000",2956,2666,"-0.17(-0.23,-0.10)","0.0002","1.0017",1797,2040,"0.30(0.23,0.37)","0.0002","0.9998",2750,2954
"N18_N19","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB","0.00","2.04(1.47,2.63)","1.78(1.21,2.35)","2.03(1.46,2.60)","2.46(1.85,3.07)","0.0002","0.0002","0.0002","0.0002","1.0009","0.9998","1.0000","0.9998",2206,1732,1866,1766,2794,2767,2714,2470,"0.11(0.04,0.19)","0.0017","1.0000",2956,2666,"-0.17(-0.23,-0.10)","0.0002","1.0017",1797,2040,"0.30(0.23,0.37)","0.0002","0.9998",2750,2954
"N18_N19","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB","0.00","-0.37(-0.97,0.23)","-0.87(-1.55,-0.21)","-0.54(-1.26,0.18)","-0.48(-1.33,0.34)","0.2177","0.0122","0.1572","0.2642","1.0007","1.0023","1.0020","1.0012",2233,1813,1697,1727,3043,2644,2684,2410,"0.11(0.04,0.19)","0.0017","1.0000",2956,2666,"-0.17(-0.23,-0.10)","0.0002","1.0017",1797,2040,"0.30(0.23,0.37)","0.0002","0.9998",2750,2954
"N18_N19","2000_2005","2011_2015",10,"EQI+SM+PA+OB","0.00","2.03(1.44,2.63)","2.26(1.64,2.86)","2.59(1.95,3.24)","3.40(2.67,4.13)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0003","1.0012","1.0009",2176,1736,1510,1473,2794,2679,2455,2582,"0.18(0.11,0.25)","0.0002","1.0026",3021,2758,"-0.16(-0.22,-0.11)","0.0002","1.0011",1713,2300,"0.29(0.22,0.35)","0.0002","1.0000",2398,2696
"N18_N19","2000_2005","2011_2015",10,"EQI_Air+SM+PA+OB","0.00","2.04(1.41,2.67)","2.01(1.38,2.65)","2.37(1.71,3.03)","2.99(2.30,3.70)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0024","1.0020","1.0026",1967,1647,1369,1302,2335,2606,2469,2098,"0.17(0.10,0.24)","0.0002","1.0006",3362,3105,"-0.14(-0.20,-0.08)","0.0002","1.0009",1720,2403,"0.27(0.20,0.34)","0.0002","1.0001",2488,2716
"N18_N19","2000_2005","2011_2015",10,"EQI_Water+SM+PA+OB","0.00","-0.20(-0.97,0.56)","0.81(0.01,1.60)","0.74(-0.07,1.54)","0.61(-0.22,1.42)","0.5941","0.0447","0.0712","0.1517","1.0023","1.0019","1.0020","1.0014",1448,1292,1393,1479,1990,1972,2154,2258,"0.17(0.10,0.24)","0.0002","1.0006",3362,3105,"-0.14(-0.20,-0.08)","0.0002","1.0009",1720,2403,"0.27(0.20,0.34)","0.0002","1.0001",2488,2716
"N18_N19","2000_2005","2011_2015",10,"EQI_Land+SM+PA+OB","0.00","-0.26(-0.81,0.29)","0.03(-0.56,0.63)","-0.69(-1.35,-0.02)","-0.53(-1.26,0.17)","0.3262","0.9420","0.0402","0.1587","1.0004","1.0002","0.9997","1.0001",2442,1829,1680,1653,2599,2531,2295,2421,"0.17(0.10,0.24)","0.0002","1.0006",3362,3105,"-0.14(-0.20,-0.08)","0.0002","1.0009",1720,2403,"0.27(0.20,0.34)","0.0002","1.0001",2488,2716
