ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
N00_N29_C64_C65,2011_2015,10,AirSVI,0.00,"4.93(4.17,5.71)","1.07(0.37,1.77)","4.36(3.62,5.10)",0.0002,1.0013,2497,3307,0.0031,1.0010,2287,3133,0.0002,1.0006,2124,2979,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM","0.00","3.38(2.57,4.19)","1.80(1.10,2.49)","3.71(2.98,4.43)","0.0002","1.0022",2898,3415,"0.0002","1.0018",2986,3601,"0.0002","1.0018",2637,2948,"0.50(0.43,0.57)","0.0002","1.0005",2975,3281,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PA","0.00","3.41(2.63,4.20)","2.01(1.30,2.68)","3.94(3.22,4.64)","0.0002","1.0017",2375,3289,"0.0002","1.0006",2769,3656,"0.0002","1.0017",2273,3194,"",NA,"NA",NA,NA,"-0.35(-0.41,-0.29)","0.0002","1.0013",1865,2519,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+OB","0.00","3.40(2.62,4.19)","2.20(1.53,2.87)","4.03(3.31,4.74)","0.0002","1.0005",2504,3457,"0.0002","1.0003",2133,2975,"0.0002","1.0003",2037,2998,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.49(0.42,0.55)","0.0002","1.0033",1909,2981,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+UN","0.00","5.30(4.50,6.09)","0.77(0.05,1.45)","4.46(3.72,5.18)","0.0002","1.0046",2126,2697,"0.0340","1.0024",2081,2356,"0.0002","1.0030",1947,3041,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.15(-0.24,-0.07)","0.0010","1.0013",1404,2430,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+PD","0.00","4.94(4.18,5.70)","1.55(0.82,2.28)","4.85(4.07,5.60)","0.0002","1.0032",2386,3115,"0.0002","1.0024",2127,3083,"0.0002","1.0032",1970,2969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.01,-0.00)","0.0002","0.9998",4953,3595,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+DB","0.00","2.19(1.34,3.02)","1.09(0.41,1.76)","2.39(1.65,3.13)","0.0002","1.0015",2878,3225,"0.0040","1.0017",3008,3302,"0.0002","1.0015",2698,3250,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.40(1.22,1.58)","0.0002","1.0024",2213,2917
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+PA","0.00","2.73(1.95,3.52)","2.20(1.51,2.89)","3.55(2.84,4.26)","0.0002","1.0014",2075,2896,"0.0002","1.0012",2235,3148,"0.0002","1.0019",1922,2995,"0.40(0.32,0.47)","0.0002","1.0008",1948,2870,"-0.21(-0.28,-0.15)","0.0002","1.0040",1575,2325,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+OB","0.00","2.94(2.14,3.77)","2.30(1.64,2.95)","3.75(3.07,4.45)","0.0002","1.0020",2660,2715,"0.0002","1.0013",2680,2882,"0.0002","1.0016",2411,3138,"0.28(0.20,0.37)","0.0002","1.0012",2612,3160,"",NA,"NA",NA,NA,"0.35(0.28,0.42)","0.0002","1.0002",2535,3084,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2011_2015",10,"AirSVI+SM+UN","0.00","3.84(3.02,4.66)","1.29(0.56,2.00)","3.80(3.04,4.50)","0.0002","1.0004",2678,3100,"0.0010","1.0012",2356,3477,"0.0002","1.0007",2406,3140,"0.53(0.46,0.60)","0.0002","1.0014",2404,3193,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.25(-0.33,-0.17)","0.0002","1.0011",2162,3013,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
