ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
K70_K76_C22,2011_2015,10,AirSVI,0.00,"8.50(7.63,9.39)","3.06(2.27,3.86)","7.51(6.67,8.35)",0.0002,1.0021,3199,3507,0.0002,1.0032,2628,3400,0.0002,1.0030,2545,3325,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM","0.00","6.51(5.63,7.37)","4.03(3.24,4.82)","6.57(5.73,7.42)","0.0002","1.0004",3597,3634,"0.0002","1.0007",3617,3643,"0.0002","1.0002",3191,3458,"0.68(0.60,0.76)","0.0002","1.0012",3169,3505,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PA","0.00","7.64(6.71,8.58)","3.54(2.73,4.35)","7.22(6.38,8.06)","0.0002","1.0012",3237,3330,"0.0002","1.0000",3111,3515,"0.0002","1.0007",2996,3518,"",NA,"NA",NA,NA,"-0.19(-0.26,-0.13)","0.0002","1.0013",2344,3170,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+OB","0.00","7.38(6.47,8.27)","3.77(3.01,4.58)","7.19(6.35,8.03)","0.0002","1.0006",2925,3593,"0.0002","1.0007",2514,3325,"0.0002","1.0017",2525,2894,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.35(0.27,0.42)","0.0002","1.0023",2246,2969,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+UN","0.00","8.34(7.42,9.27)","3.23(2.41,4.02)","7.48(6.61,8.34)","0.0002","1.0009",3275,3811,"0.0002","1.0019",2957,3655,"0.0002","1.0023",2684,3228,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.07(-0.02,0.16)","0.1302","1.0031",2394,3194,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+PD","0.00","8.51(7.61,9.40)","3.11(2.30,3.92)","7.56(6.67,8.43)","0.0002","1.0012",2667,3401,"0.0002","1.0006",2901,3260,"0.0002","1.0005",2623,3005,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.7363","1.0007",5549,3911,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+DB","0.00","5.77(4.78,6.75)","2.99(2.23,3.76)","5.51(4.63,6.40)","0.0002","1.0001",3739,3743,"0.0002","1.0001",3963,3576,"0.0002","1.0006",3458,3788,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"1.34(1.13,1.55)","0.0002","1.0007",2911,3386
"K70_K76_C22","2011_2015",10,"AirSVI+SM+PA","0.00","6.51(5.57,7.48)","4.02(3.21,4.81)","6.57(5.71,7.42)","0.0002","1.0012",2856,3200,"0.0002","1.0005",2569,3499,"0.0002","1.0023",2424,2733,"0.68(0.60,0.77)","0.0002","1.0003",2493,3204,"0.00(-0.07,0.07)","0.9317","1.0014",1764,2478,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+OB","0.00","6.46(5.55,7.37)","4.06(3.28,4.84)","6.56(5.71,7.40)","0.0002","1.0015",2875,3219,"0.0002","1.0005",2531,2977,"0.0002","1.0012",2353,2771,"0.66(0.56,0.76)","0.0002","1.0047",3075,2971,"",NA,"NA",NA,NA,"0.03(-0.06,0.12)","0.5109","1.0016",2134,2870,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2011_2015",10,"AirSVI+SM+UN","0.00","6.67(5.76,7.59)","3.84(3.02,4.64)","6.61(5.77,7.44)","0.0002","1.0009",2746,3032,"0.0002","1.0030",2561,3116,"0.0002","1.0016",2365,3303,"0.70(0.62,0.78)","0.0002","1.0017",2571,2997,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.09(-0.19,0.00)","0.0623","1.0019",2052,2871,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
