ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a2s1,a2s2,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X60_X84_Y87.0,2011_2015,10,AirSVI,0.00,"3.90(3.19,4.62)","3.92(3.24,4.58)","4.48(3.80,5.16)",0.0002,1.0017,3364,3575,0.0002,1.0022,3020,3330,0.0002,1.0013,3183,3013,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM","0.00","2.13(1.38,2.87)","4.78(4.16,5.43)","3.68(3.02,4.37)","0.0002","1.0001",3307,3502,"0.0002","1.0006",2885,3416,"0.0002","1.0006",2687,3093,"0.59(0.52,0.66)","0.0002","1.0006",3182,3118,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA","0.00","4.19(3.43,4.97)","3.74(3.09,4.39)","4.57(3.89,5.29)","0.0002","1.0010",2269,3210,"0.0002","1.0005",2600,3543,"0.0002","1.0006",2347,3458,"",NA,"NA",NA,NA,"0.07(0.01,0.12)","0.0235","1.0085",1588,2573,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB","0.00","4.01(3.24,4.77)","3.82(3.15,4.50)","4.50(3.81,5.21)","0.0002","1.0026",1986,3035,"0.0002","1.0022",2092,3061,"0.0002","1.0025",1811,3164,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.04(-0.10,0.02)","0.2077","1.0035",1742,2586,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+UN","0.00","4.41(3.68,5.15)","3.44(2.78,4.12)","4.61(3.93,5.30)","0.0002","1.0016",3117,3746,"0.0002","1.0002",2760,3258,"0.0002","1.0015",2782,3344,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.22(-0.30,-0.15)","0.0002","1.0013",2185,3074,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PD","0.00","3.88(3.14,4.61)","4.09(3.39,4.78)","4.65(3.92,5.38)","0.0002","1.0006",2365,3443,"0.0002","1.0024",2328,3250,"0.0002","1.0015",2037,3361,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,-0.00)","0.0369","1.0019",4832,4057,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+DB","0.00","4.84(4.05,5.62)","3.90(3.26,4.53)","5.20(4.47,5.90)","0.0002","1.0000",3104,3870,"0.0002","1.0003",3294,3776,"0.0002","1.0001",2858,3616,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.52(-0.69,-0.34)","0.0002","1.0015",2250,2963
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA","0.00","3.19(2.44,3.92)","4.22(3.58,4.88)","3.99(3.32,4.66)","0.0002","1.0024",2355,2945,"0.0002","1.0014",2080,2704,"0.0002","1.0012",1949,2666,"0.75(0.68,0.82)","0.0002","1.0008",2266,3164,"0.33(0.27,0.39)","0.0002","1.0025",1398,2362,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+OB","0.00","2.73(1.99,3.44)","4.16(3.50,4.79)","3.66(2.97,4.33)","0.0002","1.0006",2792,3180,"0.0002","1.0005",2366,2924,"0.0002","1.0000",2433,3089,"0.86(0.79,0.94)","0.0002","1.0008",3001,3424,"",NA,"NA",NA,NA,"-0.45(-0.52,-0.38)","0.0002","1.0027",2460,2810,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+UN","0.00","2.83(2.11,3.55)","4.17(3.50,4.83)","3.86(3.19,4.53)","0.0002","1.0013",2940,3447,"0.0002","1.0023",2641,3399,"0.0002","1.0010",2602,3213,"0.64(0.57,0.71)","0.0002","1.0012",2705,3331,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.34(-0.42,-0.27)","0.0002","1.0016",2317,3412,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
