ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
I00_I99,2011_2015,10,AirSVI,0.00,"17.58(13.39,21.64)","39.98(35.57,44.26)","0.61(-3.65,4.77)","19.34(15.36,23.29)","46.55(42.65,50.51)","-13.59(-17.57,-9.52)","6.60(2.63,10.46)","30.10(25.78,34.28)",0.0002,1.0007,2734,3113,0.0002,1.0025,2379,2953,0.7642,1.0013,2749,2940,0.0002,1.0013,2293,3018,0.0002,1.0004,2262,3074,0.0002,1.0020,2336,2903,0.0015,1.0019,2069,2718,0.0002,1.0007,2115,2719,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM","0.00","6.89(2.74,10.91)","21.74(17.36,25.99)","7.02(3.14,10.66)","12.49(8.76,16.27)","31.47(27.57,35.44)","6.11(2.31,9.92)","12.96(9.23,16.60)","25.27(21.17,29.33)","0.0015","1.0016",2673,3326,"0.0002","1.0007",2345,2660,"0.0015","1.0001",2885,3340,"0.0002","1.0009",2124,2873,"0.0002","1.0010",2041,3029,"0.0010","1.0005",2421,3104,"0.0002","1.0011",2051,3010,"0.0002","1.0006",2116,2865,"7.39(7.08,7.69)","0.0002","1.0030",1124,2450,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PA","0.00","12.62(8.63,16.60)","22.80(18.19,27.38)","6.56(2.40,10.63)","16.84(12.93,20.79)","32.87(28.76,37.09)","0.61(-3.49,4.90)","13.52(9.67,17.30)","26.04(22.05,30.19)","0.0002","1.0022",3154,3195,"0.0002","1.0008",2615,3245,"0.0010","1.0006",3189,3466,"0.0002","1.0022",2446,2999,"0.0002","1.0004",2467,2979,"0.7934","1.0015",2708,2922,"0.0002","1.0009",2356,2797,"0.0002","1.0001",2691,3275,"",NA,"NA",NA,NA,"-3.73(-4.09,-3.36)","0.0002","1.0012",1998,2850,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+OB","0.00","13.42(9.30,17.51)","22.79(18.40,27.03)","6.32(2.41,10.31)","19.75(15.81,23.73)","34.36(30.39,38.39)","3.21(-0.80,7.45)","16.81(13.09,20.60)","27.94(23.91,32.03)","0.0002","1.0008",2960,2796,"0.0002","1.0030",2392,2536,"0.0023","1.0011",3155,2888,"0.0002","1.0008",2271,3060,"0.0002","1.0006",2231,3002,"0.1152","1.0008",2614,3127,"0.0002","1.0001",2123,3157,"0.0002","1.0002",2358,3392,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.16(4.91,5.40)","0.0002","1.0095",890,2464,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+UN","0.00","20.35(16.18,24.53)","44.30(39.95,48.66)","-1.78(-5.85,2.31)","19.68(15.68,23.78)","49.04(44.89,53.11)","-17.84(-22.16,-13.68)","5.33(1.43,9.20)","31.32(27.04,35.45)","0.0002","1.0001",3250,3404,"0.0002","1.0011",2632,3202,"0.3985","1.0013",3232,3379,"0.0002","1.0025",2493,2873,"0.0002","1.0012",2467,3297,"0.0002","1.0005",2755,3660,"0.0073","1.0027",2367,3214,"0.0002","1.0016",2549,2859,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.56(-2.01,-1.11)","0.0002","1.0006",2715,3030,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+PD","0.00","17.18(12.96,21.35)","39.11(34.72,43.47)","1.09(-3.03,5.12)","19.54(15.51,23.50)","46.69(42.63,50.68)","-11.01(-15.29,-6.79)","9.52(5.44,13.63)","33.03(28.88,37.25)","0.0002","1.0016",2503,3141,"0.0002","1.0022",2449,3171,"0.5938","1.0023",2427,2884,"0.0002","1.0032",2207,3058,"0.0002","1.0017",1976,2703,"0.0002","1.0034",2181,2863,"0.0002","1.0028",1868,2339,"0.0002","1.0028",1875,2599,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.04,-0.02)","0.0002","1.0002",4705,3853,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+DB","0.00","16.20(12.00,20.44)","15.46(10.65,20.38)","7.73(3.66,11.90)","18.98(14.99,22.83)","28.77(24.55,33.19)","-3.96(-8.13,0.20)","8.14(4.22,11.87)","16.99(12.85,21.34)","0.0002","1.0016",2359,2714,"0.0002","1.0067",1355,1918,"0.0002","1.0007",1788,2501,"0.0002","1.0043",1545,2634,"0.0002","1.0067",1185,2270,"0.0623","1.0030",1359,2943,"0.0002","1.0017",1392,2449,"0.0002","1.0058",1389,2800,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"13.02(11.83,14.23)","0.0002","1.0097",509,1123
"I00_I99","2011_2015",10,"AirSVI+SM+PA","0.00","6.96(3.02,11.07)","22.18(17.72,26.53)","6.61(2.67,10.66)","12.43(8.59,16.19)","31.74(27.66,35.75)","5.28(1.27,9.39)","12.49(8.79,16.21)","25.24(21.19,29.27)","0.0010","1.0006",2361,3431,"0.0002","1.0014",1927,3425,"0.0006","1.0004",2401,3062,"0.0002","0.9997",2012,3056,"0.0002","1.0010",1914,3140,"0.0094","1.0010",1857,2861,"0.0002","1.0009",1719,3070,"0.0002","1.0011",1803,3115,"7.32(7.01,7.66)","0.0002","1.0026",1563,2194,"0.10(-0.06,0.26)","0.2247","1.0053",641,943,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+OB","0.00","7.16(3.00,11.15)","18.50(14.14,22.76)","7.11(3.19,11.04)","13.49(9.71,17.32)","29.26(25.37,33.13)","7.19(3.30,11.09)","14.64(11.05,18.29)","24.86(20.88,28.93)","0.0010","1.0030",1944,2936,"0.0002","1.0024",1695,2739,"0.0006","1.0010",2088,2740,"0.0002","1.0023",1543,2409,"0.0002","1.0041",1403,2542,"0.0002","1.0003",1709,2764,"0.0002","1.0035",1372,2273,"0.0002","1.0032",1412,2362,"5.62(5.20,6.02)","0.0002","1.0022",2089,2860,"",NA,"NA",NA,NA,"2.03(1.71,2.35)","0.0002","1.0064",1113,1908,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2011_2015",10,"AirSVI+SM+UN","0.00","10.64(6.66,14.59)","27.49(23.18,31.86)","4.43(0.58,8.26)","13.03(9.28,16.77)","34.06(30.21,37.96)","1.60(-2.40,5.54)","12.00(8.50,15.64)","27.32(23.39,31.32)","0.0002","1.0013",2345,3254,"0.0002","1.0020",1798,2648,"0.0235","1.0043",2462,3144,"0.0002","1.0036",2143,2995,"0.0002","1.0022",1733,2388,"0.4139","1.0054",1818,2445,"0.0002","1.0039",2021,2811,"0.0002","1.0029",1831,2974,"7.81(7.48,8.15)","0.0002","1.0046",988,2117,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.19(-2.59,-1.78)","0.0002","1.0021",1469,2804,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
