ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
C00_C97,2011_2015,10,AirSVI,0.00,"17.25(13.46,21.11)","21.14(17.06,25.09)","9.63(5.87,13.31)","18.80(15.20,22.38)","29.76(26.12,33.47)","3.98(0.44,7.64)","13.48(10.04,16.91)","25.33(21.67,28.93)",0.0002,1.0015,1972,2894,0.0002,1.0014,1915,2850,0.0002,1.0027,2083,3009,0.0002,1.0016,1627,2341,0.0002,1.0024,1617,2612,0.0277,1.0029,1620,2637,0.0002,1.0025,1522,3044,0.0002,1.0027,1602,2563,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM","0.00","9.63(6.03,13.39)","9.04(5.13,12.79)","14.90(11.55,18.36)","14.97(11.59,18.37)","20.27(16.65,23.81)","18.31(14.98,21.80)","18.62(15.36,21.74)","22.78(19.28,26.30)","0.0002","1.0009",3515,3285,"0.0002","1.0009",3277,3412,"0.0002","1.0008",3249,3317,"0.0002","1.0007",2483,3474,"0.0002","1.0007",2514,3343,"0.0002","1.0006",2608,3350,"0.0002","1.0000",2249,3194,"0.0002","1.0006",2599,3196,"4.68(4.43,4.94)","0.0002","1.0006",2578,3134,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+PA","0.00","17.70(13.33,22.27)","22.85(16.09,30.39)","9.35(5.27,13.36)","19.32(15.21,23.36)","31.20(25.24,37.90)","3.14(-2.42,8.13)","13.24(9.29,17.02)","25.90(21.58,30.43)","0.0002","1.1137",34,303,"0.0002","1.5115",11,91,"0.0006","1.0605",69,2075,"0.0002","1.0998",40,373,"0.0002","1.4776",11,84,"0.2997","1.3479",14,81,"0.0002","1.0755",56,675,"0.0002","1.1568",26,171,"",NA,"NA",NA,NA,"0.30(-0.58,1.28)","0.9500","1.6240",10,83,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+OB","0.00","14.68(10.81,18.68)","10.74(6.61,14.94)","14.01(10.46,17.52)","19.68(16.01,23.28)","22.68(18.93,26.59)","15.42(11.88,19.06)","20.45(17.14,23.80)","24.47(20.73,28.09)","0.0002","1.0006",3693,3741,"0.0002","1.0005",2900,3359,"0.0002","1.0003",3700,3698,"0.0002","1.0013",2721,3487,"0.0002","1.0008",2459,3440,"0.0002","1.0004",2939,3560,"0.0002","1.0011",2488,3535,"0.0002","1.0015",2614,3507,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"3.02(2.80,3.24)","0.0002","1.0003",2274,3144,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+UN","0.00","19.51(15.50,23.30)","25.32(21.14,29.44)","7.34(3.63,11.12)","19.11(15.53,22.78)","32.14(28.42,35.74)","-0.12(-4.00,3.76)","12.29(8.75,15.73)","26.52(22.83,30.24)","0.0002","1.0048",2166,2849,"0.0002","1.0036",2253,3152,"0.0002","1.0025",2027,2913,"0.0002","1.0046",1869,2898,"0.0002","1.0037",1566,2928,"0.9354","1.0026",1759,2690,"0.0002","1.0040",1626,2527,"0.0002","1.0046",1509,2521,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.44(-1.82,-1.04)","0.0002","1.0018",1860,2687,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+PD","0.00","16.96(13.01,20.89)","20.94(16.98,24.84)","9.69(5.98,13.43)","18.78(15.20,22.40)","29.69(25.96,33.30)","4.41(0.69,8.24)","13.97(10.37,17.57)","25.78(21.95,29.52)","0.0002","1.0020",1819,2112,"0.0002","1.0006",2040,3080,"0.0002","1.0013",2134,2572,"0.0002","1.0015",1487,1851,"0.0002","1.0018",1508,2316,"0.0206","1.0013",1721,2851,"0.0002","1.0027",1454,2478,"0.0002","1.0005",1473,2293,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.01(-0.01,0.00)","0.1860","1.0008",4170,3427,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+DB","0.00","16.52(12.66,20.34)","5.57(0.77,10.36)","14.80(10.70,18.75)","19.01(15.31,22.66)","18.74(14.70,22.59)","10.87(6.77,14.83)","14.93(11.36,18.57)","17.15(13.21,20.99)","0.0002","1.0005",2251,2429,"0.0219","1.0172",463,1814,"0.0002","1.0096",551,1912,"0.0002","1.0035",1069,2287,"0.0002","1.0082",1003,2248,"0.0002","1.0172",352,1156,"0.0002","1.0070",843,2502,"0.0002","1.0049",1537,2196,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"8.01(6.43,9.12)","0.0002","1.0684",72,427
"C00_C97","2011_2015",10,"AirSVI+SM+PA","0.00","9.81(6.03,13.65)","11.15(7.19,15.12)","12.78(9.28,16.39)","14.61(11.03,18.07)","21.70(18.02,25.20)","14.41(10.74,18.09)","16.32(13.07,19.74)","22.46(18.74,25.98)","0.0002","1.0017",1986,2867,"0.0002","1.0028",1579,2686,"0.0002","1.0010",2482,2874,"0.0002","1.0026",1705,2720,"0.0002","1.0040",1556,2559,"0.0002","1.0024",1891,2718,"0.0002","1.0034",1730,2749,"0.0002","1.0037",1664,2395,"4.38(4.10,4.65)","0.0002","1.0005",1612,2373,"0.47(0.33,0.60)","0.0002","1.0002",1802,2836,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+OB","0.00","9.63(5.78,13.41)","7.56(3.70,11.49)","14.81(11.37,18.31)","15.24(11.78,18.61)","19.29(15.72,22.83)","18.66(15.16,22.05)","19.14(15.94,22.44)","22.41(18.83,25.88)","0.0002","1.0008",2691,3172,"0.0002","1.0019",2302,3052,"0.0002","1.0026",2306,3120,"0.0002","1.0027",2018,3014,"0.0002","1.0020",1838,2823,"0.0002","1.0027",1877,2885,"0.0002","1.0032",1788,2992,"0.0002","1.0017",1915,2789,"4.00(3.65,4.35)","0.0002","1.0009",2450,3056,"",NA,"NA",NA,NA,"0.77(0.49,1.06)","0.0002","1.0017",2238,2821,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+UN","0.00","12.34(8.67,16.03)","13.45(9.58,17.36)","13.11(9.73,16.47)","15.57(12.21,18.95)","22.83(19.35,26.42)","15.35(11.91,18.69)","18.19(15.03,21.34)","24.53(21.09,27.95)","0.0002","1.0001",3891,3736,"0.0002","1.0014",3684,3738,"0.0002","1.0004",3773,3816,"0.0002","1.0024",3161,3727,"0.0002","1.0033",2695,3408,"0.0002","1.0014",3018,3312,"0.0002","1.0028",2841,3561,"0.0002","1.0025",2785,3533,"5.04(4.78,5.32)","0.0002","1.0017",2964,3403,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.52(-1.83,-1.21)","0.0002","1.0003",2951,3413,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"AirSVI+SM+PD","0.00","9.36(5.62,12.95)","8.92(4.92,12.82)","14.01(10.54,17.42)","14.06(10.54,17.60)","19.24(15.60,22.78)","15.68(12.08,19.13)","15.23(11.76,18.60)","19.10(15.39,22.78)","0.0002","1.0008",3059,3549,"0.0002","1.0005",2736,3606,"0.0002","1.0011",3491,3705,"0.0002","1.0014",2926,3560,"0.0002","1.0006",2170,2638,"0.0002","1.0006",2494,3598,"0.0002","1.0015",2231,2808,"0.0002","1.0008",2307,3293,"4.90(4.63,5.17)","0.0002","1.0029",2290,3067,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0003",5304,3854,"",NA,"NA",NA,NA
