ICD_Code,AAMR_Period,Lag,Model,a1s1,a1s2,a1s3,a2s1,a2s2,a2s3,a3s1,a3s2,a3s3,a1s2_p,a1s2_rhat,a1s2_ess_bulk,a1s2_ess_tail,a1s3_p,a1s3_rhat,a1s3_ess_bulk,a1s3_ess_tail,a2s1_p,a2s1_rhat,a2s1_ess_bulk,a2s1_ess_tail,a2s2_p,a2s2_rhat,a2s2_ess_bulk,a2s2_ess_tail,a2s3_p,a2s3_rhat,a2s3_ess_bulk,a2s3_ess_tail,a3s1_p,a3s1_rhat,a3s1_ess_bulk,a3s1_ess_tail,a3s2_p,a3s2_rhat,a3s2_ess_bulk,a3s2_ess_tail,a3s3_p,a3s3_rhat,a3s3_ess_bulk,a3s3_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
X60_X84_Y87.0,2011_2015,10,AirSVI,0.00,"4.69(3.74,5.62)","5.20(4.19,6.23)","6.33(5.41,7.29)","8.36(7.42,9.29)","7.54(6.61,8.49)","6.13(5.24,7.02)","6.79(5.92,7.69)","6.21(5.31,7.12)",0.0002,1.0016,2756,3519,0.0002,1.0013,2277,3205,0.0002,1.0010,2491,3303,0.0002,1.0003,1983,3039,0.0002,0.9999,1791,2767,0.0002,1.0000,1964,2776,0.0002,1.0003,1623,2807,0.0002,0.9997,1834,3110,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM","0.00","3.22(2.24,4.25)","2.86(1.83,3.89)","6.46(5.60,7.34)","7.12(6.20,8.03)","5.52(4.56,6.52)","7.41(6.50,8.30)","6.81(5.94,7.67)","5.18(4.26,6.11)","0.0002","1.0010",1807,2612,"0.0002","1.0009",1584,2567,"0.0002","1.0024",1565,3015,"0.0002","1.0019",1267,2161,"0.0002","1.0017",1234,2538,"0.0002","1.0011",1358,2527,"0.0002","1.0017",1172,2332,"0.0002","1.0012",1163,2035,"0.58(0.51,0.65)","0.0002","1.0010",1937,2859,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PA","0.00","4.95(3.99,5.90)","5.73(4.68,6.81)","6.20(5.28,7.16)","8.49(7.59,9.43)","8.00(7.04,8.98)","5.81(4.92,6.75)","6.67(5.84,7.55)","6.40(5.51,7.36)","0.0002","1.0049",2102,3101,"0.0002","1.0040",1536,2496,"0.0002","1.0038",1446,2270,"0.0002","1.0065",1214,2514,"0.0002","1.0061",1189,2527,"0.0002","1.0071",1115,2297,"0.0002","1.0081",1075,1866,"0.0002","1.0067",1134,2361,"",NA,"NA",NA,NA,"0.09(0.03,0.15)","0.0052","1.0031",1426,2125,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+OB","0.00","4.80(3.82,5.82)","5.38(4.27,6.42)","6.26(5.34,7.18)","8.36(7.41,9.33)","7.71(6.75,8.68)","5.92(5.02,6.85)","6.68(5.80,7.55)","6.26(5.32,7.16)","0.0002","1.0025",1880,3071,"0.0002","1.0042",1732,2583,"0.0002","1.0021",1692,2784,"0.0002","1.0021",1485,2374,"0.0002","1.0032",1511,2332,"0.0002","1.0041",1329,2176,"0.0002","1.0029",1228,2131,"0.0002","1.0017",1341,2358,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.06(-0.12,0.01)","0.0889","1.0039",1941,2701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+UN","0.00","5.26(4.28,6.27)","6.04(4.96,7.11)","5.91(5.03,6.82)","8.45(7.52,9.35)","8.05(7.08,8.99)","5.45(4.56,6.34)","6.64(5.80,7.48)","6.52(5.61,7.43)","0.0002","1.0013",2613,3063,"0.0002","1.0005",2205,3281,"0.0002","1.0023",2226,3453,"0.0002","1.0022",1824,2726,"0.0002","1.0005",1835,2551,"0.0002","1.0007",1763,2498,"0.0002","1.0018",1657,2778,"0.0002","1.0020",1716,2606,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.24(-0.32,-0.16)","0.0002","1.0031",2315,2729,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+PD","0.00","4.77(3.84,5.71)","5.16(4.13,6.17)","6.39(5.47,7.31)","8.39(7.43,9.35)","7.58(6.65,8.53)","6.27(5.36,7.17)","6.95(6.02,7.87)","6.36(5.44,7.31)","0.0002","1.0025",1903,2745,"0.0002","1.0009",1588,2678,"0.0002","1.0005",1698,2559,"0.0002","1.0013",1393,2507,"0.0002","1.0029",1299,2340,"0.0002","1.0027",1216,2123,"0.0002","1.0030",1112,2040,"0.0002","1.0036",1193,2161,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.00(-0.00,0.00)","0.2093","0.9999",4502,4028,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+DB","0.00","5.13(4.14,6.08)","6.69(5.56,7.90)","6.33(5.43,7.26)","8.82(7.89,9.72)","8.89(7.88,9.94)","6.08(5.21,6.97)","7.18(6.32,8.04)","7.35(6.39,8.36)","0.0002","1.0034",2464,3296,"0.0002","1.0031",1969,3106,"0.0002","1.0020",2422,3346,"0.0002","1.0039",1799,3089,"0.0002","1.0043",1627,2656,"0.0002","1.0030",1810,2710,"0.0002","1.0039",1581,2611,"0.0002","1.0037",1580,2695,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.57(-0.75,-0.38)","0.0002","1.0012",2195,3271
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PA","0.00","3.56(2.63,4.49)","4.41(3.38,5.45)","6.05(5.15,6.93)","7.34(6.44,8.26)","6.69(5.75,7.67)","6.51(5.65,7.41)","6.38(5.54,7.22)","5.63(4.77,6.51)","0.0002","1.0039",1942,2871,"0.0002","1.0053",1855,3020,"0.0002","1.0029",1808,2693,"0.0002","1.0037",1727,2918,"0.0002","1.0061",1498,2097,"0.0002","1.0022",1272,2444,"0.0002","1.0039",1270,2217,"0.0002","1.0053",1324,2374,"0.72(0.65,0.78)","0.0002","1.0009",2324,2981,"0.32(0.26,0.38)","0.0002","1.0031",1459,2218,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+OB","0.00","3.13(2.20,4.10)","3.88(2.86,4.88)","6.06(5.16,6.93)","6.79(5.89,7.68)","6.12(5.17,7.05)","6.43(5.53,7.28)","6.03(5.19,6.85)","5.20(4.29,6.06)","0.0002","1.0032",2341,3317,"0.0002","1.0023",2302,3639,"0.0002","1.0039",2065,2627,"0.0002","1.0042",1846,2645,"0.0002","1.0028",1807,2661,"0.0002","1.0038",1820,2631,"0.0002","1.0045",1580,2749,"0.0002","1.0041",1609,2609,"0.82(0.75,0.90)","0.0002","1.0006",3314,3406,"",NA,"NA",NA,NA,"-0.43(-0.50,-0.36)","0.0002","1.0019",2782,2739,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+UN","0.00","3.82(2.85,4.76)","3.85(2.82,4.85)","5.90(5.00,6.78)","7.18(6.28,8.10)","6.08(5.17,6.97)","6.54(5.66,7.43)","6.58(5.76,7.41)","5.50(4.63,6.39)","0.0002","1.0018",1604,2343,"0.0002","1.0036",1734,2683,"0.0002","1.0020",1730,2530,"0.0002","1.0023",1447,2497,"0.0002","1.0022",1315,2237,"0.0002","1.0030",1327,1727,"0.0002","1.0024",1191,2054,"0.0002","1.0029",1173,2225,"0.60(0.53,0.67)","0.0002","1.0029",1386,2878,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.30(-0.38,-0.23)","0.0002","1.0017",1691,2569,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2011_2015",10,"AirSVI+SM+PD","0.00","3.02(2.05,3.99)","2.66(1.59,3.69)","6.25(5.34,7.17)","6.83(5.88,7.78)","5.17(4.18,6.13)","7.01(6.10,7.93)","6.24(5.34,7.16)","4.52(3.56,5.50)","0.0002","1.0022",1675,2747,"0.0002","1.0045",1490,2744,"0.0002","1.0025",1760,2632,"0.0002","1.0035",1386,2280,"0.0002","1.0033",1231,2340,"0.0002","1.0014",1406,2209,"0.0002","1.0026",1177,2501,"0.0002","1.0021",1216,2193,"0.63(0.56,0.71)","0.0002","1.0018",1809,2853,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","1.0026",4118,3804,"",NA,"NA",NA,NA
