ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
J40_J47_J60_J70_J84_D86_C34,2011_2015,10,SVI,0.00,"11.29(8.96,13.65)","23.68(21.21,26.19)","23.47(20.51,26.50)",0.0002,0.0002,0.0002,1.0019,1.0042,1.0028,1866,1647,1788,2579,2328,2713,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM","0.00","2.99(0.93,5.03)","7.31(5.03,9.68)","3.35(0.55,6.03)","0.0044","0.0002","0.0173","1.0011","1.0005","1.0010",3846,3190,3328,3816,2821,3517,"4.37(4.15,4.60)","0.0002","1.0009",3025,3411,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PA","0.00","9.23(6.92,11.49)","18.21(15.44,20.95)","13.82(10.18,17.53)","0.0002","0.0002","0.0002","1.0016","1.0037","1.0036",1866,1194,872,2562,1373,1196,"",NA,"NA",NA,NA,"-1.24(-1.54,-0.94)","0.0002","1.0071",579,1017,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+OB","0.00","8.63(6.36,10.92)","17.43(14.86,19.93)","9.59(6.49,12.80)","0.0002","0.0002","0.0002","1.0013","0.9996","1.0001",3826,3026,2857,3460,3099,3679,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.25(2.06,2.46)","0.0002","1.0018",2083,3053,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+UN","0.00","12.14(9.87,14.42)","25.68(23.05,28.43)","26.47(23.29,29.76)","0.0002","0.0002","0.0002","1.0035","1.0034","1.0041",1630,1341,1362,2187,2409,2442,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.79(-1.12,-0.44)","0.0002","1.0059",1147,2022,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+PD","0.00","11.66(9.31,13.98)","23.96(21.49,26.44)","23.12(20.15,26.08)","0.0002","0.0002","0.0002","1.0018","1.0031","1.0031",1584,1312,1504,2625,2418,2127,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.03(-0.04,-0.02)","0.0002","1.0030",5480,3886,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+DB","0.00","9.65(7.25,12.01)","18.43(15.77,21.17)","10.27(6.49,14.11)","0.0002","0.0002","0.0002","1.0005","1.0009","1.0036",3520,2620,1884,3655,3376,2766,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"4.41(3.64,5.18)","0.0002","1.0046",1121,1889
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+PA","0.00","2.92(0.82,5.05)","6.85(4.41,9.18)","2.35(-0.52,5.24)","0.0040","0.0002","0.1110","1.0018","1.0016","1.0021",2728,2148,2142,3689,3071,3063,"4.41(4.18,4.62)","0.0002","1.0009",2547,3268,"-0.14(-0.25,-0.02)","0.0210","1.0026",2176,2660,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+OB","0.00","2.97(0.84,5.08)","7.34(4.97,9.69)","3.86(0.95,6.72)","0.0044","0.0002","0.0069","1.0034","1.0019","1.0028",2366,1914,1758,3003,2740,2699,"4.51(4.21,4.80)","0.0002","1.0015",2238,3123,"",NA,"NA",NA,NA,"-0.17(-0.41,0.06)","0.1456","1.0010",2059,2649,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"SVI+SM+UN","0.00","5.29(3.18,7.35)","12.08(9.67,14.40)","10.50(7.55,13.39)","0.0002","0.0002","0.0002","1.0004","1.0016","1.0021",3462,2608,2642,3563,3263,3325,"4.76(4.54,4.98)","0.0002","0.9999",2733,3587,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.88(-2.14,-1.62)","0.0002","1.0027",2775,3366,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
