ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail
C00_C97,2011_2015,10,SVI,0.00,"11.69(8.97,14.28)","24.34(21.49,27.17)","31.82(28.55,35.17)",0.0002,0.0002,0.0002,1.0000,1.0002,1.0013,2074,2051,1863,2973,2987,2780,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"C00_C97","2011_2015",10,"SVI+SM","0.00","5.82(3.26,8.48)","10.84(7.94,13.83)","14.66(11.27,18.17)","0.0002","0.0002","0.0002","1.0046","1.0052","1.0049",2915,2357,2341,3000,3250,3368,"4.37(4.08,4.65)","0.0002","1.0012",1725,3245,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PA","0.00","13.35(10.69,16.03)","29.18(26.29,32.13)","40.48(37.04,44.09)","0.0002","0.0002","0.0002","1.0039","1.0049","1.0041",2480,1950,1570,3369,3258,2408,"",NA,"NA",NA,NA,"1.19(1.01,1.36)","0.0002","1.0231",308,487,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+OB","0.00","10.30(7.60,12.98)","19.00(16.10,21.92)","17.29(13.59,20.83)","0.0002","0.0002","0.0002","1.0011","1.0003","1.0002",4112,3398,3066,3920,3783,3450,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.79(2.56,3.02)","0.0002","1.0019",1408,2404,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+UN","0.00","13.62(11.01,16.23)","29.01(26.13,31.86)","38.77(35.12,42.35)","0.0002","0.0002","0.0002","1.0040","1.0046","1.0031",1851,1786,1732,2570,2512,2181,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-1.77(-2.14,-1.41)","0.0002","1.0026",1777,2419,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+PD","0.00","11.74(9.09,14.42)","24.44(21.68,27.31)","31.77(28.37,35.18)","0.0002","0.0002","0.0002","1.0011","1.0016","1.0013",2226,2058,2209,2664,2914,2685,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-0.01(-0.01,0.00)","0.1056","1.0005",5406,3757,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+DB","0.00","9.99(7.35,12.71)","18.19(15.16,21.16)","15.76(11.21,20.13)","0.0002","0.0002","0.0002","1.0036","1.0054","1.0078",1963,1519,942,2707,2259,1978,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"5.76(4.66,6.88)","0.0002","1.0084",586,1028
"C00_C97","2011_2015",10,"SVI+SM+PA","0.00","5.86(3.35,8.39)","13.30(10.44,16.16)","19.77(16.27,23.27)","0.0002","0.0002","0.0002","1.0015","1.0033","1.0033",2532,1910,1687,3251,2898,2691,"3.97(3.69,4.23)","0.0002","1.0020",2111,3168,"0.72(0.58,0.85)","0.0002","1.0021",1892,2649,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+OB","0.00","5.94(3.37,8.55)","10.94(8.05,13.84)","13.18(9.65,16.75)","0.0002","0.0002","0.0002","1.0020","1.0001","1.0012",2502,2103,2031,3678,3060,3428,"3.87(3.49,4.25)","0.0002","1.0015",2357,2660,"",NA,"NA",NA,NA,"0.59(0.28,0.88)","0.0002","1.0039",1557,2824,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+UN","0.00","8.20(5.76,10.72)","15.82(12.90,18.70)","22.17(18.51,25.79)","0.0002","0.0002","0.0002","1.0025","1.0019","1.0007",2394,1974,1976,3433,2809,2788,"4.84(4.54,5.13)","0.0002","1.0048",903,1930,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"-2.15(-2.48,-1.82)","0.0002","1.0018",1854,3130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+PD","0.00","4.38(1.78,6.88)","8.69(5.76,11.62)","12.97(9.51,16.42)","0.0015","0.0002","0.0002","1.0006","1.0000","1.0004",3784,3113,3310,4239,3458,3499,"4.77(4.49,5.05)","0.0002","1.0024",1958,2845,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.04(0.03,0.04)","0.0002","0.9998",6376,4182,"",NA,"NA",NA,NA
"C00_C97","2011_2015",10,"SVI+SM+DB","0.00","5.19(2.59,7.79)","8.90(5.91,11.90)","8.61(4.59,12.71)","0.0002","0.0002","0.0002","1.0022","1.0022","1.0025",3485,2345,2027,3401,3075,3119,"3.94(3.63,4.25)","0.0002","1.0019",3189,3414,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"2.51(1.66,3.39)","0.0002","1.0036",2116,3241
