ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
N00_N29_C64_C65,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,0.00,"5.99(3.87,8.14)","7.81(5.52,10.15)","13.07(10.68,15.42)",0.0002,1.0008,2272,3162,0.0002,1.0011,1836,2760,0.0002,1.0018,1780,2534
"N00_N29_C64_C65","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","0.00","3.09(0.94,5.25)","5.68(3.29,8.05)","10.06(7.56,12.42)","0.0027","1.0046",1783,2901,"0.0002","1.0051",1515,2352,"0.0002","1.0047",1484,2237
"N00_N29_C64_C65","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","0.00","2.56(0.32,4.83)","5.38(2.91,7.83)","10.82(8.29,13.34)","0.0265","1.0009",2924,3390,"0.0002","1.0019",2245,3385,"0.0002","1.0018",2194,2963
"N00_N29_C64_C65","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","0.00","2.31(-0.45,5.01)","5.67(2.70,8.59)","12.52(9.41,15.55)","0.1006","1.0003",2532,3470,"0.0002","1.0014",1901,3129,"0.0002","1.0011",1978,3338
"N00_N29_C64_C65","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","0.00","1.42(0.11,2.70)","2.06(0.56,3.52)","5.82(4.06,7.54)","0.0323","1.0014",2325,3206,"0.0065","1.0026",2128,3093,"0.0002","1.0014",1979,3006
"N00_N29_C64_C65","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","0.00","2.01(0.72,3.25)","3.27(1.75,4.74)","6.00(4.22,7.76)","0.0027","1.0006",2642,3653,"0.0002","1.0007",2239,3133,"0.0002","1.0005",2364,3409
"N00_N29_C64_C65","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","0.00","2.13(0.83,3.43)","3.58(2.05,5.05)","7.33(5.57,9.13)","0.0015","1.0002",3107,3607,"0.0002","1.0012",2511,3299,"0.0002","1.0009",2486,3262
"N00_N29_C64_C65","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","0.00","0.50(-1.17,2.18)","2.43(0.49,4.33)","6.32(4.11,8.58)","0.5734","0.9999",2694,3175,"0.0148","1.0000",2261,3277,"0.0002","1.0006",2205,3066
"N00_N29_C64_C65","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","0.00","0.77(0.08,1.45)","2.66(1.86,3.44)","5.68(4.54,6.85)","0.0310","1.0012",2729,3513,"0.0002","1.0017",2273,3252,"0.0002","1.0022",2324,3342
"N00_N29_C64_C65","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","0.00","1.09(0.49,1.70)","2.49(1.73,3.27)","5.16(4.06,6.24)","0.0006","1.0030",2258,3079,"0.0002","1.0030",1865,2954,"0.0002","1.0023",2033,2446
"N00_N29_C64_C65","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","0.00","1.79(1.21,2.39)","3.81(3.09,4.54)","7.28(6.23,8.33)","0.0002","1.0023",2166,3210,"0.0002","1.0030",1709,2262,"0.0002","1.0018",1904,3223
"N00_N29_C64_C65","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","0.00","1.48(0.73,2.24)","3.47(2.56,4.37)","8.12(6.83,9.39)","0.0010","1.0014",2832,3575,"0.0002","1.0028",2399,2785,"0.0002","1.0011",2429,3086
"N00_N29_C64_C65","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","0.00","2.83(1.78,3.89)","5.16(3.95,6.35)","9.16(7.74,10.58)","0.0002","1.0021",2001,3322,"0.0002","1.0029",1569,2497,"0.0002","1.0035",1663,2674
"N00_N29_C64_C65","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","0.00","2.02(1.06,3.04)","4.09(2.99,5.25)","7.47(6.13,8.80)","0.0002","1.0015",2403,3448,"0.0002","1.0048",1777,2662,"0.0002","1.0030",1813,2882
"N00_N29_C64_C65","2016_2020",15,"Cluster_NLCD_A_SVI+SM+UN","0.00","2.83(1.79,3.88)","5.07(3.81,6.37)","9.80(8.39,11.27)","0.0002","1.0024",2451,3235,"0.0002","1.0022",1894,2671,"0.0002","1.0015",1839,2619
"N00_N29_C64_C65","2021_2024",20,"Cluster_NLCD_A_SVI+SM+UN","0.00","3.16(1.91,4.43)","6.14(4.62,7.60)","12.36(10.61,14.08)","0.0002","1.0025",2364,3522,"0.0002","1.0037",1726,2822,"0.0002","1.0048",1797,3340
"N00_N29_C64_C65","2006_2010",5,"Cluster_NLCD_B_SVI+SM+UN","0.00","1.40(-0.24,3.03)","3.50(1.66,5.30)","7.66(5.52,9.83)","0.1014","1.0003",2489,3179,"0.0006","1.0006",2341,3416,"0.0002","1.0003",2324,3140
"N00_N29_C64_C65","2011_2015",10,"Cluster_NLCD_B_SVI+SM+UN","0.00","2.02(0.31,3.74)","3.86(1.98,5.72)","7.84(5.61,10.09)","0.0235","1.0012",2769,3337,"0.0002","1.0004",2562,3117,"0.0002","1.0006",2603,3267
"N00_N29_C64_C65","2016_2020",15,"Cluster_NLCD_B_SVI+SM+UN","0.00","1.34(-0.32,3.03)","4.02(2.14,5.90)","8.92(6.75,11.11)","0.1139","1.0021",2437,2883,"0.0002","1.0035",2288,2751,"0.0002","1.0028",2376,3167
"N00_N29_C64_C65","2021_2024",20,"Cluster_NLCD_B_SVI+SM+UN","0.00","1.71(-0.34,3.74)","3.04(0.74,5.39)","7.81(4.96,10.65)","0.1106","1.0011",3205,3919,"0.0090","1.0005",2605,3845,"0.0002","1.0008",2841,3616
"N00_N29_C64_C65","2006_2010",5,"Cluster_NLCD_C_SVI+SM+UN","0.00","0.63(-0.34,1.61)","0.87(-0.38,2.14)","6.13(4.23,8.07)","0.2135","1.0014",3146,3470,"0.1743","1.0019",2522,3146,"0.0002","1.0024",2704,3161
"N00_N29_C64_C65","2011_2015",10,"Cluster_NLCD_C_SVI+SM+UN","0.00","0.85(-0.15,1.81)","2.06(0.81,3.30)","6.54(4.65,8.37)","0.0906","1.0011",2684,3058,"0.0023","1.0016",2369,3369,"0.0002","1.0010",2405,3212
"N00_N29_C64_C65","2016_2020",15,"Cluster_NLCD_C_SVI+SM+UN","0.00","1.60(0.67,2.52)","2.19(1.02,3.39)","5.90(4.10,7.71)","0.0006","1.0006",2614,3113,"0.0010","1.0007",2025,3095,"0.0002","1.0007",1949,3066
"N00_N29_C64_C65","2021_2024",20,"Cluster_NLCD_C_SVI+SM+UN","0.00","0.11(-1.01,1.23)","1.77(0.32,3.15)","7.17(5.01,9.32)","0.8359","1.0006",4523,3688,"0.0148","1.0016",3135,3459,"0.0002","1.0020",3098,3600
"N00_N29_C64_C65","2006_2010",5,"Cluster_NLCD_D_SVI+SM+UN","0.00","-0.14(-2.86,2.56)","1.03(-1.91,3.93)","4.35(0.94,7.68)","0.9221","1.0002",3421,3592,"0.4797","1.0008",2633,3582,"0.0115","1.0014",2571,3401
"N00_N29_C64_C65","2011_2015",10,"Cluster_NLCD_D_SVI+SM+UN","0.00","0.47(-1.89,2.82)","1.38(-1.15,3.93)","3.54(0.39,6.59)","0.6896","1.0011",2693,3712,"0.2922","1.0029",2183,2625,"0.0315","1.0015",2174,2352
"N00_N29_C64_C65","2016_2020",15,"Cluster_NLCD_D_SVI+SM+UN","0.00","0.84(-1.80,3.43)","2.56(-0.20,5.34)","5.21(1.98,8.59)","0.5151","1.0031",2749,2722,"0.0739","1.0021",2250,2273,"0.0027","1.0015",2368,2301
"N00_N29_C64_C65","2021_2024",20,"Cluster_NLCD_D_SVI+SM+UN","0.00","-0.43(-3.42,2.58)","1.76(-1.33,4.79)","4.04(0.35,7.66)","0.7767","1.0034",2726,3392,"0.2581","1.0033",2213,2780,"0.0331","1.0031",2342,3501
