ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
K70_K76_C22,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,0.00,"4.53(2.24,6.79)","8.47(6.10,10.82)","13.87(11.44,16.37)",0.0002,1.0015,2866,3843,0.0002,1.0011,2063,3360,0.0002,1.0010,2165,2924
"K70_K76_C22","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","0.00","5.53(2.97,8.07)","10.18(7.41,12.93)","16.05(13.23,18.88)","0.0006","1.0013",3408,2963,"0.0002","1.0017",2547,3375,"0.0002","1.0017",2643,3350
"K70_K76_C22","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","0.00","3.56(0.55,6.55)","9.19(5.95,12.36)","16.12(12.82,19.46)","0.0202","1.0018",2616,3481,"0.0002","1.0025",2090,3174,"0.0002","1.0030",1986,3033
"K70_K76_C22","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","0.00","4.07(-0.06,8.06)","11.98(7.70,16.36)","19.65(15.21,24.05)","0.0535","1.0007",4779,4095,"0.0002","1.0018",3727,3558,"0.0002","1.0009",3667,3391
"K70_K76_C22","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","0.00","1.88(0.82,2.92)","3.87(2.67,5.09)","4.83(3.41,6.25)","0.0006","1.0020",2496,3301,"0.0002","1.0024",2075,3329,"0.0002","1.0033",2023,3237
"K70_K76_C22","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","0.00","2.04(0.89,3.18)","4.61(3.31,5.92)","4.81(3.20,6.36)","0.0002","1.0003",2574,3506,"0.0002","0.9996",1991,2780,"0.0002","1.0007",2270,3299
"K70_K76_C22","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","0.00","2.07(0.83,3.35)","4.09(2.68,5.50)","4.66(2.99,6.30)","0.0006","1.0017",3599,3647,"0.0002","1.0020",2993,3388,"0.0002","1.0019",2679,3648
"K70_K76_C22","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","0.00","3.67(1.81,5.43)","5.86(3.67,7.96)","6.40(3.93,8.83)","0.0006","1.0014",3396,3730,"0.0002","1.0022",2745,3428,"0.0002","1.0018",3069,3315
"K70_K76_C22","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","0.00","1.56(0.98,2.15)","3.17(2.49,3.84)","5.56(4.61,6.53)","0.0002","1.0022",3122,3300,"0.0002","1.0013",2643,3242,"0.0002","1.0014",2818,3105
"K70_K76_C22","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","0.00","1.36(0.72,1.98)","3.38(2.62,4.14)","5.39(4.36,6.46)","0.0002","1.0036",2737,4025,"0.0002","1.0029",2384,3352,"0.0002","1.0032",2470,3237
"K70_K76_C22","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","0.00","1.09(0.39,1.81)","2.89(2.06,3.73)","5.57(4.36,6.82)","0.0044","1.0005",2695,3865,"0.0002","1.0009",2241,3286,"0.0002","1.0009",2329,3446
"K70_K76_C22","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","0.00","1.59(0.51,2.71)","3.39(2.15,4.70)","6.73(4.83,8.59)","0.0052","1.0014",3086,3493,"0.0002","1.0007",2522,3655,"0.0002","1.0001",2648,3428
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","0.00","3.42(2.25,4.54)","6.41(5.06,7.69)","10.53(9.03,12.03)","0.0002","1.0025",2668,3020,"0.0002","1.0003",2084,3052,"0.0002","1.0004",2204,3153
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","0.00","3.27(1.93,4.61)","6.80(5.28,8.31)","10.71(8.94,12.48)","0.0002","1.0017",2769,3587,"0.0002","1.0034",2036,3156,"0.0002","1.0026",2024,3333
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_A_SVI+SM+UN","0.00","3.03(1.72,4.36)","6.75(5.18,8.29)","10.58(8.79,12.37)","0.0002","1.0011",2827,3757,"0.0002","1.0018",2285,3141,"0.0002","1.0016",2465,3145
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_A_SVI+SM+UN","0.00","4.27(2.14,6.40)","9.60(7.14,12.10)","15.34(12.53,18.17)","0.0002","0.9999",3403,3766,"0.0002","1.0008",2819,3428,"0.0002","1.0004",2667,3737
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_B_SVI+SM+UN","0.00","2.15(0.38,3.89)","3.01(1.05,4.90)","3.57(1.30,5.76)","0.0148","1.0010",3475,3533,"0.0015","1.0021",2959,3746,"0.0006","1.0019",3124,3974
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_B_SVI+SM+UN","0.00","2.91(1.16,4.56)","3.89(2.00,5.77)","3.48(1.23,5.73)","0.0006","1.0027",2819,3168,"0.0002","1.0022",2560,3176,"0.0015","1.0024",2503,3190
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_B_SVI+SM+UN","0.00","1.08(-0.75,2.93)","2.36(0.41,4.32)","2.64(0.28,5.02)","0.2477","1.0005",3901,4133,"0.0173","1.0005",3405,3636,"0.0306","1.0011",3734,3853
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_B_SVI+SM+UN","0.00","0.95(-1.87,3.68)","3.46(0.35,6.46)","2.19(-1.45,5.88)","0.5018","1.0001",3391,3920,"0.0277","1.0006",3291,3897,"0.2481","1.0000",3397,3680
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_C_SVI+SM+UN","0.00","1.86(1.00,2.73)","3.97(2.90,5.06)","8.03(6.32,9.71)","0.0002","1.0000",3749,3586,"0.0002","1.0006",2827,3758,"0.0002","1.0005",2731,3435
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_C_SVI+SM+UN","0.00","2.38(1.45,3.33)","5.05(3.82,6.25)","10.35(8.57,12.12)","0.0002","1.0006",3138,3811,"0.0002","1.0013",2588,3561,"0.0002","1.0010",2541,3185
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_C_SVI+SM+UN","0.00","2.50(1.48,3.53)","4.87(3.55,6.17)","8.93(6.99,10.79)","0.0002","1.0011",3259,3635,"0.0002","1.0011",2484,3036,"0.0002","1.0011",2620,3250
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_C_SVI+SM+UN","0.00","4.09(2.55,5.65)","6.82(4.89,8.77)","12.69(10.02,15.43)","0.0002","1.0005",4575,3698,"0.0002","1.0007",3422,3702,"0.0002","1.0014",3328,3888
"K70_K76_C22","2006_2010",5,"Cluster_NLCD_D_SVI+SM+UN","0.00","0.80(-0.88,2.47)","2.28(0.50,4.08)","4.10(1.90,6.42)","0.3510","1.0002",3002,3685,"0.0131","1.0005",2273,3537,"0.0006","1.0013",2394,3236
"K70_K76_C22","2011_2015",10,"Cluster_NLCD_D_SVI+SM+UN","0.00","1.15(-1.09,3.36)","3.17(0.80,5.47)","4.38(1.44,7.23)","0.3056","1.0007",3949,3694,"0.0115","1.0010",3181,3519,"0.0023","1.0007",3285,3569
"K70_K76_C22","2016_2020",15,"Cluster_NLCD_D_SVI+SM+UN","0.00","1.43(-0.84,3.67)","2.45(0.04,4.81)","3.58(0.61,6.42)","0.2106","1.0009",3502,3640,"0.0485","1.0014",2686,3197,"0.0181","1.0007",2754,3285
"K70_K76_C22","2021_2024",20,"Cluster_NLCD_D_SVI+SM+UN","0.00","0.60(-2.80,3.87)","1.19(-2.28,4.73)","2.47(-1.62,6.54)","0.7155","1.0006",3372,3585,"0.4964","1.0006",2801,3464,"0.2485","1.0006",2836,3256
