ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
J40_J47_J60_J70_J84_D86_C34,2006_2010,5,Cluster_EQI_A_SVI+UN,0.00,"7.19(1.36,12.89)","23.72(18.26,29.46)","17.90(12.09,23.83)",0.0173,1.0000,2907,2908,0.0002,1.0013,2336,3208,0.0002,1.0008,2435,3247
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Cluster_EQI_A_SVI+UN","0.00","7.62(1.92,13.12)","21.09(15.61,26.51)","14.49(8.75,20.22)","0.0060","1.0006",2972,3368,"0.0002","1.0010",3033,3780,"0.0002","1.0011",3260,3297
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Cluster_EQI_A_SVI+UN","0.00","5.53(0.19,10.82)","22.38(17.07,27.61)","17.47(11.77,23.22)","0.0410","1.0003",3095,3145,"0.0002","1.0002",3060,3694,"0.0002","1.0002",3039,3344
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Cluster_EQI_A_SVI+UN","0.00","5.49(-0.65,11.63)","20.76(14.70,26.44)","16.41(10.22,22.60)","0.0756","1.0014",3225,3467,"0.0002","1.0001",2488,2999,"0.0002","1.0002",2784,3300
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Cluster_EQI_B_SVI+UN","0.00","9.79(5.52,13.81)","16.70(12.27,21.13)","15.75(10.70,20.63)","0.0002","1.0038",1683,3339,"0.0002","1.0035",1861,2643,"0.0002","1.0025",2156,3198
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Cluster_EQI_B_SVI+UN","0.00","8.27(4.13,12.41)","14.62(9.82,19.12)","12.35(6.74,17.82)","0.0010","1.0005",3737,3702,"0.0002","1.0003",3241,3584,"0.0002","1.0016",2990,3451
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Cluster_EQI_B_SVI+UN","0.00","8.27(4.14,12.43)","14.53(9.84,19.21)","16.94(11.64,22.26)","0.0002","1.0006",3653,4010,"0.0002","1.0008",3504,3489,"0.0002","1.0007",3509,3558
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Cluster_EQI_B_SVI+UN","0.00","8.15(3.52,12.94)","13.30(8.02,18.59)","16.06(10.08,22.14)","0.0002","0.9995",3082,3623,"0.0002","1.0017",2811,3222,"0.0002","1.0000",2726,3139
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Cluster_EQI_C_SVI+UN","0.00","8.35(5.89,10.86)","16.99(14.15,19.82)","21.30(17.55,25.20)","0.0002","1.0018",2229,2414,"0.0002","1.0006",1956,2681,"0.0002","1.0020",2101,3226
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Cluster_EQI_C_SVI+UN","0.00","8.38(5.90,10.87)","16.50(13.53,19.42)","18.99(14.78,23.19)","0.0002","1.0025",1942,2792,"0.0002","1.0034",1389,1985,"0.0002","1.0027",1640,2074
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Cluster_EQI_C_SVI+UN","0.00","9.69(7.24,12.26)","17.99(15.04,21.00)","22.41(18.38,26.56)","0.0002","1.0021",2007,2594,"0.0002","1.0024",1686,2516,"0.0002","1.0019",1817,2946
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Cluster_EQI_C_SVI+UN","0.00","10.99(8.14,13.84)","19.29(15.95,22.63)","24.65(19.79,29.47)","0.0002","1.0013",3366,3582,"0.0002","1.0010",2979,3542,"0.0002","1.0012",3331,3394
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Cluster_NLCD_A_SVI+UN","0.00","11.44(7.73,15.12)","27.84(24.00,31.74)","25.01(20.58,29.37)","0.0002","1.0011",2212,2987,"0.0002","1.0029",1898,2957,"0.0002","1.0018",1859,2844
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Cluster_NLCD_A_SVI+UN","0.00","11.24(7.62,14.97)","26.88(22.89,30.82)","23.29(18.82,27.85)","0.0002","1.0030",2087,2725,"0.0002","1.0020",1875,2478,"0.0002","1.0037",1883,2873
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Cluster_NLCD_A_SVI+UN","0.00","11.38(7.78,14.95)","28.75(24.94,32.47)","27.02(22.51,31.31)","0.0002","1.0001",2564,3018,"0.0002","1.0007",1963,2813,"0.0002","1.0006",2202,3023
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Cluster_NLCD_A_SVI+UN","0.00","12.00(8.01,15.94)","28.24(23.84,32.57)","29.47(24.50,34.52)","0.0002","1.0007",3695,3437,"0.0002","1.0007",3086,3710,"0.0002","1.0009",3202,3679
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Cluster_NLCD_B_SVI+UN","0.00","7.03(1.39,12.79)","11.66(5.85,17.52)","10.29(3.79,16.72)","0.0156","1.0005",3497,3970,"0.0002","1.0001",3444,3606,"0.0019","1.0002",3745,3593
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Cluster_NLCD_B_SVI+UN","0.00","7.73(2.29,13.32)","11.30(5.63,16.96)","11.76(4.99,18.27)","0.0069","1.0008",2976,3236,"0.0002","1.0015",3592,3579,"0.0006","1.0012",2863,2834
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Cluster_NLCD_B_SVI+UN","0.00","6.59(1.10,12.17)","11.76(6.20,17.26)","13.90(7.54,20.50)","0.0202","1.0010",3347,3624,"0.0002","1.0005",3399,2922,"0.0002","1.0010",3489,3469
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Cluster_NLCD_B_SVI+UN","0.00","6.62(0.68,12.27)","9.87(3.78,15.64)","12.80(5.97,19.59)","0.0240","1.0008",5929,2983,"0.0015","1.0001",5437,3732,"0.0010","1.0004",4920,3812
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Cluster_NLCD_C_SVI+UN","0.00","8.68(5.94,11.48)","14.81(11.58,18.11)","15.28(10.49,19.94)","0.0002","1.0041",2986,2721,"0.0002","1.0012",2776,2840,"0.0002","1.0004",2950,3114
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Cluster_NLCD_C_SVI+UN","0.00","7.56(4.73,10.40)","13.78(10.23,17.37)","11.34(6.36,16.13)","0.0002","1.0001",3024,3331,"0.0002","1.0016",2105,3025,"0.0002","1.0015",2182,2863
