ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
C00_C97,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,0.00,"5.47(-0.49,11.54)","9.78(3.59,15.88)","16.72(10.52,23.12)",0.0723,1.0007,4746,4171,0.0027,1.0010,4421,3789,0.0002,1.0006,4355,3845
"C00_C97","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","0.00","5.15(-0.63,10.90)","11.07(5.22,17.22)","16.77(10.51,23.01)","0.0827","1.0008",4177,3671,"0.0002","1.0009",3422,3305,"0.0002","1.0008",3548,3678
"C00_C97","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","0.00","1.54(-3.92,7.37)","8.79(3.07,14.59)","16.71(10.67,22.67)","0.6063","0.9999",4278,3885,"0.0015","1.0006",3731,3357,"0.0002","1.0004",3515,3439
"C00_C97","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","0.00","-1.17(-7.67,5.24)","8.06(1.56,14.65)","15.74(8.88,22.64)","0.7288","1.0018",4740,3860,"0.0123","1.0010",3382,3475,"0.0002","1.0004",3772,3798
"C00_C97","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","0.00","4.21(-0.10,8.51)","8.47(3.76,13.09)","9.50(4.30,14.79)","0.0560","1.0005",4289,4027,"0.0002","1.0001",3936,3723,"0.0006","1.0006",3828,3927
"C00_C97","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","0.00","3.47(-0.57,7.29)","8.59(4.24,12.84)","11.96(6.87,17.01)","0.0806","1.0008",5333,3692,"0.0002","1.0005",3973,3520,"0.0002","1.0003",4482,3946
"C00_C97","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","0.00","2.78(-0.91,6.69)","7.70(3.42,12.14)","14.12(9.13,19.12)","0.1573","1.0006",5261,3501,"0.0002","1.0011",3864,3717,"0.0002","1.0018",4119,3592
"C00_C97","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","0.00","0.40(-4.20,4.88)","4.72(-0.25,9.62)","13.01(7.29,18.78)","0.8592","1.0018",3918,3285,"0.0602","1.0023",3521,3795,"0.0002","1.0015",3538,3528
"C00_C97","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","0.00","2.85(0.65,5.03)","7.61(5.11,10.24)","12.55(8.92,16.13)","0.0115","1.0035",1953,2732,"0.0002","1.0047",1361,2193,"0.0002","1.0041",1583,1957
"C00_C97","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","0.00","1.91(-0.30,4.03)","6.28(3.69,8.80)","9.74(6.23,13.19)","0.0873","1.0014",2956,3148,"0.0002","1.0012",2481,3058,"0.0002","1.0020",2565,3674
