ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
C00_C97,2006_2010,5,Cluster_EQI_A_SVI+SM+UN,"1.00(1.00,1.00)","1.03(1.00,1.07)","1.06(1.02,1.10)","1.10(1.06,1.15)",NA,0.0723,0.0027,0.0002,1.0007,1.0010,1.0006,4746,4421,4355,4171,3789,3845
"C00_C97","2011_2015",10,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.00,1.07)","1.07(1.03,1.12)","1.11(1.07,1.16)",NA,"0.0827","0.0002","0.0002","1.0008","1.0009","1.0008",4177,3422,3548,3671,3305,3678
"C00_C97","2016_2020",15,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.97,1.05)","1.06(1.02,1.10)","1.12(1.07,1.16)",NA,"0.6063","0.0015","0.0002","0.9999","1.0006","1.0004",4278,3731,3515,3885,3357,3439
"C00_C97","2021_2024",20,"Cluster_EQI_A_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.96,1.03)","1.05(1.01,1.08)","1.09(1.05,1.13)",NA,"0.7288","0.0123","0.0002","1.0018","1.0010","1.0004",4740,3382,3772,3860,3475,3798
"C00_C97","2006_2010",5,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.02(1.00,1.05)","1.05(1.02,1.08)","1.06(1.03,1.09)",NA,"0.0560","0.0002","0.0006","1.0005","1.0001","1.0006",4289,3936,3828,4027,3723,3927
"C00_C97","2011_2015",10,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.02(1.00,1.05)","1.05(1.03,1.08)","1.07(1.04,1.11)",NA,"0.0806","0.0002","0.0002","1.0008","1.0005","1.0003",5333,3973,4482,3692,3520,3946
"C00_C97","2016_2020",15,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.99,1.04)","1.05(1.02,1.08)","1.09(1.06,1.13)",NA,"0.1573","0.0002","0.0002","1.0006","1.0011","1.0018",5261,3864,4119,3501,3717,3592
"C00_C97","2021_2024",20,"Cluster_EQI_B_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.98,1.03)","1.03(1.00,1.05)","1.07(1.04,1.11)",NA,"0.8592","0.0602","0.0002","1.0018","1.0023","1.0015",3918,3521,3538,3285,3795,3528
"C00_C97","2006_2010",5,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.06)","1.08(1.05,1.12)","1.13(1.09,1.19)",NA,"0.0115","0.0002","0.0002","1.0035","1.0047","1.0041",1953,1361,1583,2732,2193,1957
"C00_C97","2011_2015",10,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.01(1.00,1.03)","1.04(1.02,1.06)","1.06(1.04,1.08)",NA,"0.0873","0.0002","0.0002","1.0014","1.0012","1.0020",2956,2481,2565,3148,3058,3674
"C00_C97","2016_2020",15,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.02(1.01,1.03)","1.04(1.03,1.06)","1.06(1.04,1.08)",NA,"0.0027","0.0002","0.0002","1.0016","1.0007","1.0003",3556,2798,2963,3784,3460,3496
"C00_C97","2021_2024",20,"Cluster_EQI_C_SVI+SM+UN","1.00(1.00,1.00)","1.01(1.00,1.03)","1.03(1.01,1.05)","1.07(1.04,1.09)",NA,"0.0898","0.0006","0.0002","1.0001","1.0011","1.0000",3336,2645,2626,3273,2988,3090
"C00_C97","2006_2010",5,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.02,1.07)","1.07(1.04,1.10)","1.08(1.05,1.11)",NA,"0.0006","0.0002","0.0002","1.0003","1.0013","1.0012",4198,3416,3591,3903,3781,3432
"C00_C97","2011_2015",10,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.02,1.07)","1.08(1.05,1.11)","1.09(1.06,1.13)",NA,"0.0019","0.0002","0.0002","1.0005","1.0004","1.0008",4250,3733,3731,3757,3655,3565
"C00_C97","2016_2020",15,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.04(1.01,1.07)","1.09(1.06,1.12)","1.12(1.09,1.16)",NA,"0.0019","0.0002","0.0002","0.9997","1.0007","0.9999",3567,3072,3114,3439,3339,3384
"C00_C97","2021_2024",20,"Cluster_NLCD_A_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.00,1.06)","1.07(1.04,1.10)","1.13(1.09,1.16)",NA,"0.0302","0.0002","0.0002","1.0024","1.0004","1.0012",2989,2838,2957,3164,3375,3421
"C00_C97","2006_2010",5,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.97,1.04)","1.01(0.97,1.04)","1.02(0.99,1.06)",NA,"0.8259","0.7917","0.2552","1.0020","1.0029","1.0009",4937,4730,4476,4123,3226,3510
"C00_C97","2011_2015",10,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.97,1.04)","1.02(0.98,1.06)","1.04(1.00,1.08)",NA,"0.7105","0.4293","0.0685","1.0010","1.0008","1.0000",4150,4215,3856,3534,3719,3536
"C00_C97","2016_2020",15,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","1.00(0.96,1.03)","1.02(0.98,1.06)","1.06(1.02,1.11)",NA,"0.8042","0.3747","0.0090","0.9998","1.0011","1.0009",2892,2797,2926,2987,3368,3403
"C00_C97","2021_2024",20,"Cluster_NLCD_B_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.95,1.03)","1.00(0.97,1.04)","1.04(1.00,1.08)",NA,"0.5472","0.8188","0.0635","1.0001","0.9998","1.0001",4397,3807,4007,3704,3436,3754
"C00_C97","2006_2010",5,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.05)","1.02(1.00,1.04)","1.06(1.03,1.09)",NA,"0.0035","0.0698","0.0002","1.0010","1.0009","1.0016",3978,3744,3631,3579,2933,3684
"C00_C97","2011_2015",10,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.04)","1.03(1.01,1.05)","1.07(1.04,1.11)",NA,"0.0044","0.0069","0.0002","1.0009","1.0009","1.0004",4912,3966,4126,3854,3975,4413
"C00_C97","2016_2020",15,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.03(1.01,1.05)","1.03(1.01,1.06)","1.08(1.05,1.11)",NA,"0.0002","0.0010","0.0002","0.9999","1.0012","1.0006",4291,3106,3216,4132,3638,3926
"C00_C97","2021_2024",20,"Cluster_NLCD_C_SVI+SM+UN","1.00(1.00,1.00)","1.02(1.00,1.04)","1.03(1.00,1.05)","1.08(1.05,1.12)",NA,"0.0585","0.0231","0.0002","1.0020","1.0004","1.0018",4814,3941,3800,3923,3652,3721
"C00_C97","2006_2010",5,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.98,1.05)","1.01(0.97,1.04)","0.99(0.95,1.03)",NA,"0.4964","0.7442","0.5580","1.0010","1.0013","1.0008",3137,3293,4046,3190,3152,3557
"C00_C97","2011_2015",10,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.98,1.05)","1.02(0.98,1.05)","1.01(0.97,1.06)",NA,"0.4164","0.3805","0.5488","1.0011","1.0009","1.0019",4214,3572,4016,3701,3413,3499
"C00_C97","2016_2020",15,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.98,1.06)","0.99(0.95,1.03)","1.02(0.97,1.06)",NA,"0.3743","0.6455","0.5268","1.0004","1.0006","1.0002",7883,6310,6740,4066,3692,4142
"C00_C97","2021_2024",20,"Cluster_NLCD_D_SVI+SM+UN","1.00(1.00,1.00)","0.99(0.95,1.04)","1.00(0.96,1.05)","1.01(0.96,1.06)",NA,"0.7413","0.9867","0.7438","1.0055","1.0012","1.0035",6910,5150,6880,3866,3921,3680
