ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
G20_G30_G12.2_F01_F03,2006_2010,5,Cluster_EQI_A_SVI+PA+UN,0.00,"8.00(3.53,12.41)","13.01(8.78,17.28)","11.27(6.84,15.65)",0.0010,0.9999,4110,3858,0.0002,1.0003,3266,3630,0.0002,1.0009,3613,4318
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_EQI_A_SVI+PA+UN","0.00","3.95(-0.63,8.73)","11.31(6.76,15.93)","10.79(5.96,15.68)","0.0894","1.0003",4174,3977,"0.0002","0.9999",3355,3753,"0.0002","1.0011",3352,3808
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_EQI_A_SVI+PA+UN","0.00","2.70(-2.24,7.62)","9.29(4.48,13.87)","10.83(5.94,15.65)","0.2756","1.0017",3615,3659,"0.0002","1.0021",2692,3084,"0.0002","1.0013",2923,3382
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_EQI_A_SVI+PA+UN","0.00","3.41(-1.57,8.45)","7.94(3.06,12.86)","10.88(5.75,15.82)","0.1798","1.0006",4223,3709,"0.0006","1.0013",3627,3780,"0.0002","1.0010",3830,3912
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_EQI_B_SVI+PA+UN","0.00","3.18(0.02,6.43)","7.07(3.51,10.63)","5.19(0.92,9.45)","0.0477","1.0014",3882,3194,"0.0002","1.0009",3319,3921,"0.0148","1.0017",2945,3874
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_EQI_B_SVI+PA+UN","0.00","3.24(-0.07,6.46)","8.89(5.18,12.48)","8.26(3.82,12.58)","0.0564","1.0006",3456,3454,"0.0002","1.0005",2809,3084,"0.0002","1.0024",2751,3473
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_EQI_B_SVI+PA+UN","0.00","2.81(-0.69,6.35)","7.58(3.73,11.38)","9.78(5.13,14.10)","0.1077","1.0001",4694,3989,"0.0006","1.0008",3591,4007,"0.0002","1.0006",3484,4171
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_EQI_B_SVI+PA+UN","0.00","3.47(-0.35,7.23)","6.61(2.46,10.68)","7.88(2.74,12.76)","0.0752","1.0021",5748,3786,"0.0044","1.0009",4385,3752,"0.0031","1.0004",3921,3317
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_EQI_C_SVI+PA+UN","0.00","0.84(-1.10,2.76)","4.53(2.24,6.80)","3.44(0.14,6.66)","0.3930","1.0002",3262,3412,"0.0006","1.0010",2635,3131,"0.0414","1.0020",2891,3304
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_EQI_C_SVI+PA+UN","0.00","0.65(-1.47,2.73)","5.91(3.44,8.40)","5.48(1.81,9.10)","0.5322","1.0020",2742,3569,"0.0002","1.0039",1998,2971,"0.0015","1.0021",2136,3227
