ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
G20_G30_G12.2_F01_F03,2006_2010,5,Cluster_EQI_A_SVI+PA+UN,"1.00(1.00,1.00)","1.19(1.08,1.32)","1.31(1.20,1.45)","1.27(1.15,1.40)",NA,0.0010,0.0002,0.0002,0.9999,1.0003,1.0009,4110,3266,3613,3858,3630,4318
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_EQI_A_SVI+PA+UN","1.00(1.00,1.00)","1.08(0.99,1.18)","1.22(1.12,1.34)","1.21(1.11,1.33)",NA,"0.0894","0.0002","0.0002","1.0003","0.9999","1.0011",4174,3355,3352,3977,3753,3808
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_EQI_A_SVI+PA+UN","1.00(1.00,1.00)","1.05(0.96,1.15)","1.17(1.08,1.27)","1.20(1.10,1.31)",NA,"0.2756","0.0002","0.0002","1.0017","1.0021","1.0013",3615,2692,2923,3659,3084,3382
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_EQI_A_SVI+PA+UN","1.00(1.00,1.00)","1.06(0.97,1.15)","1.14(1.05,1.23)","1.19(1.09,1.29)",NA,"0.1798","0.0006","0.0002","1.0006","1.0013","1.0010",4223,3627,3830,3709,3780,3912
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_EQI_B_SVI+PA+UN","1.00(1.00,1.00)","1.06(1.00,1.12)","1.13(1.06,1.20)","1.09(1.02,1.18)",NA,"0.0477","0.0002","0.0148","1.0014","1.0009","1.0017",3882,3319,2945,3194,3921,3874
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_EQI_B_SVI+PA+UN","1.00(1.00,1.00)","1.05(1.00,1.11)","1.14(1.08,1.20)","1.13(1.06,1.21)",NA,"0.0564","0.0002","0.0002","1.0006","1.0005","1.0024",3456,2809,2751,3454,3084,3473
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_EQI_B_SVI+PA+UN","1.00(1.00,1.00)","1.04(0.99,1.10)","1.12(1.05,1.18)","1.15(1.08,1.22)",NA,"0.1077","0.0006","0.0002","1.0001","1.0008","1.0006",4694,3591,3484,3989,4007,4171
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_EQI_B_SVI+PA+UN","1.00(1.00,1.00)","1.05(0.99,1.11)","1.10(1.03,1.17)","1.12(1.04,1.20)",NA,"0.0752","0.0044","0.0031","1.0021","1.0009","1.0004",5748,4385,3921,3786,3752,3317
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_EQI_C_SVI+PA+UN","1.00(1.00,1.00)","1.01(0.98,1.05)","1.07(1.04,1.11)","1.06(1.00,1.11)",NA,"0.3930","0.0006","0.0414","1.0002","1.0010","1.0020",3262,2635,2891,3412,3131,3304
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_EQI_C_SVI+PA+UN","1.00(1.00,1.00)","1.01(0.98,1.04)","1.08(1.05,1.12)","1.08(1.03,1.13)",NA,"0.5322","0.0002","0.0015","1.0020","1.0039","1.0021",2742,1998,2136,3569,2971,3227
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_EQI_C_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.99,1.04)","1.10(1.06,1.13)","1.12(1.07,1.17)",NA,"0.3097","0.0002","0.0002","1.0012","1.0036","1.0018",2838,2217,2641,3463,3013,3277
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_EQI_C_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.99,1.05)","1.07(1.03,1.11)","1.12(1.07,1.18)",NA,"0.2206","0.0002","0.0002","1.0015","1.0015","1.0017",3436,2654,3035,3891,3415,3673
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_NLCD_A_SVI+PA+UN","1.00(1.00,1.00)","1.10(1.04,1.16)","1.21(1.14,1.28)","1.16(1.09,1.24)",NA,"0.0010","0.0002","0.0002","1.0005","1.0013","1.0015",2647,2200,2268,3264,2705,3101
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_NLCD_A_SVI+PA+UN","1.00(1.00,1.00)","1.08(1.02,1.13)","1.22(1.15,1.29)","1.20(1.13,1.27)",NA,"0.0052","0.0002","0.0002","0.9996","1.0005","1.0009",2706,2062,1988,3548,2935,2821
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_NLCD_A_SVI+PA+UN","1.00(1.00,1.00)","1.06(1.01,1.11)","1.18(1.12,1.24)","1.20(1.14,1.27)",NA,"0.0110","0.0002","0.0002","1.0014","1.0030","1.0028",2656,2187,2026,3070,3185,2924
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_NLCD_A_SVI+PA+UN","1.00(1.00,1.00)","1.12(1.07,1.18)","1.22(1.15,1.29)","1.26(1.18,1.34)",NA,"0.0002","0.0002","0.0002","1.0009","1.0017","1.0012",2668,2149,2038,3164,2788,2963
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_NLCD_B_SVI+PA+UN","1.00(1.00,1.00)","1.03(0.95,1.11)","1.06(0.98,1.14)","1.13(1.03,1.23)",NA,"0.5159","0.1677","0.0090","1.0009","1.0012","1.0006",4999,3933,4022,4035,3818,4256
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_NLCD_B_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.95,1.09)","1.06(0.99,1.14)","1.20(1.10,1.29)",NA,"0.6626","0.1139","0.0002","1.0006","1.0008","1.0013",4344,3959,3526,3921,3761,3439
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_NLCD_B_SVI+PA+UN","1.00(1.00,1.00)","1.01(0.94,1.08)","1.07(0.99,1.15)","1.24(1.14,1.34)",NA,"0.8959","0.0748","0.0002","1.0016","1.0011","1.0000",4546,4039,4162,3909,4011,3726
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_NLCD_B_SVI+PA+UN","1.00(1.00,1.00)","0.98(0.91,1.06)","1.03(0.96,1.11)","1.24(1.14,1.34)",NA,"0.6167","0.4784","0.0002","0.9996","1.0009","1.0006",4049,3463,3251,4038,3770,3289
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_NLCD_C_SVI+PA+UN","1.00(1.00,1.00)","1.06(1.01,1.10)","1.13(1.07,1.18)","1.11(1.04,1.18)",NA,"0.0081","0.0002","0.0019","1.0023","1.0035","1.0010",4122,3178,2611,3717,3438,3033
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_NLCD_C_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.98,1.06)","1.09(1.04,1.14)","1.07(1.01,1.14)",NA,"0.3976","0.0006","0.0348","0.9998","1.0006","1.0006",4470,3766,3535,3541,3559,3827
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_NLCD_C_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.99,1.06)","1.09(1.04,1.13)","1.08(1.02,1.14)",NA,"0.1906","0.0002","0.0127","1.0013","1.0017","1.0015",3994,3044,2893,3879,3858,3489
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_NLCD_C_SVI+PA+UN","1.00(1.00,1.00)","0.99(0.95,1.03)","1.03(0.99,1.08)","1.06(0.99,1.12)",NA,"0.5830","0.1602","0.0764","1.0006","1.0004","1.0005",5503,4192,4179,3777,4221,3668
"G20_G30_G12.2_F01_F03","2006_2010",5,"Cluster_NLCD_D_SVI+PA+UN","1.00(1.00,1.00)","1.00(0.92,1.08)","1.05(0.97,1.14)","1.01(0.93,1.10)",NA,"0.9679","0.2289","0.8559","1.0006","1.0004","1.0001",3774,3346,3351,3326,3633,3611
"G20_G30_G12.2_F01_F03","2011_2015",10,"Cluster_NLCD_D_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.95,1.11)","1.05(0.97,1.13)","1.05(0.97,1.15)",NA,"0.5343","0.2427","0.2260","1.0009","1.0008","1.0008",4277,3533,3604,3457,3390,3475
"G20_G30_G12.2_F01_F03","2016_2020",15,"Cluster_NLCD_D_SVI+PA+UN","1.00(1.00,1.00)","0.99(0.90,1.08)","1.03(0.94,1.12)","1.08(0.98,1.17)",NA,"0.7917","0.5655","0.1206","1.0004","1.0006","1.0001",4896,4377,4261,3620,3971,3683
"G20_G30_G12.2_F01_F03","2021_2024",20,"Cluster_NLCD_D_SVI+PA+UN","1.00(1.00,1.00)","1.02(0.92,1.12)","1.04(0.94,1.14)","1.03(0.92,1.15)",NA,"0.7101","0.4726","0.5718","1.0021","1.0002","1.0002",5172,5335,5506,3464,4033,4171
