ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
K70_K76_C22,2006_2010,5,Census_Region_1_SVI+SM+UN,"1.00(1.00,1.00)","1.01(0.96,1.07)","1.05(0.99,1.12)","1.23(1.13,1.35)",NA,0.6797,0.1073,0.0002,1.0010,1.0022,1.0016,3206,3099,3415,3273,3591,3351
"K70_K76_C22","2011_2015",10,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.03(0.97,1.09)","1.06(0.99,1.13)","1.20(1.09,1.32)",NA,"0.3718","0.0914","0.0002","1.0006","1.0009","1.0009",2803,2487,2380,3633,3225,2951
"K70_K76_C22","2016_2020",15,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.02(0.98,1.07)","1.05(1.00,1.11)","1.06(0.98,1.16)",NA,"0.3276","0.0514","0.1643","1.0024","1.0023","1.0018",2814,2386,2724,3046,3177,3407
"K70_K76_C22","2021_2024",20,"Census_Region_1_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.95,1.07)","1.03(0.96,1.10)","0.96(0.85,1.08)",NA,"0.8629","0.4726","0.4422","1.0012","1.0023","1.0016",2930,2667,2996,2987,3279,3254
"K70_K76_C22","2006_2010",5,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.18(1.11,1.26)","1.38(1.29,1.49)","2.18(1.96,2.40)",NA,"0.0002","0.0002","0.0002","1.0030","1.0013","1.0003",3180,2851,3614,3456,3528,3649
"K70_K76_C22","2011_2015",10,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.24(1.17,1.31)","1.44(1.35,1.54)","1.98(1.78,2.20)",NA,"0.0002","0.0002","0.0002","1.0014","1.0006","1.0024",3262,2750,3557,3588,3386,3082
"K70_K76_C22","2016_2020",15,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.15(1.09,1.21)","1.28(1.19,1.36)","1.69(1.47,1.92)",NA,"0.0002","0.0002","0.0002","1.0027","1.0015","1.0039",2090,1864,2133,2866,2572,2256
"K70_K76_C22","2021_2024",20,"Census_Region_2_SVI+SM+UN","1.00(1.00,1.00)","1.18(1.12,1.25)","1.28(1.20,1.37)","1.46(1.29,1.63)",NA,"0.0002","0.0002","0.0002","1.0008","1.0003","1.0016",4680,4302,5714,3834,4005,3266
"K70_K76_C22","2006_2010",5,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.15(1.05,1.26)","1.26(1.14,1.38)","1.41(1.28,1.56)",NA,"0.0006","0.0002","0.0002","1.0015","1.0006","1.0010",1974,1774,1707,3117,2614,2639
"K70_K76_C22","2011_2015",10,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.10(1.01,1.20)","1.22(1.11,1.34)","1.29(1.18,1.42)",NA,"0.0319","0.0002","0.0002","1.0043","1.0052","1.0051",2111,1768,1759,2822,2614,2585
"K70_K76_C22","2016_2020",15,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.04(0.97,1.12)","1.14(1.06,1.22)","1.19(1.11,1.29)",NA,"0.2781","0.0010","0.0002","1.0014","1.0022","1.0025",2241,2001,2010,2840,2718,3009
"K70_K76_C22","2021_2024",20,"Census_Region_3_SVI+SM+UN","1.00(1.00,1.00)","1.01(0.94,1.07)","1.08(1.01,1.16)","1.15(1.07,1.24)",NA,"0.8192","0.0202","0.0002","1.0011","1.0015","1.0022",2638,2054,1935,3434,2824,2667
"K70_K76_C22","2006_2010",5,"Census_Region_4_SVI+SM+UN","1.00(1.00,1.00)","1.29(1.08,1.56)","1.68(1.39,2.06)","2.23(1.83,2.77)",NA,"0.0048","0.0002","0.0002","1.0010","1.0012","1.0013",3158,2785,2349,3710,3244,2861
"K70_K76_C22","2011_2015",10,"Census_Region_4_SVI+SM+UN","1.00(1.00,1.00)","1.24(1.06,1.48)","1.61(1.33,1.96)","2.13(1.74,2.62)",NA,"0.0085","0.0002","0.0002","1.0007","1.0011","1.0022",2826,2261,2184,3256,2996,3093
