ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
J40_J47_J60_J70_J84_D86_C34,2006_2010,5,Census_Region_1_SVI+UN,"1.00(1.00,1.00)","1.27(1.02,2.18)","1.17(0.91,1.94)","0.88(0.25,1.32)",NA,0.0394,0.2110,0.4172,1.0011,1.0004,1.0010,3630,3656,3402,3197,3118,3264
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Census_Region_1_SVI+UN","1.00(1.00,1.00)","1.35(1.05,2.28)","1.28(0.96,2.19)","0.87(0.37,1.37)",NA,"0.0202","0.1135","0.4676","1.0018","0.9998","1.0002",3467,2976,2946,3366,2846,2965
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Census_Region_1_SVI+UN","1.00(1.00,1.00)","0.66(-0.25,4.38)","0.95(-0.26,4.44)","0.84(-0.20,2.46)",NA,"0.0785","0.1014","0.7638","1.0013","1.0012","1.0002",3548,3297,3522,3062,3454,3156
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Census_Region_1_SVI+UN","1.00(1.00,1.00)","1.27(1.05,1.70)","1.22(0.98,1.68)","0.88(0.51,1.26)",NA,"0.0131","0.0835","0.4626","1.0017","1.0006","1.0012",3711,3542,3419,3157,3104,3164
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Census_Region_2_SVI+UN","1.00(1.00,1.00)","1.46(-4.25,0.69)","1.85(-8.26,0.42)","2.27(-9.11,0.44)",NA,"0.0439","0.0439","0.0439","1.0014","1.0007","1.0012",3612,3823,3941,3093,3383,3126
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Census_Region_2_SVI+UN","1.00(1.00,1.00)","-1.50(-25.28,29.33)","-2.29(-41.51,49.67)","-2.28(-33.85,40.61)",NA,"0.8021","0.8021","0.8021","1.0023","1.0022","1.0011",3400,3097,3394,2824,2834,3004
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Census_Region_2_SVI+UN","1.00(1.00,1.00)","1.96(1.37,4.06)","2.53(1.58,5.74)","2.61(1.53,6.19)",NA,"0.0152","0.0152","0.0152","1.0024","1.0023","1.0005",3077,2710,3276,3182,2738,3266
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Census_Region_2_SVI+UN","1.00(1.00,1.00)","1.46(1.24,1.88)","1.73(1.40,2.42)","1.61(1.25,2.24)",NA,"0.0002","0.0002","0.0006","1.0010","1.0000","1.0018",3121,2994,3466,3565,2965,2954
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Census_Region_3_SVI+UN","1.00(1.00,1.00)","-0.04(-9.24,10.20)","-2.09(-37.59,38.89)","-1.56(-33.50,34.59)",NA,"0.4626","0.4543","0.4543","1.0026","1.0014","1.0023",2293,2345,2303,2945,3249,3004
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Census_Region_3_SVI+UN","1.00(1.00,1.00)","1.23(1.02,1.59)","1.93(1.46,3.02)","1.80(1.38,2.77)",NA,"0.0290","0.0002","0.0002","1.0009","1.0005","1.0002",2387,2214,2231,3055,2831,2557
"J40_J47_J60_J70_J84_D86_C34","2016_2020",15,"Census_Region_3_SVI+UN","1.00(1.00,1.00)","1.31(1.01,2.04)","2.38(1.63,5.30)","2.39(1.63,5.44)",NA,"0.0477","0.0077","0.0077","1.0016","1.0012","1.0007",2179,2026,2039,2367,2664,2811
"J40_J47_J60_J70_J84_D86_C34","2021_2024",20,"Census_Region_3_SVI+UN","1.00(1.00,1.00)","1.13(1.00,1.27)","1.55(1.36,1.85)","1.63(1.41,1.98)",NA,"0.0539","0.0002","0.0002","1.0019","1.0029","1.0029",2491,2320,2332,2965,2797,2708
"J40_J47_J60_J70_J84_D86_C34","2006_2010",5,"Census_Region_4_SVI+UN","1.00(1.00,1.00)","-0.07(-4.49,6.66)","-1.99(-17.17,19.63)","-2.83(-22.33,23.33)",NA,"0.5597","0.5197","0.5197","1.0014","1.0028","1.0032",2690,2524,2212,3190,3011,2852
"J40_J47_J60_J70_J84_D86_C34","2011_2015",10,"Census_Region_4_SVI+UN","1.00(1.00,1.00)","-0.68(-0.02,3.42)","-2.26(-2.45,8.57)","-3.07(-3.26,10.38)",NA,"0.0902","0.0644","0.0644","0.9999","1.0012","1.0010",2554,2737,2153,2723,3354,2843
