ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,B_p,B_rhat,B_ess_bulk,B_ess_tail,C_p,C_rhat,C_ess_bulk,C_ess_tail,D_p,D_rhat,D_ess_bulk,D_ess_tail
I00_I99,2006_2010,5,Census_Region_1_SVI+SM+UN,0.00,"-4.55(-9.63,0.24)","1.40(-4.18,6.81)","4.23(-3.55,12.00)",0.0689,1.0008,4064,3447,0.6255,1.0006,4173,3842,0.2722,1.0021,4621,3221
"I00_I99","2011_2015",10,"Census_Region_1_SVI+SM+UN","0.00","-1.57(-5.83,2.78)","1.08(-4.00,6.18)","3.00(-4.00,10.10)","0.4597","1.0020",4034,3106,"0.6684","1.0007",3882,3320,"0.4180","1.0010",3847,3459
"I00_I99","2016_2020",15,"Census_Region_1_SVI+SM+UN","0.00","1.41(-2.84,5.60)","1.85(-2.97,6.47)","6.42(-0.88,13.61)","0.5030","1.0002",3815,3528,"0.4584","1.0018",3907,3783,"0.0873","1.0011",4882,3549
"I00_I99","2021_2024",20,"Census_Region_1_SVI+SM+UN","0.00","3.30(-2.46,8.98)","4.06(-2.62,10.40)","3.79(-4.48,12.23)","0.2635","1.0020",4319,3129,"0.2214","1.0017",3822,3399,"0.3610","1.0011",3852,3341
"I00_I99","2006_2010",5,"Census_Region_2_SVI+SM+UN","0.00","6.37(2.62,10.17)","7.82(2.97,12.67)","14.62(6.52,22.54)","0.0010","1.0003",3217,3071,"0.0019","1.0000",3155,3239,"0.0002","1.0026",3172,3125
"I00_I99","2011_2015",10,"Census_Region_2_SVI+SM+UN","0.00","9.78(6.27,13.33)","14.97(10.38,19.41)","12.18(4.57,19.68)","0.0002","1.0011",3754,3649,"0.0002","1.0014",3305,3364,"0.0023","1.0011",3838,3244
"I00_I99","2016_2020",15,"Census_Region_2_SVI+SM+UN","0.00","8.35(4.83,11.85)","13.93(9.65,18.37)","17.58(10.13,24.76)","0.0002","1.0023",3423,3117,"0.0002","1.0028",3288,3497,"0.0002","1.0014",3465,3285
"I00_I99","2021_2024",20,"Census_Region_2_SVI+SM+UN","0.00","6.12(0.42,11.83)","11.97(5.21,18.80)","8.37(-0.56,17.30)","0.0348","1.0002",4571,3586,"0.0006","1.0011",4275,3587,"0.0652","1.0018",5273,3128
"I00_I99","2006_2010",5,"Census_Region_3_SVI+SM+UN","0.00","-2.13(-7.38,3.07)","13.28(7.93,18.35)","33.22(27.72,38.48)","0.4289","1.0007",2656,2868,"0.0002","1.0006",2564,2946,"0.0002","1.0008",2491,3186
"I00_I99","2011_2015",10,"Census_Region_3_SVI+SM+UN","0.00","-2.00(-7.04,2.95)","12.48(7.33,17.61)","31.70(26.27,37.29)","0.4355","1.0002",2777,3262,"0.0002","1.0008",2428,3041,"0.0002","1.0009",2487,2862
