ICD_Code,AAMR_Period,Lag,Model,A,B,C,D,A_p,B_p,C_p,D_p,B_rhat,C_rhat,D_rhat,B_ess_bulk,C_ess_bulk,D_ess_bulk,B_ess_tail,C_ess_tail,D_ess_tail
X60_X84_Y87.0,2006_2010,5,Census_Region_1_SVI+UN+PD+DB,"1.00(1.00,1.00)","1.01(0.93,1.09)","0.94(0.84,1.04)","0.86(0.70,1.03)",NA,0.8150,0.2168,0.1002,1.0014,1.0015,1.0024,2227,2178,2066,3566,3012,2988
"X60_X84_Y87.0","2011_2015",10,"Census_Region_1_SVI+UN+PD+DB","1.00(1.00,1.00)","1.03(0.95,1.12)","0.98(0.88,1.09)","0.84(0.65,1.02)",NA,"0.4659","0.7055","0.0927","1.0005","1.0015","1.0009",2713,2285,2119,3020,3121,3031
"X60_X84_Y87.0","2016_2020",15,"Census_Region_1_SVI+UN+PD+DB","1.00(1.00,1.00)","1.11(1.02,1.22)","1.05(0.94,1.18)","0.86(0.65,1.06)",NA,"0.0173","0.4389","0.1585","1.0011","1.0009","1.0008",2448,1989,1924,2975,2677,2262
"X60_X84_Y87.0","2021_2024",20,"Census_Region_1_SVI+UN+PD+DB","1.00(1.00,1.00)","1.03(0.93,1.15)","0.99(0.87,1.14)","0.77(0.54,1.00)",NA,"0.5963","0.8550","0.0452","1.0004","0.9999","1.0031",2760,2478,2364,3210,3145,2968
"X60_X84_Y87.0","2006_2010",5,"Census_Region_2_SVI+UN+PD+DB","1.00(1.00,1.00)","1.24(1.15,1.34)","1.32(1.19,1.47)","1.13(0.86,1.42)",NA,"0.0002","0.0002","0.3468","1.0017","1.0013","1.0016",2481,2146,1970,3038,3077,2685
"X60_X84_Y87.0","2011_2015",10,"Census_Region_2_SVI+UN+PD+DB","1.00(1.00,1.00)","1.35(1.25,1.48)","1.45(1.30,1.63)","1.30(0.99,1.63)",NA,"0.0002","0.0002","0.0569","1.0001","1.0032","1.0022",2734,2158,1994,3217,2715,2850
"X60_X84_Y87.0","2016_2020",15,"Census_Region_2_SVI+UN+PD+DB","1.00(1.00,1.00)","1.27(1.17,1.38)","1.37(1.23,1.53)","1.38(1.08,1.71)",NA,"0.0002","0.0002","0.0115","1.0006","1.0017","1.0026",2629,2139,1672,2834,3037,2487
"X60_X84_Y87.0","2021_2024",20,"Census_Region_2_SVI+UN+PD+DB","1.00(1.00,1.00)","1.28(1.18,1.39)","1.32(1.18,1.48)","1.27(1.00,1.58)",NA,"0.0002","0.0002","0.0473","1.0002","1.0005","0.9999",2550,2118,2186,3010,2892,2853
"X60_X84_Y87.0","2006_2010",5,"Census_Region_3_SVI+UN+PD+DB","1.00(1.00,1.00)","1.42(1.23,1.65)","1.68(1.44,1.98)","1.76(1.48,2.10)",NA,"0.0002","0.0002","0.0002","1.0002","1.0007","1.0023",2480,2169,2019,3096,2837,2733
"X60_X84_Y87.0","2011_2015",10,"Census_Region_3_SVI+UN+PD+DB","1.00(1.00,1.00)","1.22(1.08,1.39)","1.44(1.26,1.65)","1.50(1.29,1.77)",NA,"0.0010","0.0002","0.0002","1.0036","1.0032","1.0027",2029,1768,1756,2961,2829,2580
