ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"2.81(1.92,3.65)","3.14(2.26,4.03)","3.64(2.65,4.64)","4.47(3.32,5.63)",0.0002,0.0002,0.0002,0.0002,1.0005,1.0016,1.0006,1.0024,2003,1617,1534,1520,2459,2052,2338,1885,"0.28(0.18,0.37)",0.0002,0.9996,2886,2836,"-0.31(-0.38,-0.24)",0.0002,1.0018,1952,2416,"0.48(0.39,0.58)",0.0002,1.0008,2358,2290,"-0.26(-0.35,-0.18)",0.0002,1.0022,1845,2489,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","2.15(1.22,3.06)","1.99(1.00,2.93)","2.28(1.31,3.25)","2.95(1.88,4.01)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0010","1.0013","1.0014",2170,1869,1729,1743,2289,2395,2487,2484,"0.30(0.21,0.40)","0.0002","1.0007",3432,2539,"-0.24(-0.32,-0.16)","0.0002","1.0008",2028,2542,"0.44(0.35,0.53)","0.0002","1.0001",3039,2864,"-0.26(-0.36,-0.18)","0.0002","1.0015",1950,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","-1.05(-2.08,0.02)","0.69(-0.39,1.74)","1.03(-0.01,2.11)","0.85(-0.28,2.03)","0.0537","0.1937","0.0547","0.1437","1.0017","1.0014","1.0018","1.0024",1645,1620,1581,1508,2771,2596,2612,2183,"0.30(0.21,0.40)","0.0002","1.0007",3432,2539,"-0.24(-0.32,-0.16)","0.0002","1.0008",2028,2542,"0.44(0.35,0.53)","0.0002","1.0001",3039,2864,"-0.26(-0.36,-0.18)","0.0002","1.0015",1950,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","-0.24(-1.00,0.56)","0.46(-0.39,1.30)","0.35(-0.63,1.31)","-0.22(-1.24,0.81)","0.5466","0.2757","0.4626","0.6881","1.0023","1.0006","1.0002","1.0007",2936,2125,1964,1895,2567,2688,2660,2640,"0.30(0.21,0.40)","0.0002","1.0007",3432,2539,"-0.24(-0.32,-0.16)","0.0002","1.0008",2028,2542,"0.44(0.35,0.53)","0.0002","1.0001",3039,2864,"-0.26(-0.36,-0.18)","0.0002","1.0015",1950,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","2.88(2.09,3.68)","2.76(1.95,3.58)","3.01(2.18,3.82)","3.71(2.84,4.58)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0014","1.0011","1.0009",2399,1974,1881,1826,3136,2653,2638,2725,"0.30(0.21,0.40)","0.0002","1.0007",3432,2539,"-0.24(-0.32,-0.16)","0.0002","1.0008",2028,2542,"0.44(0.35,0.53)","0.0002","1.0001",3039,2864,"-0.26(-0.36,-0.18)","0.0002","1.0015",1950,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","-0.77(-1.55,0.04)","-2.06(-2.94,-1.16)","-1.90(-2.91,-0.93)","-1.72(-2.91,-0.55)","0.0612","0.0002","0.0002","0.0052","1.0014","1.0006","1.0002","1.0009",2522,2018,1757,1668,2793,2866,2351,2224,"0.30(0.21,0.40)","0.0002","1.0007",3432,2539,"-0.24(-0.32,-0.16)","0.0002","1.0008",2028,2542,"0.44(0.35,0.53)","0.0002","1.0001",3039,2864,"-0.26(-0.36,-0.18)","0.0002","1.0015",1950,2813,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","3.05(2.15,3.93)","3.53(2.66,4.35)","4.08(3.15,5.01)","4.92(3.86,5.95)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0004","1.0009","1.0008",2426,2049,1701,1718,2812,2303,2188,2349,"0.30(0.20,0.40)","0.0002","1.0008",2609,2854,"-0.30(-0.37,-0.23)","0.0002","1.0005",2198,2833,"0.56(0.47,0.66)","0.0002","1.0008",2523,2599,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","0.9998",4225,3462,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","2.50(1.59,3.42)","2.46(1.51,3.43)","2.65(1.67,3.64)","3.23(2.14,4.30)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0017","1.0012","1.0026",1920,1522,1470,1458,2332,2368,1859,2206,"0.33(0.24,0.43)","0.0002","1.0015",3184,2527,"-0.25(-0.33,-0.18)","0.0002","1.0002",1735,2240,"0.50(0.41,0.59)","0.0002","1.0018",2822,2724,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","0.9996",4707,3550,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","-1.19(-2.30,-0.09)","0.62(-0.54,1.76)","1.02(-0.16,2.15)","0.69(-0.55,1.87)","0.0312","0.2952","0.0902","0.2697","1.0022","1.0027","1.0038","1.0019",1640,1476,1482,1477,2445,2292,2304,2280,"0.33(0.24,0.43)","0.0002","1.0015",3184,2527,"-0.25(-0.33,-0.18)","0.0002","1.0002",1735,2240,"0.50(0.41,0.59)","0.0002","1.0018",2822,2724,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","0.9996",4707,3550,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"N00_N29_C64_C65","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","-0.28(-1.02,0.46)","0.39(-0.42,1.21)","0.28(-0.65,1.22)","-0.30(-1.31,0.69)","0.4546","0.3442","0.5426","0.5516","0.9999","1.0011","1.0000","1.0017",2527,2167,1873,1885,2989,2665,2375,2480,"0.33(0.24,0.43)","0.0002","1.0015",3184,2527,"-0.25(-0.33,-0.18)","0.0002","1.0002",1735,2240,"0.50(0.41,0.59)","0.0002","1.0018",2822,2724,"",NA,"NA",NA,NA,"0.00(0.00,0.01)","0.0002","0.9996",4707,3550,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
