ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"3.42(2.56,4.25)","3.71(2.79,4.59)","4.29(3.30,5.26)","5.62(4.49,6.73)",0.0002,0.0002,0.0002,0.0002,1.0016,1.0017,1.0017,1.0017,1763,1417,1272,1158,2567,2237,2064,1778,"0.67(0.58,0.77)",0.0002,1.0006,2501,2986,"-0.16(-0.23,-0.09)",0.0002,1.0010,1888,2446,"0.20(0.11,0.28)",0.0002,1.0004,2070,2160,"-0.17(-0.26,-0.09)",0.0002,1.0003,2114,2214,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","3.58(2.68,4.47)","3.63(2.73,4.55)","3.80(2.86,4.74)","4.71(3.69,5.75)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0033","1.0044","1.0034",1487,1297,1159,1097,2364,1965,2130,1886,"0.64(0.54,0.74)","0.0002","1.0010",1750,3027,"-0.05(-0.12,0.03)","0.2447","1.0031",1153,2173,"0.13(0.04,0.21)","0.0022","0.9997",2022,2251,"-0.19(-0.27,-0.10)","0.0002","1.0007",1828,2201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","-0.06(-1.09,1.02)","0.69(-0.37,1.78)","1.14(0.08,2.19)","1.33(0.22,2.43)","0.9030","0.2022","0.0362","0.0217","1.0026","1.0018","1.0030","1.0034",1217,1140,1134,1063,2185,1732,1693,1809,"0.64(0.54,0.74)","0.0002","1.0010",1750,3027,"-0.05(-0.12,0.03)","0.2447","1.0031",1153,2173,"0.13(0.04,0.21)","0.0022","0.9997",2022,2251,"-0.19(-0.27,-0.10)","0.0002","1.0007",1828,2201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","0.20(-0.52,0.93)","0.56(-0.24,1.36)","-0.23(-1.07,0.64)","0.06(-0.85,0.98)","0.5836","0.1662","0.6006","0.8940","1.0008","1.0027","1.0031","1.0025",2136,1459,1417,1422,2760,2304,2590,2200,"0.64(0.54,0.74)","0.0002","1.0010",1750,3027,"-0.05(-0.12,0.03)","0.2447","1.0031",1153,2173,"0.13(0.04,0.21)","0.0022","0.9997",2022,2251,"-0.19(-0.27,-0.10)","0.0002","1.0007",1828,2201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","2.15(1.37,2.90)","2.73(1.99,3.48)","3.09(2.31,3.85)","4.17(3.37,4.99)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0007","1.0003","1.0015",1875,1672,1495,1527,2546,2469,2234,2349,"0.64(0.54,0.74)","0.0002","1.0010",1750,3027,"-0.05(-0.12,0.03)","0.2447","1.0031",1153,2173,"0.13(0.04,0.21)","0.0022","0.9997",2022,2251,"-0.19(-0.27,-0.10)","0.0002","1.0007",1828,2201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","-2.38(-3.19,-1.57)","-2.91(-3.80,-2.01)","-3.09(-4.09,-2.09)","-3.63(-4.79,-2.49)","0.0002","0.0002","0.0002","0.0002","1.0029","1.0053","1.0079","1.0036",1714,1445,1316,1510,2402,2062,1921,2216,"0.64(0.54,0.74)","0.0002","1.0010",1750,3027,"-0.05(-0.12,0.03)","0.2447","1.0031",1153,2173,"0.13(0.04,0.21)","0.0022","0.9997",2022,2251,"-0.19(-0.27,-0.10)","0.0002","1.0007",1828,2201,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","3.49(2.63,4.31)","3.82(2.98,4.68)","4.23(3.31,5.11)","5.34(4.35,6.33)","0.0002","0.0002","0.0002","0.0002","1.0000","1.0005","1.0018","1.0005",2375,1755,1657,1751,3061,2352,2502,2410,"0.70(0.60,0.79)","0.0002","1.0016",2965,2887,"-0.15(-0.22,-0.08)","0.0002","1.0004",1792,2005,"0.29(0.20,0.38)","0.0002","0.9998",2645,2711,"",NA,"NA",NA,NA,"0.01(0.01,0.01)","0.0002","1.0002",3885,3176,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","3.76(2.87,4.61)","3.80(2.94,4.66)","3.84(2.90,4.73)","4.58(3.57,5.57)","0.0002","0.0002","0.0002","0.0002","1.0039","1.0042","1.0048","1.0034",2129,1827,1725,1754,2750,2787,2384,2550,"0.68(0.59,0.78)","0.0002","1.0002",3106,3051,"-0.04(-0.11,0.04)","0.3232","1.0040",1667,2312,"0.21(0.12,0.30)","0.0002","1.0014",2223,3079,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0013",3520,3743,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","-0.13(-1.17,0.93)","0.73(-0.31,1.78)","1.24(0.12,2.32)","1.32(0.15,2.43)","0.8200","0.1762","0.0267","0.0287","1.0028","1.0028","1.0025","1.0029",1332,1351,1427,1387,1914,2221,2259,2070,"0.68(0.59,0.78)","0.0002","1.0002",3106,3051,"-0.04(-0.11,0.04)","0.3232","1.0040",1667,2312,"0.21(0.12,0.30)","0.0002","1.0014",2223,3079,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0013",3520,3743,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"K70_K76_C22","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","0.24(-0.48,0.97)","0.58(-0.23,1.38)","-0.32(-1.17,0.54)","-0.01(-0.96,0.91)","0.5236","0.1517","0.4646","0.9970","0.9999","1.0002","1.0003","1.0008",2816,2065,1855,1933,2851,2959,2718,2529,"0.68(0.59,0.78)","0.0002","1.0002",3106,3051,"-0.04(-0.11,0.04)","0.3232","1.0040",1667,2312,"0.21(0.12,0.30)","0.0002","1.0014",2223,3079,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0002","1.0013",3520,3743,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
