ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
J40_J47_J60_J70_J84_D86_C34,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"5.55(3.11,8.09)","5.03(2.52,7.62)","3.99(1.13,6.94)","5.46(2.18,8.73)",0.0002,0.0002,0.0062,0.0017,1.0005,1.0015,1.0000,1.0020,2603,1937,1585,1426,3105,2694,2384,2636,"5.13(4.82,5.43)",0.0002,1.0003,2600,2734,"-0.15(-0.28,-0.01)",0.0347,1.0018,1558,2822,"0.05(-0.20,0.31)",0.7006,1.0006,2526,2948,"-1.78(-2.04,-1.50)",0.0002,1.0005,2230,2620,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","3.80(1.10,6.47)","5.66(2.89,8.50)","6.93(4.04,9.78)","7.34(4.09,10.48)","0.0057","0.0002","0.0002","0.0002","1.0008","1.0004","1.0008","1.0018",1422,1211,1082,996,2294,2285,1781,1407,"5.05(4.75,5.36)","0.0002","1.0003",2591,2921,"-0.14(-0.29,0.01)","0.0697","1.0001",1292,2327,"-0.00(-0.27,0.26)","0.9865","1.0019",2170,2569,"-1.70(-1.98,-1.41)","0.0002","1.0017",1972,2626,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","-0.46(-3.46,2.66)","2.45(-0.79,5.61)","3.95(0.71,7.20)","5.58(2.12,8.92)","0.7616","0.1262","0.0177","0.0007","1.0012","1.0022","1.0011","1.0018",1408,1210,1213,1124,2264,2115,1873,2255,"5.05(4.75,5.36)","0.0002","1.0003",2591,2921,"-0.14(-0.29,0.01)","0.0697","1.0001",1292,2327,"-0.00(-0.27,0.26)","0.9865","1.0019",2170,2569,"-1.70(-1.98,-1.41)","0.0002","1.0017",1972,2626,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","-1.89(-4.15,0.34)","-1.22(-3.67,1.20)","-2.06(-4.84,0.62)","-1.19(-4.07,1.76)","0.0962","0.3282","0.1412","0.4276","1.0008","1.0005","1.0009","1.0005",2708,2179,1982,1855,3143,2882,2299,2494,"5.05(4.75,5.36)","0.0002","1.0003",2591,2921,"-0.14(-0.29,0.01)","0.0697","1.0001",1292,2327,"-0.00(-0.27,0.26)","0.9865","1.0019",2170,2569,"-1.70(-1.98,-1.41)","0.0002","1.0017",1972,2626,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","2.08(-0.23,4.43)","2.64(0.25,5.05)","3.42(0.99,5.85)","3.27(0.59,5.88)","0.0792","0.0287","0.0067","0.0217","1.0008","1.0017","1.0012","1.0020",2451,1921,1598,1626,2614,2868,2291,2247,"5.05(4.75,5.36)","0.0002","1.0003",2591,2921,"-0.14(-0.29,0.01)","0.0697","1.0001",1292,2327,"-0.00(-0.27,0.26)","0.9865","1.0019",2170,2569,"-1.70(-1.98,-1.41)","0.0002","1.0017",1972,2626,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","1.01(-1.48,3.43)","-2.66(-5.28,-0.05)","-2.95(-5.89,-0.01)","-3.66(-7.16,-0.21)","0.4136","0.0447","0.0497","0.0402","1.0028","1.0026","1.0015","1.0013",1941,1518,1323,1309,2549,2261,2229,2245,"5.05(4.75,5.36)","0.0002","1.0003",2591,2921,"-0.14(-0.29,0.01)","0.0697","1.0001",1292,2327,"-0.00(-0.27,0.26)","0.9865","1.0019",2170,2569,"-1.70(-1.98,-1.41)","0.0002","1.0017",1972,2626,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","7.56(5.01,9.95)","8.74(6.15,11.28)","9.43(6.62,12.18)","12.23(9.01,15.52)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0012","1.0002","1.0016",2630,2131,1864,1630,2868,2710,2680,2246,"4.99(4.68,5.29)","0.0002","1.0009",3001,3086,"-0.43(-0.56,-0.30)","0.0002","1.0001",2497,3004,"0.01(-0.25,0.27)","0.9370","1.0000",3224,3060,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0006",6988,3438,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","5.83(3.20,8.52)","8.93(6.25,11.65)","10.37(7.52,13.28)","10.90(7.72,14.00)","0.0002","0.0002","0.0002","0.0002","1.0029","1.0036","1.0030","1.0027",1975,1840,1563,1458,2849,2634,2463,2254,"5.01(4.68,5.32)","0.0002","1.0012",2642,2834,"-0.46(-0.60,-0.32)","0.0002","1.0017",2009,2481,"-0.07(-0.34,0.19)","0.5856","1.0005",2617,2947,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0197","1.0005",5144,2610,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","-1.18(-4.32,1.99)","2.31(-0.89,5.48)","3.89(0.62,7.12)","4.65(1.33,8.02)","0.4676","0.1622","0.0202","0.0067","1.0027","1.0037","1.0029","1.0037",1665,1448,1522,1412,2241,2004,2173,2269,"5.01(4.68,5.32)","0.0002","1.0012",2642,2834,"-0.46(-0.60,-0.32)","0.0002","1.0017",2009,2481,"-0.07(-0.34,0.19)","0.5856","1.0005",2617,2947,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0197","1.0005",5144,2610,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","-2.26(-4.67,0.12)","-1.58(-4.01,0.89)","-2.53(-5.37,0.27)","-1.57(-4.52,1.42)","0.0572","0.2207","0.0792","0.3167","1.0001","1.0007","1.0007","1.0013",2818,2325,2065,2041,2939,2946,2915,2707,"5.01(4.68,5.32)","0.0002","1.0012",2642,2834,"-0.46(-0.60,-0.32)","0.0002","1.0017",2009,2481,"-0.07(-0.34,0.19)","0.5856","1.0005",2617,2947,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0197","1.0005",5144,2610,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+PD","0.00","2.96(0.46,5.39)","3.66(1.23,6.10)","4.41(1.82,7.02)","3.54(0.68,6.35)","0.0197","0.0067","0.0012","0.0147","1.0017","1.0016","1.0005","1.0001",2703,2561,2471,2469,2723,2347,2374,2890,"5.01(4.68,5.32)","0.0002","1.0012",2642,2834,"-0.46(-0.60,-0.32)","0.0002","1.0017",2009,2481,"-0.07(-0.34,0.19)","0.5856","1.0005",2617,2947,"",NA,"NA",NA,NA,"0.01(0.00,0.02)","0.0197","1.0005",5144,2610,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
