ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
I00_I99,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"15.38(12.14,18.61)","14.79(11.33,18.26)","12.88(9.05,16.73)","15.11(10.65,19.40)",0.0002,0.0002,0.0002,0.0002,1.0025,1.0028,1.0026,1.0023,1987,1563,1402,1325,2339,2067,1867,2074,"6.64(6.19,7.11)",0.0002,1.0019,2271,2261,"-0.57(-0.75,-0.39)",0.0002,1.0021,1018,1619,"4.05(3.65,4.43)",0.0002,1.0023,1768,1955,"-3.04(-3.43,-2.64)",0.0002,1.0044,1747,2442,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","15.90(12.51,19.33)","15.96(12.28,19.48)","12.52(8.74,16.14)","13.35(9.13,17.47)","0.0002","0.0002","0.0002","0.0002","1.0019","1.0007","1.0009","1.0013",2647,2447,2174,2191,2403,2652,2611,2583,"6.25(5.80,6.71)","0.0002","1.0004",3083,2849,"-0.36(-0.56,-0.14)","0.0012","1.0022",1323,1971,"3.76(3.37,4.14)","0.0002","1.0020",2623,2906,"-3.12(-3.52,-2.72)","0.0002","1.0003",2247,2992,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","-2.89(-6.96,1.13)","1.03(-3.19,5.23)","2.20(-2.24,6.51)","3.88(-0.57,8.50)","0.1712","0.6471","0.3262","0.0912","1.0014","1.0020","1.0015","1.0006",2269,2209,2086,2221,2112,2442,2766,2916,"6.25(5.80,6.71)","0.0002","1.0004",3083,2849,"-0.36(-0.56,-0.14)","0.0012","1.0022",1323,1971,"3.76(3.37,4.14)","0.0002","1.0020",2623,2906,"-3.12(-3.52,-2.72)","0.0002","1.0003",2247,2992,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","-1.83(-5.12,1.44)","-0.05(-3.53,3.27)","6.03(2.14,9.76)","6.08(2.10,9.94)","0.2617","0.9910","0.0027","0.0052","0.9998","1.0005","1.0025","0.9999",3260,2340,2193,2318,3256,2767,2747,2804,"6.25(5.80,6.71)","0.0002","1.0004",3083,2849,"-0.36(-0.56,-0.14)","0.0012","1.0022",1323,1971,"3.76(3.37,4.14)","0.0002","1.0020",2623,2906,"-3.12(-3.52,-2.72)","0.0002","1.0003",2247,2992,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","12.38(9.16,15.55)","15.83(12.44,19.19)","16.01(12.68,19.43)","20.64(17.03,24.32)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0016","1.0023","1.0023",2847,2675,2453,2265,2749,2643,2857,2555,"6.25(5.80,6.71)","0.0002","1.0004",3083,2849,"-0.36(-0.56,-0.14)","0.0012","1.0022",1323,1971,"3.76(3.37,4.14)","0.0002","1.0020",2623,2906,"-3.12(-3.52,-2.72)","0.0002","1.0003",2247,2992,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","-1.80(-5.13,1.42)","-9.21(-12.72,-5.80)","-12.95(-16.91,-9.01)","-17.79(-22.52,-13.02)","0.2557","0.0002","0.0002","0.0002","1.0025","1.0007","1.0002","1.0013",2609,2257,2125,1941,3056,2823,2825,2696,"6.25(5.80,6.71)","0.0002","1.0004",3083,2849,"-0.36(-0.56,-0.14)","0.0012","1.0022",1323,1971,"3.76(3.37,4.14)","0.0002","1.0020",2623,2906,"-3.12(-3.52,-2.72)","0.0002","1.0003",2247,2992,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","17.67(14.34,21.01)","19.29(15.88,22.63)","18.64(14.85,22.44)","20.95(16.77,25.29)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0023","1.0017","1.0035",1828,1445,1343,1153,2749,2457,2574,1896,"6.45(6.00,6.90)","0.0002","1.0004",1620,2085,"-1.18(-1.35,-1.00)","0.0002","1.0019",1156,2070,"4.12(3.73,4.50)","0.0002","1.0017",1349,2103,"",NA,"NA",NA,NA,"0.06(0.05,0.07)","0.0002","1.0011",3122,2716,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","18.90(15.34,22.31)","20.94(17.28,24.53)","17.39(13.64,21.16)","17.12(12.89,21.43)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0008","1.0016","1.0019",2658,2155,1957,1999,2389,2740,2489,2323,"6.29(5.82,6.74)","0.0002","0.9998",2543,2906,"-1.05(-1.25,-0.85)","0.0002","1.0017",1417,2361,"3.69(3.30,4.08)","0.0002","1.0026",2117,2668,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0007",4197,3107,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","-3.77(-7.84,0.50)","1.26(-3.03,5.43)","2.74(-1.49,6.90)","2.64(-1.99,7.36)","0.0887","0.5566","0.2032","0.2652","1.0005","1.0017","1.0016","1.0010",2127,2013,2008,1865,2368,2660,2612,2019,"6.29(5.82,6.74)","0.0002","0.9998",2543,2906,"-1.05(-1.25,-0.85)","0.0002","1.0017",1417,2361,"3.69(3.30,4.08)","0.0002","1.0026",2117,2668,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0007",4197,3107,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","-2.91(-6.11,0.33)","-1.43(-4.76,1.96)","4.24(0.59,8.01)","4.76(0.84,8.86)","0.0762","0.4016","0.0247","0.0247","1.0014","1.0021","1.0004","1.0013",3123,2738,2438,2329,2803,2791,3215,3171,"6.29(5.82,6.74)","0.0002","0.9998",2543,2906,"-1.05(-1.25,-0.85)","0.0002","1.0017",1417,2361,"3.69(3.30,4.08)","0.0002","1.0026",2117,2668,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0007",4197,3107,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+PD","0.00","13.73(10.60,16.94)","16.95(13.63,20.17)","16.58(13.19,20.00)","18.10(14.37,21.94)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0011","1.0009","1.0010",2950,2731,2516,2443,2814,3083,2869,2795,"6.29(5.82,6.74)","0.0002","0.9998",2543,2906,"-1.05(-1.25,-0.85)","0.0002","1.0017",1417,2361,"3.69(3.30,4.08)","0.0002","1.0026",2117,2668,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0007",4197,3107,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+PD","0.00","0.09(-3.24,3.45)","-4.41(-7.92,-0.85)","-4.75(-8.61,-0.91)","-4.25(-8.85,0.27)","0.9505","0.0132","0.0152","0.0617","1.0013","1.0001","1.0005","1.0003",2730,2291,2026,1751,3079,2931,2537,2047,"6.29(5.82,6.74)","0.0002","0.9998",2543,2906,"-1.05(-1.25,-0.85)","0.0002","1.0017",1417,2361,"3.69(3.30,4.08)","0.0002","1.0026",2117,2668,"",NA,"NA",NA,NA,"0.04(0.03,0.06)","0.0002","1.0007",4197,3107,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+PA+OB+DB","0.00","19.27(16.12,22.54)","21.20(17.83,24.63)","21.80(17.96,25.59)","22.96(18.54,27.33)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0011","1.0010","1.0018",2601,2275,1885,1772,2862,2742,2977,2613,"6.30(5.86,6.76)","0.0002","1.0006",2962,2760,"-0.61(-0.79,-0.43)","0.0002","1.0031",1622,2390,"0.72(0.13,1.30)","0.0147","1.0007",2028,2550,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"10.93(9.30,12.52)","0.0002","1.0008",2148,2516,"",NA,"NA",NA,NA
