ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
C00_C97,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"12.42(9.33,15.56)","14.15(10.90,17.24)","14.04(10.46,17.71)","19.18(15.05,23.25)",0.0002,0.0002,0.0002,0.0002,1.0012,1.0021,1.0029,1.0021,3617,2742,2123,2124,3642,3727,3167,2913,"4.86(4.45,5.25)",0.0002,1.0010,3963,3627,"0.19(0.04,0.35)",0.0160,1.0007,2579,3392,"1.46(1.13,1.78)",0.0002,1.0005,3837,3889,"-2.35(-2.69,-2.01)",0.0002,1.0024,2961,3434,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","13.87(10.72,17.07)","13.99(10.67,17.20)","13.65(10.14,17.07)","14.68(10.84,18.46)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0022","1.0019","1.0014",2672,2081,1803,1835,3580,3112,2772,2986,"4.77(4.38,5.18)","0.0002","1.0016",3344,3449,"0.18(0.01,0.36)","0.0323","1.0020",2166,3259,"1.22(0.88,1.55)","0.0002","1.0010",3278,3275,"-2.16(-2.52,-1.81)","0.0002","1.0009",2020,3054,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","-3.45(-7.25,0.29)","2.41(-1.40,6.10)","4.33(0.51,8.13)","5.85(1.95,9.87)","0.0694","0.2122","0.0294","0.0044","1.0010","1.0012","1.0009","1.0021",2112,1863,1956,1901,2886,3058,2773,3071,"4.77(4.38,5.18)","0.0002","1.0016",3344,3449,"0.18(0.01,0.36)","0.0323","1.0020",2166,3259,"1.22(0.88,1.55)","0.0002","1.0010",3278,3275,"-2.16(-2.52,-1.81)","0.0002","1.0009",2020,3054,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","-0.55(-3.36,2.21)","1.97(-1.02,5.12)","2.27(-1.09,5.55)","3.21(-0.49,6.96)","0.7076","0.2081","0.1948","0.0885","1.0000","1.0001","1.0013","1.0014",3983,3131,2645,2591,3820,3647,3043,3235,"4.77(4.38,5.18)","0.0002","1.0016",3344,3449,"0.18(0.01,0.36)","0.0323","1.0020",2166,3259,"1.22(0.88,1.55)","0.0002","1.0010",3278,3275,"-2.16(-2.52,-1.81)","0.0002","1.0009",2020,3054,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","8.54(5.57,11.40)","10.04(7.11,13.01)","11.36(8.35,14.43)","14.32(10.99,17.60)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0000","1.0006","1.0001",3506,2909,2687,2592,3695,3688,3454,3416,"4.77(4.38,5.18)","0.0002","1.0016",3344,3449,"0.18(0.01,0.36)","0.0323","1.0020",2166,3259,"1.22(0.88,1.55)","0.0002","1.0010",3278,3275,"-2.16(-2.52,-1.81)","0.0002","1.0009",2020,3054,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","-2.50(-5.45,0.37)","-4.64(-7.84,-1.43)","-3.42(-6.91,0.01)","-3.44(-7.69,0.78)","0.1006","0.0060","0.0514","0.1014","1.0005","1.0010","1.0023","1.0007",3233,2721,2376,2108,3283,3369,3227,2909,"4.77(4.38,5.18)","0.0002","1.0016",3344,3449,"0.18(0.01,0.36)","0.0323","1.0020",2166,3259,"1.22(0.88,1.55)","0.0002","1.0010",3278,3275,"-2.16(-2.52,-1.81)","0.0002","1.0009",2020,3054,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","14.27(11.26,17.31)","18.02(14.99,21.06)","19.54(16.21,22.99)","25.46(21.59,29.48)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0011","1.0014","1.0007",4191,3310,2802,2744,4088,3321,3071,3552,"4.69(4.29,5.08)","0.0002","1.0012",3922,3882,"-0.26(-0.41,-0.10)","0.0010","1.0004",3423,3666,"1.44(1.10,1.78)","0.0002","1.0022",4017,3629,"",NA,"NA",NA,NA,"0.04(0.03,0.05)","0.0002","0.9999",8199,3897,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","16.29(13.09,19.57)","18.01(14.75,21.26)","17.53(14.17,20.79)","18.05(14.23,21.85)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0006","1.0005","1.0006",2843,2225,1890,1943,3404,3602,3215,3669,"4.77(4.38,5.16)","0.0002","1.0007",3515,3343,"-0.32(-0.50,-0.15)","0.0002","1.0011",2902,3117,"1.17(0.83,1.51)","0.0002","1.0004",3333,3257,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0021",6315,3252,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","-4.16(-7.67,-0.50)","2.11(-1.54,5.85)","4.35(0.63,8.15)","4.59(0.70,8.65)","0.0269","0.2777","0.0198","0.0210","1.0020","1.0018","1.0007","1.0020",2632,2373,2499,2361,3396,3015,3166,3276,"4.77(4.38,5.16)","0.0002","1.0007",3515,3343,"-0.32(-0.50,-0.15)","0.0002","1.0011",2902,3117,"1.17(0.83,1.51)","0.0002","1.0004",3333,3257,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0021",6315,3252,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","-0.96(-3.86,2.02)","1.50(-1.55,4.58)","1.37(-1.89,4.63)","2.44(-1.16,6.19)","0.5251","0.3451","0.4205","0.1877","0.9998","1.0021","0.9999","1.0013",4286,3080,2652,2564,3683,3281,3462,3209,"4.77(4.38,5.16)","0.0002","1.0007",3515,3343,"-0.32(-0.50,-0.15)","0.0002","1.0011",2902,3117,"1.17(0.83,1.51)","0.0002","1.0004",3333,3257,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0021",6315,3252,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+PD","0.00","9.54(6.64,12.55)","11.03(8.22,13.94)","11.93(8.85,14.96)","12.85(9.50,16.23)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0000","0.9998","1.0006",4009,3536,3185,3098,3593,3961,3969,3679,"4.77(4.38,5.16)","0.0002","1.0007",3515,3343,"-0.32(-0.50,-0.15)","0.0002","1.0011",2902,3117,"1.17(0.83,1.51)","0.0002","1.0004",3333,3257,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0021",6315,3252,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+PD","0.00","-1.02(-3.90,1.93)","-1.09(-4.28,2.18)","2.55(-0.84,5.99)","6.58(2.59,10.62)","0.4997","0.5047","0.1368","0.0010","1.0010","1.0001","1.0011","1.0014",3593,2690,2482,2194,3579,3620,3413,3328,"4.77(4.38,5.16)","0.0002","1.0007",3515,3343,"-0.32(-0.50,-0.15)","0.0002","1.0011",2902,3117,"1.17(0.83,1.51)","0.0002","1.0004",3333,3257,"",NA,"NA",NA,NA,"0.03(0.02,0.04)","0.0002","1.0021",6315,3252,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI+SM+PA+OB+DB","0.00","15.38(12.25,18.45)","19.47(16.30,22.67)","21.93(18.47,25.29)","27.00(23.10,30.91)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0020","1.0009","1.0009",3156,2469,2232,1859,3441,3188,3245,2876,"4.63(4.24,5.02)","0.0002","1.0010",3444,3628,"0.08(-0.07,0.24)","0.2739","1.0017",2212,3202,"-0.90(-1.40,-0.43)","0.0002","1.0014",2316,2723,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"7.72(6.41,9.02)","0.0002","1.0022",2346,3098,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+DB","0.00","15.52(12.29,18.68)","16.80(13.45,20.21)","15.88(12.52,19.32)","15.03(11.20,18.85)","0.0002","0.0002","0.0002","0.0002","1.0023","1.0021","1.0023","1.0026",2508,1963,1632,1528,3195,2862,2572,2606,"4.72(4.34,5.09)","0.0002","1.0004",3142,3570,"-0.09(-0.26,0.08)","0.2685","1.0041",1876,2874,"-0.73(-1.19,-0.26)","0.0010","1.0012",2266,3230,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.69(5.33,8.00)","0.0002","1.0016",2109,3490,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+DB","0.00","-4.59(-8.22,-1.02)","1.57(-2.02,5.24)","3.72(0.21,7.24)","3.95(0.17,7.77)","0.0123","0.4097","0.0394","0.0427","1.0024","1.0037","1.0035","1.0041",2058,1823,1935,1909,2675,2498,2801,2580,"4.72(4.34,5.09)","0.0002","1.0004",3142,3570,"-0.09(-0.26,0.08)","0.2685","1.0041",1876,2874,"-0.73(-1.19,-0.26)","0.0010","1.0012",2266,3230,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.69(5.33,8.00)","0.0002","1.0016",2109,3490,"",NA,"NA",NA,NA
"C00_C97","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+DB","0.00","-0.92(-3.86,2.01)","1.80(-1.24,4.84)","1.75(-1.55,5.08)","3.43(-0.12,6.95)","0.5293","0.2410","0.3010","0.0602","1.0005","1.0001","1.0006","1.0021",3303,2733,2427,2464,3419,3188,2816,3487,"4.72(4.34,5.09)","0.0002","1.0004",3142,3570,"-0.09(-0.26,0.08)","0.2685","1.0041",1876,2874,"-0.73(-1.19,-0.26)","0.0010","1.0012",2266,3230,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"6.69(5.33,8.00)","0.0002","1.0016",2109,3490,"",NA,"NA",NA,NA
