ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"5.78(3.72,7.77)","8.43(6.25,10.63)","10.77(8.28,13.24)","14.23(11.41,17.06)",0.0002,0.0002,0.0002,0.0002,1.0009,1.0019,1.0019,1.0029,1950,1391,1182,1236,2600,2030,1616,2346,"1.12(0.88,1.37)",0.0002,1.0016,2253,2809,"0.49(0.37,0.61)",0.0002,1.0014,1843,2202,"-0.34(-0.55,-0.12)",0.0022,1.0008,2399,2727,"-0.78(-1.01,-0.57)",0.0002,1.0044,1714,2567,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","4.48(2.28,6.71)","7.20(4.90,9.51)","11.56(9.05,13.95)","11.85(9.21,14.52)","0.0007","0.0002","0.0002","0.0002","1.0021","1.0031","1.0032","1.0045",1596,1379,1162,1114,2360,2125,2262,2228,"1.08(0.83,1.33)","0.0002","1.0000",2397,2745,"0.41(0.28,0.54)","0.0002","1.0002",1554,2420,"-0.41(-0.63,-0.18)","0.0002","0.9998",2707,3193,"-0.58(-0.81,-0.35)","0.0002","1.0003",1632,2873,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","0.26(-2.37,2.84)","1.46(-1.18,4.10)","2.69(-0.11,5.33)","3.30(0.36,6.16)","0.8110","0.2767","0.0587","0.0267","1.0009","1.0012","1.0012","1.0014",1633,1498,1511,1457,2659,2411,2878,2223,"1.08(0.83,1.33)","0.0002","1.0000",2397,2745,"0.41(0.28,0.54)","0.0002","1.0002",1554,2420,"-0.41(-0.63,-0.18)","0.0002","0.9998",2707,3193,"-0.58(-0.81,-0.35)","0.0002","1.0003",1632,2873,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","1.55(-0.36,3.42)","2.47(0.38,4.58)","2.04(-0.31,4.45)","2.54(0.01,5.08)","0.1127","0.0227","0.0912","0.0497","1.0010","1.0005","1.0009","1.0025",2404,1958,1784,1660,2681,2794,2634,2405,"1.08(0.83,1.33)","0.0002","1.0000",2397,2745,"0.41(0.28,0.54)","0.0002","1.0002",1554,2420,"-0.41(-0.63,-0.18)","0.0002","0.9998",2707,3193,"-0.58(-0.81,-0.35)","0.0002","1.0003",1632,2873,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","1.92(0.02,3.86)","2.34(0.33,4.33)","2.88(0.83,4.90)","1.00(-1.24,3.24)","0.0497","0.0232","0.0057","0.3792","1.0006","1.0017","1.0029","1.0030",2137,1895,1649,1680,2736,2764,2452,2680,"1.08(0.83,1.33)","0.0002","1.0000",2397,2745,"0.41(0.28,0.54)","0.0002","1.0002",1554,2420,"-0.41(-0.63,-0.18)","0.0002","0.9998",2707,3193,"-0.58(-0.81,-0.35)","0.0002","1.0003",1632,2873,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","3.42(1.40,5.36)","3.47(1.26,5.72)","3.52(0.89,6.05)","5.56(2.42,8.61)","0.0002","0.0027","0.0092","0.0007","1.0015","1.0014","1.0012","0.9996",2147,1704,1493,1454,2955,2291,2280,2097,"1.08(0.83,1.33)","0.0002","1.0000",2397,2745,"0.41(0.28,0.54)","0.0002","1.0002",1554,2420,"-0.41(-0.63,-0.18)","0.0002","0.9998",2707,3193,"-0.58(-0.81,-0.35)","0.0002","1.0003",1632,2873,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","6.75(4.70,8.75)","10.16(8.03,12.30)","13.20(10.88,15.45)","17.07(14.29,19.70)","0.0002","0.0002","0.0002","0.0002","1.0025","1.0012","1.0021","1.0030",3037,2608,2152,1931,3045,3161,3009,2979,"1.06(0.82,1.31)","0.0002","1.0010",3014,2884,"0.37(0.25,0.49)","0.0002","1.0008",2653,2903,"-0.31(-0.53,-0.09)","0.0077","0.9999",3007,2745,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0057","1.0001",6325,2870,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","5.13(2.96,7.21)","8.17(5.92,10.37)","12.36(9.94,14.67)","12.25(9.63,14.81)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0005","1.0001","1.0018",2329,1882,1847,1756,2784,2697,2454,2345,"1.09(0.83,1.34)","0.0002","1.0022",2981,2943,"0.27(0.14,0.40)","0.0002","1.0006",1621,2357,"-0.36(-0.59,-0.14)","0.0012","1.0015",2741,2550,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0007","1.0000",5718,3397,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","0.26(-2.30,2.83)","1.56(-0.93,4.21)","2.91(0.28,5.46)","3.18(0.41,6.02)","0.8530","0.2427","0.0297","0.0297","1.0002","1.0022","1.0007","1.0019",1691,1719,1723,1687,2595,2745,2620,2539,"1.09(0.83,1.34)","0.0002","1.0022",2981,2943,"0.27(0.14,0.40)","0.0002","1.0006",1621,2357,"-0.36(-0.59,-0.14)","0.0012","1.0015",2741,2550,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0007","1.0000",5718,3397,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","1.35(-0.51,3.26)","2.19(0.14,4.25)","1.60(-0.74,4.01)","2.14(-0.30,4.65)","0.1717","0.0382","0.1862","0.0972","1.0005","1.0001","1.0007","1.0010",2944,2248,2131,2104,2294,2632,2835,2451,"1.09(0.83,1.34)","0.0002","1.0022",2981,2943,"0.27(0.14,0.40)","0.0002","1.0006",1621,2357,"-0.36(-0.59,-0.14)","0.0012","1.0015",2741,2550,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0007","1.0000",5718,3397,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
