ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,"1.00(1.00,1.00)","1.09(1.06,1.13)","1.13(1.09,1.17)","1.17(1.13,1.22)","1.23(1.17,1.28)",0.0002,0.0002,0.0002,0.0002,1.0012,1.0016,1.0014,1.0019,2478,2089,1771,1793,2942,2885,2485,2634,"1.11(0.86,1.37)",0.0002,1.0028,2884,3276,"0.49(0.37,0.61)",0.0002,1.0006,2184,3454,"-0.33(-0.55,-0.11)",0.0035,1.0038,2818,3063,"-0.78(-1.00,-0.56)",0.0002,1.0030,2313,3246,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","1.00(1.00,1.00)","1.08(1.04,1.13)","1.13(1.09,1.19)","1.22(1.16,1.28)","1.22(1.16,1.29)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0029","1.0045","1.0031",2432,1848,1768,1755,3515,3118,2679,2862,"1.08(0.83,1.33)","0.0002","1.0013",3387,3352,"0.41(0.28,0.54)","0.0002","1.0025",2155,3084,"-0.41(-0.62,-0.19)","0.0006","1.0020",3073,3648,"-0.59(-0.83,-0.36)","0.0002","1.0042",2054,3222,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","1.00(1.00,1.00)","1.01(0.96,1.05)","1.03(0.98,1.08)","1.05(1.00,1.10)","1.06(1.01,1.12)","0.8146","0.2681","0.0485","0.0210","1.0000","1.0004","1.0017","1.0003",2029,1783,1671,1601,2868,2820,2778,2854,"1.08(0.83,1.33)","0.0002","1.0013",3387,3352,"0.41(0.28,0.54)","0.0002","1.0025",2155,3084,"-0.41(-0.62,-0.19)","0.0006","1.0020",3073,3648,"-0.59(-0.83,-0.36)","0.0002","1.0042",2054,3222,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","1.00(1.00,1.00)","1.03(0.99,1.07)","1.05(1.01,1.09)","1.04(1.00,1.09)","1.05(1.00,1.10)","0.1164","0.0160","0.0769","0.0477","1.0009","1.0011","1.0019","1.0020",3080,2485,2238,2087,3436,3257,3315,3257,"1.08(0.83,1.33)","0.0002","1.0013",3387,3352,"0.41(0.28,0.54)","0.0002","1.0025",2155,3084,"-0.41(-0.62,-0.19)","0.0006","1.0020",3073,3648,"-0.59(-0.83,-0.36)","0.0002","1.0042",2054,3222,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","1.00(1.00,1.00)","1.04(1.00,1.08)","1.04(1.01,1.08)","1.05(1.01,1.10)","1.02(0.98,1.06)","0.0606","0.0215","0.0060","0.3805","1.0008","1.0009","1.0008","1.0011",3111,2667,2291,2355,3424,3172,3431,3295,"1.08(0.83,1.33)","0.0002","1.0013",3387,3352,"0.41(0.28,0.54)","0.0002","1.0025",2155,3084,"-0.41(-0.62,-0.19)","0.0006","1.0020",3073,3648,"-0.59(-0.83,-0.36)","0.0002","1.0042",2054,3222,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","1.00(1.00,1.00)","1.06(1.02,1.11)","1.07(1.02,1.11)","1.07(1.02,1.12)","1.11(1.04,1.17)","0.0006","0.0044","0.0077","0.0002","1.0032","1.0041","1.0041","1.0044",2635,1993,1813,1776,3018,2631,2854,2805,"1.08(0.83,1.33)","0.0002","1.0013",3387,3352,"0.41(0.28,0.54)","0.0002","1.0025",2155,3084,"-0.41(-0.62,-0.19)","0.0006","1.0020",3073,3648,"-0.59(-0.83,-0.36)","0.0002","1.0042",2054,3222,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","1.00(1.00,1.00)","1.14(1.09,1.19)","1.21(1.16,1.26)","1.27(1.22,1.33)","1.35(1.29,1.42)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0025","1.0021","1.0024",2863,2406,1992,2021,3840,3161,3306,3105,"1.06(0.82,1.31)","0.0002","1.0013",3442,3887,"0.37(0.26,0.48)","0.0002","1.0008",2531,3306,"-0.32(-0.54,-0.09)","0.0077","1.0008",3655,3345,"",NA,"NA",NA,NA,"0.01(0.00,0.01)","0.0035","1.0010",7855,4075,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","1.00(1.00,1.00)","1.13(1.07,1.19)","1.20(1.14,1.27)","1.31(1.24,1.38)","1.30(1.23,1.38)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0029","1.0027","1.0010",2336,1950,1764,1888,2953,2631,2631,2797,"1.09(0.83,1.34)","0.0002","1.0012",3652,3814,"0.27(0.14,0.41)","0.0002","1.0012",2055,2812,"-0.36(-0.59,-0.13)","0.0019","1.0012",3588,3697,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0006",6557,3748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","1.00(1.00,1.00)","1.01(0.94,1.07)","1.04(0.97,1.11)","1.07(1.01,1.14)","1.08(1.01,1.15)","0.8346","0.2514","0.0298","0.0306","1.0011","1.0015","1.0005","1.0026",2059,1771,1828,1889,2399,2392,2948,2790,"1.09(0.83,1.34)","0.0002","1.0012",3652,3814,"0.27(0.14,0.41)","0.0002","1.0012",2055,2812,"-0.36(-0.59,-0.13)","0.0019","1.0012",3588,3697,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0006",6557,3748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","1.00(1.00,1.00)","1.03(0.99,1.08)","1.06(1.00,1.11)","1.04(0.98,1.10)","1.05(0.99,1.12)","0.1668","0.0323","0.1789","0.0939","1.0006","1.0012","1.0014","1.0017",3661,2775,2636,2549,3656,3337,3520,3656,"1.09(0.83,1.34)","0.0002","1.0012",3652,3814,"0.27(0.14,0.41)","0.0002","1.0012",2055,2812,"-0.36(-0.59,-0.13)","0.0019","1.0012",3588,3697,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0006",6557,3748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+PD","1.00(1.00,1.00)","1.05(1.01,1.10)","1.06(1.01,1.12)","1.07(1.02,1.13)","1.01(0.95,1.07)","0.0269","0.0156","0.0073","0.8192","1.0016","1.0019","1.0028","1.0022",3611,2915,2629,2742,3538,3309,3334,3325,"1.09(0.83,1.34)","0.0002","1.0012",3652,3814,"0.27(0.14,0.41)","0.0002","1.0012",2055,2812,"-0.36(-0.59,-0.13)","0.0019","1.0012",3588,3697,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0006",6557,3748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+PD","1.00(1.00,1.00)","1.10(1.05,1.15)","1.12(1.06,1.18)","1.14(1.08,1.21)","1.22(1.14,1.30)","0.0002","0.0006","0.0002","0.0002","1.0011","1.0006","1.0005","1.0008",2875,2213,2047,1904,3184,3509,3542,3085,"1.09(0.83,1.34)","0.0002","1.0012",3652,3814,"0.27(0.14,0.41)","0.0002","1.0012",2055,2812,"-0.36(-0.59,-0.13)","0.0019","1.0012",3588,3697,"",NA,"NA",NA,NA,"0.01(0.01,0.02)","0.0002","1.0006",6557,3748,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
