ICD_Code,EQI_Period,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,Smoking_rate,Heavy_Drinking_rate,Physical_Activities_rate,Obesity_rate,Forest_Coverage,Uninsured_rate,Physician_Density_per100k,AQS_Number,Homeownership_rate,Diabetes_Prevalence_rate
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,EQI+A,0.00,"8.18(6.19,10.14)","11.90(9.86,14.01)","15.27(12.94,17.60)","19.41(16.88,21.97)",0.0002,0.0002,0.0002,0.0002,1.0006,1.0010,1.0005,1.0009,2762,2432,1986,2022,3175,3116,2750,2702,"3.98(2.91,5.03)","-3.90(-4.98,-2.82)","1.85(0.41,3.27)","-3.24(-4.49,-1.97)",,,,,,
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+B","0.00","7.61(5.62,9.58)","10.74(8.64,12.85)","13.45(11.08,15.83)","15.90(13.12,18.78)","0.0002","0.0002","0.0002","0.0002","0.9999","1.0012","1.0014","1.0037",2096,1596,1353,1276,2466,2247,2255,2167,"","","","","1.44(0.63,2.26)","-4.41(-5.84,-3.00)","1.12(0.37,1.87)","0.44(-0.21,1.06)","1.12(0.30,1.94)","-1.21(-2.42,0.02)"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+A+B","0.00","7.49(5.49,9.51)","10.73(8.65,12.91)","13.37(10.91,15.86)","16.29(13.36,19.35)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0017","1.0017","1.0029",1631,1295,1191,1093,2692,2225,1788,2007,"3.12(2.02,4.24)","-3.66(-4.75,-2.59)","-0.35(-2.03,1.28)","-3.26(-4.95,-1.53)","0.74(-0.10,1.61)","-4.51(-5.97,-3.07)","1.29(0.54,2.04)","0.36(-0.25,0.98)","1.33(0.45,2.17)","-0.97(-3.00,1.00)"
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Smoking_rate","0.00","8.76(6.83,10.72)","13.36(11.47,15.32)","17.73(15.65,19.78)","22.97(20.75,25.11)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0004","1.0005","1.0013",2870,2648,2166,2061,2870,3211,3020,3110,"2.26(1.37,3.18)","","","","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Heavy_Drinking_rate","0.00","9.26(7.23,11.22)","13.78(11.87,15.82)","17.90(15.84,19.91)","22.10(19.96,24.21)","0.0002","0.0002","0.0002","0.0002","1.0000","1.0003","1.0010","1.0005",3182,2904,2608,2500,2855,3043,3452,2775,"","-2.99(-4.00,-1.95)","","","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Physical_Activities_rate","0.00","8.79(6.77,10.81)","12.96(10.86,15.01)","16.86(14.51,19.20)","20.74(18.09,23.38)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0005","1.0009","1.0009",3222,2694,2260,2246,3401,3234,3120,2876,"","","0.25(-0.76,1.25)","","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Obesity_rate","0.00","8.50(6.53,10.38)","12.37(10.34,14.36)","15.97(13.85,18.05)","19.21(16.75,21.57)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0001","1.0002","1.0008",3200,2588,2243,2196,3252,2919,2878,2712,"","","","-1.63(-2.67,-0.56)","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Forest_Coverage","0.00","9.05(7.04,11.08)","13.29(11.28,15.26)","17.50(15.43,19.58)","21.85(19.67,24.06)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0001","1.0009","1.0000",3010,2811,2528,2344,3219,3023,2935,2733,"","","","","2.05(1.27,2.84)","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Uninsured_rate","0.00","7.82(5.86,9.79)","11.25(9.26,13.30)","14.29(12.03,16.48)","17.41(14.99,19.80)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0008","1.0005","1.0012",2549,2073,1819,1723,3117,2961,2603,2508,"","","","","","-4.86(-6.19,-3.49)","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Physician_Density_per100k","0.00","8.64(6.63,10.60)","12.68(10.71,14.64)","16.32(14.14,18.47)","19.80(17.34,22.19)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0019","1.0021","1.0014",3111,3191,2589,2501,3061,3316,2938,3041,"","","","","","","0.87(0.17,1.56)","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+AQS_Number","0.00","8.83(6.80,10.82)","13.08(11.06,15.08)","17.00(14.88,19.03)","20.90(18.64,23.20)","0.0002","0.0002","0.0002","0.0002","0.9993","0.9998","0.9999","1.0002",3445,3013,2652,2782,3426,3340,2967,3145,"","","","","","","","0.16(-0.47,0.82)","",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Homeownership_rate","0.00","8.97(7.01,10.99)","13.47(11.46,15.48)","17.68(15.55,19.72)","21.94(19.84,24.08)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0000","1.0001","1.0002",3093,2755,2691,2429,3388,2811,3083,2876,"","","","","","","","","1.39(0.69,2.10)",""
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"+Diabetes_Prevalence_rate","0.00","8.42(6.37,10.42)","12.35(10.30,14.45)","16.04(13.91,18.22)","19.72(17.54,22.05)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0013","1.0009","1.0010",3032,2533,2341,2124,3162,3117,2878,2672,"","","","","","","","","","-1.86(-2.95,-0.70)"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"EQI+A","0.00","10.00(7.93,12.02)","13.56(11.40,15.66)","17.86(15.47,20.16)","23.52(20.93,26.17)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0013","1.0023","1.0011",2601,1985,1835,1732,2795,2413,2558,2536,"4.16(2.99,5.29)","-5.19(-6.27,-4.04)","0.78(-0.67,2.26)","-2.70(-4.09,-1.30)","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"EQI+B","0.00","9.79(7.77,11.88)","12.87(10.64,15.06)","16.59(14.14,19.13)","20.52(17.64,23.51)","0.0002","0.0002","0.0002","0.0002","0.9994","1.0008","1.0013","1.0022",1893,1569,1393,1297,2568,2229,2222,2016,"","","","","1.82(0.95,2.70)","-4.51(-5.91,-3.09)","1.18(0.36,1.97)","0.36(-0.27,1.02)","1.66(0.85,2.51)","1.92(0.63,3.21)"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"EQI+A+B","0.00","9.50(7.37,11.58)","12.76(10.53,15.04)","16.45(13.86,19.00)","21.14(18.08,24.18)","0.0002","0.0002","0.0002","0.0002","1.0026","1.0037","1.0031","1.0026",1348,1039,996,961,2115,2173,2250,1756,"3.97(2.79,5.10)","-4.96(-6.09,-3.82)","-1.60(-3.25,0.14)","-3.61(-5.35,-1.88)","1.04(0.18,1.95)","-6.05(-7.62,-4.53)","1.41(0.60,2.21)","0.32(-0.31,0.99)","1.68(0.83,2.51)","0.93(-1.13,2.96)"
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"+Smoking_rate","0.00","10.02(7.92,12.09)","13.98(11.94,16.04)","18.84(16.72,21.11)","25.27(23.02,27.57)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0015","1.0038","1.0045",2388,2204,2046,1874,2897,2215,2052,2361,"3.22(2.26,4.19)","","","","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"+Heavy_Drinking_rate","0.00","10.78(8.73,12.76)","14.65(12.58,16.77)","19.16(17.00,21.28)","24.13(21.88,26.36)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0003","1.0004","0.9998",2478,2301,2194,2134,3076,2818,2868,2615,"","-4.82(-5.86,-3.74)","","","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"+Physical_Activities_rate","0.00","10.52(8.40,12.66)","14.58(12.43,16.69)","19.44(16.99,21.86)","24.80(22.10,27.50)","0.0002","0.0002","0.0002","0.0002","0.9996","0.9998","1.0006","1.0005",2270,1845,1621,1423,2485,2320,2295,1953,"","","-1.60(-2.70,-0.48)","","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"+Obesity_rate","0.00","10.04(7.89,12.15)","13.49(11.44,15.63)","17.74(15.42,20.08)","22.33(19.76,24.91)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0008","1.0021","1.0015",1718,1406,1088,1248,2352,2146,2273,2161,"","","","-0.12(-1.21,0.97)","","","","","",""
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"+Forest_Coverage","0.00","10.29(8.25,12.35)","13.73(11.67,15.76)","18.28(16.01,20.50)","23.29(20.95,25.57)","0.0002","0.0002","0.0002","0.0002","1.0060","1.0049","1.0062","1.0062",1546,1287,1185,1262,2671,2897,2153,1762,"","","","","2.20(1.36,3.05)","","","","",""
