ICD_Code,EQI_Period,AAMR_Period,Lag,Sensitivity_Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,Smoking_rate,Heavy_Drinking_rate,Physical_Activities_rate,Obesity_rate,Forest_Coverage,Uninsured_rate,Physician_Density_per100k,AQS_Number,Homeownership_rate,Diabetes_Prevalence_rate
X60_X84_Y87.0,2000_2005,2006_2010,5,EQI+A,0.00,"2.68(2.09,3.26)","4.32(3.71,4.95)","5.09(4.40,5.76)","5.36(4.59,6.11)",0.0002,0.0002,0.0002,0.0002,1.0003,1.0008,1.0019,1.0021,1693,1326,1179,1089,2623,2391,1986,1847,"3.46(3.15,3.76)","-0.04(-0.34,0.27)","0.26(-0.14,0.67)","-1.30(-1.66,-0.94)",,,,,,
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+B","0.00","2.98(2.37,3.59)","4.44(3.79,5.10)","5.16(4.42,5.90)","4.51(3.60,5.35)","0.0002","0.0002","0.0002","0.0002","1.0026","1.0029","1.0057","1.0040",1816,1229,1108,1080,2624,2146,1625,1697,"","","","","1.84(1.60,2.09)","-1.29(-1.70,-0.91)","0.14(-0.07,0.35)","-0.05(-0.21,0.12)","0.23(-0.00,0.44)","1.23(0.88,1.58)"
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+A+B","0.00","2.46(1.90,3.03)","3.92(3.30,4.56)","4.60(3.87,5.32)","4.61(3.73,5.45)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0000","1.0007","1.0014",1609,1298,1078,1099,2221,1732,1811,1913,"3.03(2.72,3.32)","0.05(-0.26,0.35)","0.05(-0.43,0.49)","-1.98(-2.44,-1.52)","1.24(1.00,1.48)","-1.43(-1.82,-1.05)","0.27(0.07,0.47)","-0.11(-0.26,0.04)","0.28(0.07,0.50)","1.53(0.93,2.12)"
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Smoking_rate","0.00","3.03(2.46,3.61)","5.03(4.44,5.59)","6.14(5.55,6.74)","6.84(6.22,7.48)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0012","1.0010","1.0025",2245,2013,1738,1459,2422,2556,2825,2638,"2.81(2.55,3.07)","","","","","","","","",""
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Heavy_Drinking_rate","0.00","3.02(2.35,3.67)","4.48(3.83,5.11)","5.05(4.38,5.71)","4.05(3.35,4.74)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0020","1.0030","1.0025",2938,2720,2271,2439,2965,2904,2815,2683,"","-0.07(-0.38,0.24)","","","","","","","",""
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Physical_Activities_rate","0.00","3.32(2.67,3.94)","5.17(4.51,5.84)","6.13(5.43,6.86)","5.60(4.78,6.41)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0009","1.0017","1.0022",2780,2277,1999,1787,3066,2896,2841,2476,"","","-0.99(-1.30,-0.68)","","","","","","",""
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Obesity_rate","0.00","3.10(2.47,3.73)","4.67(4.04,5.32)","5.33(4.64,6.02)","4.52(3.73,5.30)","0.0002","0.0002","0.0002","0.0002","0.9999","1.0006","1.0001","1.0005",2882,2321,2187,2033,3028,2859,2756,2662,"","","","0.38(0.06,0.69)","","","","","",""
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Forest_Coverage","0.00","3.20(2.60,3.82)","4.64(4.04,5.26)","5.42(4.77,6.06)","4.76(4.08,5.42)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0009","1.0018","1.0021",2365,2001,1843,1773,2702,2641,2707,2681,"","","","","1.86(1.62,2.11)","","","","",""
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Uninsured_rate","0.00","2.44(1.78,3.08)","3.57(2.90,4.24)","3.80(3.09,4.54)","2.45(1.69,3.23)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0017","1.0028","1.0023",1735,1326,1225,1115,2457,2156,2024,1910,"","","","","","-1.71(-2.11,-1.31)","","","",""
"X60_X84_Y87.0","2000_2005","2006_2010",5,"+Physician_Density_per100k","0.00","3.06(2.44,3.68)","4.55(3.91,5.19)","5.17(4.47,5.82)","4.23(3.47,4.96)","0.0002","0.0002","0.0002","0.0002","0.9995","1.0004","1.0003","1.0007",2892,2456,2074,1839,3334,2712,2530,2491,"","","","","","","-0.12(-0.33,0.09)","","",""
