ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail,SM,SM_p,SM_rhat,SM_ess_bulk,SM_ess_tail,PA,PA_p,PA_rhat,PA_ess_bulk,PA_ess_tail,OB,OB_p,OB_rhat,OB_ess_bulk,OB_ess_tail,UN,UN_p,UN_rhat,UN_ess_bulk,UN_ess_tail,PD,PD_p,PD_rhat,PD_ess_bulk,PD_ess_tail,DB,DB_p,DB_rhat,DB_ess_bulk,DB_ess_tail,FC,FC_p,FC_rhat,FC_ess_bulk,FC_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,EQI+SM+PA+OB+UN,0.00,"2.15(1.55,2.75)","3.52(2.88,4.19)","4.03(3.30,4.76)","3.94(3.12,4.79)",0.0002,0.0002,0.0002,0.0002,1.0002,1.0012,0.9997,1.0009,2244,1960,1632,1664,2458,2708,2586,2496,"0.84(0.77,0.91)",0.0002,1.0001,3106,3026,"-0.04(-0.09,0.02)",0.2147,1.0011,1939,2464,"-0.32(-0.39,-0.25)",0.0002,1.0014,2520,2807,"-0.30(-0.37,-0.24)",0.0002,1.0004,2413,2656,,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+UN","0.00","3.55(2.91,4.22)","4.42(3.74,5.11)","4.10(3.40,4.82)","2.94(2.18,3.71)","0.0002","0.0002","0.0002","0.0002","1.0026","1.0021","1.0022","1.0023",1960,1674,1571,1508,2365,2366,2492,2231,"0.81(0.74,0.88)","0.0002","1.0014",3179,2672,"0.05(-0.01,0.11)","0.0977","1.0008",1848,2746,"-0.34(-0.41,-0.27)","0.0002","1.0012",2041,3065,"-0.26(-0.32,-0.19)","0.0002","1.0023",1688,2130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+UN","0.00","0.49(-0.26,1.23)","1.47(0.71,2.23)","1.30(0.53,2.06)","1.88(1.05,2.71)","0.2047","0.0007","0.0007","0.0002","1.0019","1.0020","1.0014","1.0024",1643,1413,1586,1376,2245,2054,2418,2060,"0.81(0.74,0.88)","0.0002","1.0014",3179,2672,"0.05(-0.01,0.11)","0.0977","1.0008",1848,2746,"-0.34(-0.41,-0.27)","0.0002","1.0012",2041,3065,"-0.26(-0.32,-0.19)","0.0002","1.0023",1688,2130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+UN","0.00","-0.05(-0.61,0.48)","0.07(-0.52,0.65)","0.13(-0.53,0.80)","-0.10(-0.83,0.62)","0.8485","0.8345","0.7086","0.7706","1.0008","1.0010","1.0007","1.0006",2196,1668,1516,1481,2657,2624,2071,2388,"0.81(0.74,0.88)","0.0002","1.0014",3179,2672,"0.05(-0.01,0.11)","0.0977","1.0008",1848,2746,"-0.34(-0.41,-0.27)","0.0002","1.0012",2041,3065,"-0.26(-0.32,-0.19)","0.0002","1.0023",1688,2130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+UN","0.00","0.76(0.21,1.30)","1.35(0.79,1.91)","2.04(1.46,2.62)","2.17(1.54,2.81)","0.0097","0.0002","0.0002","0.0002","1.0002","1.0012","1.0007","1.0011",2406,2038,1957,1927,2846,2316,2608,2519,"0.81(0.74,0.88)","0.0002","1.0014",3179,2672,"0.05(-0.01,0.11)","0.0977","1.0008",1848,2746,"-0.34(-0.41,-0.27)","0.0002","1.0012",2041,3065,"-0.26(-0.32,-0.19)","0.0002","1.0023",1688,2130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+UN","0.00","-0.54(-1.11,0.02)","-0.87(-1.51,-0.23)","-0.63(-1.34,0.08)","-0.88(-1.75,-0.02)","0.0597","0.0077","0.0857","0.0452","1.0006","1.0003","1.0016","1.0022",2057,1850,1548,1511,2800,2633,2588,1907,"0.81(0.74,0.88)","0.0002","1.0014",3179,2672,"0.05(-0.01,0.11)","0.0977","1.0008",1848,2746,"-0.34(-0.41,-0.27)","0.0002","1.0012",2041,3065,"-0.26(-0.32,-0.19)","0.0002","1.0023",1688,2130,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+SM+PA+OB+PD","0.00","2.66(2.07,3.24)","4.30(3.66,4.94)","5.05(4.34,5.74)","5.26(4.44,6.04)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0016","1.0030","1.0023",2114,1829,1650,1600,2408,2187,1997,2063,"0.86(0.79,0.93)","0.0002","1.0039",2301,2686,"0.02(-0.04,0.07)","0.5606","1.0043",1584,2348,"-0.27(-0.34,-0.20)","0.0002","1.0015",2017,2211,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.1112","1.0003",4153,3317,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+PD","0.00","4.09(3.44,4.74)","5.10(4.46,5.78)","4.76(4.07,5.45)","3.67(2.92,4.46)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0017","1.0020","1.0017",2400,1943,1778,1804,2470,2625,2341,2307,"0.84(0.77,0.91)","0.0002","1.0027",2912,2678,"0.08(0.02,0.14)","0.0072","1.0016",1933,2376,"-0.31(-0.38,-0.24)","0.0002","1.0002",3032,2633,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7501","0.9999",3971,3701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+PD","0.00","0.32(-0.44,1.08)","1.42(0.66,2.21)","1.32(0.52,2.12)","1.75(0.91,2.60)","0.4006","0.0002","0.0012","0.0002","1.0027","1.0002","1.0012","1.0011",1781,1683,1647,1578,2248,2000,2260,2290,"0.84(0.77,0.91)","0.0002","1.0027",2912,2678,"0.08(0.02,0.14)","0.0072","1.0016",1933,2376,"-0.31(-0.38,-0.24)","0.0002","1.0002",3032,2633,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7501","0.9999",3971,3701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+PD","0.00","-0.16(-0.73,0.40)","-0.01(-0.61,0.60)","0.05(-0.66,0.74)","-0.15(-0.89,0.57)","0.5661","0.9835","0.8765","0.6956","1.0009","1.0004","1.0006","1.0024",2437,2115,1914,1861,2542,2518,2185,2169,"0.84(0.77,0.91)","0.0002","1.0027",2912,2678,"0.08(0.02,0.14)","0.0072","1.0016",1933,2376,"-0.31(-0.38,-0.24)","0.0002","1.0002",3032,2633,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7501","0.9999",3971,3701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+PD","0.00","0.99(0.44,1.55)","1.60(1.04,2.18)","2.30(1.69,2.91)","2.41(1.72,3.09)","0.0012","0.0002","0.0002","0.0002","1.0001","1.0008","1.0006","1.0005",2820,2546,2219,2223,3133,2961,2905,2790,"0.84(0.77,0.91)","0.0002","1.0027",2912,2678,"0.08(0.02,0.14)","0.0072","1.0016",1933,2376,"-0.31(-0.38,-0.24)","0.0002","1.0002",3032,2633,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7501","0.9999",3971,3701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+PD","0.00","-0.36(-0.96,0.22)","-0.54(-1.18,0.12)","-0.07(-0.81,0.66)","0.13(-0.74,0.95)","0.2272","0.1152","0.8460","0.7766","1.0022","1.0002","1.0012","1.0006",2710,2135,1850,1875,3061,2860,2442,2707,"0.84(0.77,0.91)","0.0002","1.0027",2912,2678,"0.08(0.02,0.14)","0.0072","1.0016",1933,2376,"-0.31(-0.38,-0.24)","0.0002","1.0002",3032,2633,"",NA,"NA",NA,NA,"0.00(-0.00,0.00)","0.7501","0.9999",3971,3701,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+SM+PA+OB+DB","0.00","2.69(2.13,3.26)","4.29(3.68,4.92)","5.01(4.31,5.69)","5.09(4.29,5.85)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0030","1.0018","1.0025",2463,1848,1590,1456,2807,2573,2633,2218,"0.87(0.80,0.95)","0.0002","1.0006",2814,2846,"0.07(0.01,0.13)","0.0287","1.0028",1511,2329,"-0.40(-0.49,-0.32)","0.0002","1.0012",2179,2718,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.54(0.30,0.79)","0.0002","1.0021",2091,2509,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Air+SM+PA+OB+DB","0.00","4.00(3.33,4.64)","4.98(4.28,5.65)","4.58(3.85,5.31)","3.39(2.57,4.26)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0018","1.0009","1.0008",2104,1694,1532,1495,2845,2564,2427,2312,"0.84(0.77,0.91)","0.0002","1.0007",3519,2809,"0.10(0.04,0.17)","0.0012","1.0023",2207,2522,"-0.36(-0.45,-0.27)","0.0002","1.0012",2615,2812,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(-0.02,0.50)","0.0737","1.0008",2047,2410,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Water+SM+PA+OB+DB","0.00","0.33(-0.42,1.08)","1.40(0.62,2.21)","1.29(0.52,2.11)","1.74(0.91,2.57)","0.3877","0.0007","0.0017","0.0002","1.0025","1.0051","1.0048","1.0045",1625,1415,1525,1393,2326,2420,2325,1958,"0.84(0.77,0.91)","0.0002","1.0007",3519,2809,"0.10(0.04,0.17)","0.0012","1.0023",2207,2522,"-0.36(-0.45,-0.27)","0.0002","1.0012",2615,2812,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(-0.02,0.50)","0.0737","1.0008",2047,2410,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Land+SM+PA+OB+DB","0.00","-0.16(-0.71,0.38)","-0.01(-0.62,0.57)","0.07(-0.61,0.73)","-0.11(-0.84,0.58)","0.5431","0.9700","0.8330","0.7756","1.0004","1.0011","1.0008","1.0007",2718,2053,1819,1775,2894,2925,2549,2550,"0.84(0.77,0.91)","0.0002","1.0007",3519,2809,"0.10(0.04,0.17)","0.0012","1.0023",2207,2522,"-0.36(-0.45,-0.27)","0.0002","1.0012",2615,2812,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(-0.02,0.50)","0.0737","1.0008",2047,2410,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Built+SM+PA+OB+DB","0.00","1.00(0.46,1.55)","1.60(1.03,2.16)","2.30(1.70,2.86)","2.41(1.78,3.05)","0.0007","0.0002","0.0002","0.0002","0.9999","0.9997","0.9999","1.0005",2985,2378,2116,2122,3188,2557,2836,2897,"0.84(0.77,0.91)","0.0002","1.0007",3519,2809,"0.10(0.04,0.17)","0.0012","1.0023",2207,2522,"-0.36(-0.45,-0.27)","0.0002","1.0012",2615,2812,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(-0.02,0.50)","0.0737","1.0008",2047,2410,"",NA,"NA",NA,NA
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI_Social+SM+PA+OB+DB","0.00","-0.23(-0.84,0.39)","-0.35(-1.04,0.32)","0.13(-0.65,0.90)","0.33(-0.54,1.20)","0.4736","0.3112","0.7346","0.4691","1.0014","1.0013","1.0025","1.0039",1887,1519,1451,1346,2565,2649,2028,2092,"0.84(0.77,0.91)","0.0002","1.0007",3519,2809,"0.10(0.04,0.17)","0.0012","1.0023",2207,2522,"-0.36(-0.45,-0.27)","0.0002","1.0012",2615,2812,"",NA,"NA",NA,NA,"",NA,"NA",NA,NA,"0.24(-0.02,0.50)","0.0737","1.0008",2047,2410,"",NA,"NA",NA,NA
