ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I00_I99,2000_2005,2006_2010,5,EQI,0.00,"17.24(13.84,20.84)","10.25(6.58,13.91)","1.85(-1.82,5.62)","-16.03(-20.07,-12.11)",0.0002,0.0002,0.3362,0.0002,1.0005,1.0017,1.0010,1.0017,1959,1825,1986,1796,2125,2327,2812,2577
"I00_I99","2000_2005","2006_2010",5,"EQI+SM","0.00","14.48(11.00,17.91)","11.99(8.55,15.46)","9.04(5.48,12.65)","8.62(4.84,12.44)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0007","1.0033","1.0015",1795,1672,1563,1447,2613,2593,2207,2281
"I00_I99","2000_2005","2006_2010",5,"EQI+PA","0.00","20.93(17.41,24.36)","23.14(19.38,26.63)","24.04(20.10,28.05)","17.88(13.42,22.59)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0015","1.0002","1.0010",2106,1943,1777,1753,2463,2285,2222,2295
"I00_I99","2000_2005","2006_2010",5,"EQI+OB","0.00","19.50(16.07,22.93)","20.37(16.86,23.77)","19.20(15.65,22.78)","15.66(11.96,19.52)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0007","1.0008","1.0010",2199,2108,2128,1752,2732,2515,2783,2380
"I00_I99","2000_2005","2006_2010",5,"EQI+UN","0.00","14.36(10.80,17.94)","4.32(0.56,8.05)","-7.54(-11.41,-3.62)","-28.88(-33.29,-24.40)","0.0002","0.0262","0.0002","0.0002","1.0028","1.0021","1.0024","1.0020",1846,1752,1683,1451,2433,2191,2283,2139
"I00_I99","2000_2005","2006_2010",5,"EQI+PD","0.00","17.36(13.69,21.06)","10.68(7.13,14.36)","2.83(-0.91,6.69)","-14.21(-18.54,-9.76)","0.0002","0.0002","0.1412","0.0002","0.9997","1.0002","0.9996","1.0010",1912,1655,1641,1500,2330,2315,2401,2210
"I00_I99","2000_2005","2006_2010",5,"EQI+DB","0.00","24.26(20.78,27.74)","24.64(21.02,28.19)","22.61(18.98,26.28)","11.83(7.72,15.69)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0020","1.0025","1.0029",2030,1671,1156,849,2895,2519,2398,1882
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+PA","0.00","15.79(12.28,19.12)","14.70(11.20,18.15)","13.27(9.60,17.10)","15.34(11.27,19.52)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0013","1.0019","1.0011",2472,2224,1857,1746,2651,2706,2588,2542
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+OB","0.00","15.71(12.33,19.16)","15.48(12.06,18.72)","14.14(10.56,17.66)","14.84(11.21,18.56)","0.0002","0.0002","0.0002","0.0002","0.9998","1.0011","1.0000","1.0004",1716,1344,1327,1228,2466,2254,2197,2283
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+UN","0.00","12.70(9.38,16.00)","8.17(4.81,11.41)","2.86(-0.73,6.40)","1.19(-2.60,5.02)","0.0002","0.0002","0.1207","0.5511","1.0006","1.0015","1.0023","1.0055",3249,2581,1950,1374,3033,2939,2895,2317
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+PD","0.00","13.97(10.60,17.27)","10.68(7.37,14.08)","6.32(2.77,9.91)","3.97(-0.05,8.01)","0.0002","0.0002","0.0007","0.0527","1.0006","1.0001","1.0013","1.0007",3097,2639,2180,2021,3003,2925,2861,2683
"I00_I99","2000_2005","2006_2010",5,"EQI+SM+DB","0.00","18.02(14.65,21.32)","18.26(15.05,21.54)","17.08(13.63,20.44)","15.07(11.50,18.60)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0008","1.0011","1.0013",3156,3092,2199,1958,3026,3476,2986,2718
"I00_I99","2000_2005","2006_2010",5,"EQI+PA+OB","0.00","20.66(17.12,24.05)","22.79(19.28,26.27)","22.98(19.08,26.87)","21.35(16.88,25.87)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0010","1.0009","1.0003",2174,1887,1589,1430,2580,3090,2632,2321
"I00_I99","2000_2005","2006_2010",5,"EQI+PA+UN","0.00","17.11(13.76,20.55)","16.55(13.12,20.02)","14.05(10.14,17.97)","5.12(0.71,9.46)","0.0002","0.0002","0.0002","0.0242","1.0006","1.0012","1.0010","1.0018",2119,2173,1962,1828,2481,2393,2568,2124
"I00_I99","2000_2005","2006_2010",5,"EQI+PA+PD","0.00","20.76(17.29,24.28)","22.68(19.13,26.31)","22.87(18.98,26.88)","15.50(10.92,20.09)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0019","1.0026","1.0021",2330,2130,1954,1898,2491,2370,2287,2406
"I00_I99","2000_2005","2006_2010",5,"EQI+PA+DB","0.00","22.81(19.41,26.21)","22.16(18.60,25.76)","19.06(15.29,23.01)","6.85(2.63,11.11)","0.0002","0.0002","0.0002","0.0017","1.0010","1.0015","1.0018","1.0022",2791,2286,1989,1828,3472,2923,2691,2898
"I00_I99","2000_2005","2006_2010",5,"EQI+OB+UN","0.00","18.28(14.88,21.64)","17.52(14.17,20.98)","14.37(10.66,18.03)","9.59(5.53,13.44)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0002","1.0013","1.0034",3038,2549,1971,1385,3090,2735,2552,2463
"I00_I99","2000_2005","2006_2010",5,"EQI+OB+PD","0.00","18.90(15.44,22.51)","18.68(15.17,22.18)","15.53(11.85,19.22)","9.15(4.92,13.50)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0007","1.0010","1.0008",2783,2394,1959,1772,2705,2718,2829,1758
"I00_I99","2000_2005","2006_2010",5,"EQI+OB+DB","0.00","21.82(18.32,25.31)","23.20(19.84,26.65)","22.29(18.70,26.02)","16.35(12.46,20.34)","0.0002","0.0002","0.0002","0.0002","1.0026","1.0054","1.0048","1.0057",1884,1612,1163,1215,2228,2620,2337,1927
