ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,EQI,0.00,"8.84(6.82,10.79)","13.10(11.17,15.07)","17.09(15.04,19.19)","21.08(18.90,23.25)",0.0002,0.0002,0.0002,0.0002,1.0001,1.0019,1.0010,1.0007,3269,2911,2621,2633,3023,3118,2731,3150
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM","0.00","8.22(6.29,10.16)","12.96(10.99,14.88)","17.49(15.36,19.50)","23.33(21.04,25.56)","0.0002","0.0002","0.0002","0.0002","1.0015","1.0007","1.0011","1.0009",3109,2879,2577,2416,2934,2928,2716,2798
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PA","0.00","7.44(5.35,9.51)","10.69(8.63,12.88)","13.67(11.40,15.86)","16.43(13.99,18.86)","0.0002","0.0002","0.0002","0.0002","1.0024","1.0017","1.0026","1.0020",1995,1618,1601,1409,2763,2570,2396,2326
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+OB","0.00","8.88(6.90,10.80)","13.43(11.38,15.43)","17.73(15.60,19.76)","22.32(20.01,24.55)","0.0002","0.0002","0.0002","0.0002","1.0005","0.9997","1.0005","1.0001",2448,2161,1896,1704,2431,2504,2525,2417
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+UN","0.00","8.45(6.50,10.47)","12.28(10.28,14.28)","15.77(13.63,17.93)","19.31(17.00,21.63)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0002","1.0021","1.0013",2761,2186,1941,2104,2711,2447,2358,2543
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PD","0.00","8.63(6.72,10.57)","12.63(10.67,14.63)","16.16(13.89,18.36)","19.50(17.13,21.91)","0.0002","0.0002","0.0002","0.0002","1.0001","0.9997","1.0003","1.0002",3009,2767,2585,2409,2667,3079,2680,2781
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+DB","0.00","8.95(6.99,10.98)","13.35(11.37,15.34)","17.43(15.36,19.52)","21.54(19.34,23.79)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0000","1.0014","1.0007",3025,2686,2403,2116,3165,3045,2878,2686
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA","0.00","7.10(5.09,9.14)","10.96(8.89,13.01)","14.57(12.43,16.76)","19.16(16.66,21.67)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0020","1.0014","1.0030",3348,2585,2467,2207,3033,2928,2946,2856
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+OB","0.00","8.03(6.08,9.99)","12.54(10.48,14.55)","16.87(14.76,19.00)","22.50(20.18,24.78)","0.0002","0.0002","0.0002","0.0002","1.0029","1.0039","1.0033","1.0032",1736,1330,1275,1290,2292,2166,2000,2363
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+UN","0.00","7.57(5.54,9.58)","11.79(9.77,13.86)","15.70(13.53,17.80)","21.14(18.82,23.39)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0017","1.0033","1.0027",1944,1586,1325,1199,3204,2658,2189,2611
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PD","0.00","7.90(5.89,9.89)","12.27(10.26,14.22)","16.18(14.09,18.36)","21.21(18.85,23.68)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0000","1.0004","1.0008",2629,2452,2382,2123,3026,3106,3206,2616
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+DB","0.00","7.91(6.03,9.87)","12.43(10.48,14.46)","16.81(14.76,18.91)","22.72(20.57,24.98)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0023","1.0015","1.0029",2280,2150,1975,1749,2834,3079,2752,2536
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PA+OB","0.00","7.54(5.51,9.48)","11.05(8.93,13.18)","14.27(12.06,16.63)","17.43(14.78,20.13)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0018","1.0017","1.0013",2021,1765,1514,1491,2446,2033,2178,2039
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PA+UN","0.00","6.55(4.50,8.60)","8.98(6.81,11.14)","11.02(8.50,13.48)","12.84(10.11,15.61)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0006","1.0012","1.0005",2138,1666,1534,1421,2625,2469,2267,2262
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PA+PD","0.00","7.30(5.30,9.27)","10.42(8.34,12.52)","13.11(10.85,15.43)","15.46(12.92,18.04)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0010","1.0025","1.0034",2261,1937,1530,1500,2807,2453,2297,2363
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PA+DB","0.00","7.52(5.47,9.55)","10.95(8.84,13.04)","14.03(11.75,16.34)","16.93(14.33,19.39)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0016","1.0010","1.0010",2737,2274,2132,1890,2856,2834,2650,2536
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+OB+UN","0.00","8.42(6.45,10.35)","12.59(10.57,14.60)","16.38(14.24,18.51)","20.58(18.12,23.02)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0020","1.0024","1.0027",2066,1683,1533,1286,2836,2457,2366,2256
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+OB+PD","0.00","8.62(6.65,10.60)","12.93(10.92,14.97)","16.71(14.48,18.95)","20.61(18.02,23.15)","0.0002","0.0002","0.0002","0.0002","1.0018","1.0028","1.0017","1.0027",2274,1954,1672,1567,3013,2424,2149,2530
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+OB+DB","0.00","8.74(6.68,10.74)","13.28(11.27,15.26)","17.55(15.40,19.60)","22.32(20.02,24.59)","0.0002","0.0002","0.0002","0.0002","1.0023","0.9997","0.9999","1.0009",3209,2866,2471,2421,2591,3416,3236,2390
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+UN+PD","0.00","8.22(6.30,10.17)","11.80(9.84,13.83)","14.87(12.69,17.07)","17.77(15.30,20.22)","0.0002","0.0002","0.0002","0.0002","1.0032","1.0047","1.0049","1.0042",2488,2161,1812,1832,2561,2872,1857,2647
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+UN+DB","0.00","8.54(6.54,10.52)","12.55(10.48,14.57)","16.16(13.95,18.42)","19.84(17.56,22.24)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0022","1.0028","1.0030",2203,1766,1640,1443,2615,2654,2779,2660
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+PD+DB","0.00","8.75(6.64,10.75)","12.86(10.82,14.95)","16.49(14.29,18.72)","19.93(17.46,22.43)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0013","1.0034","1.0019",2924,2717,2306,2060,2874,2392,2911,2745
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA+OB","0.00","6.87(4.82,8.86)","10.40(8.36,12.53)","13.73(11.45,16.09)","18.03(15.39,20.73)","0.0002","0.0002","0.0002","0.0002","1.0005","1.0002","1.0004","1.0006",2588,2352,1842,1830,3111,3086,2679,2702
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA+UN","0.00","6.04(3.95,8.12)","8.99(6.91,11.07)","11.54(9.20,13.94)","15.28(12.50,18.16)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0002","1.0001","1.0006",2483,1889,1717,1566,3128,2897,2736,2295
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA+PD","0.00","6.96(4.89,9.01)","10.59(8.48,12.68)","13.79(11.46,16.09)","17.85(15.11,20.54)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0003","1.0000","1.0000",2985,2682,1993,2296,3141,3227,2721,2456
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+PA+DB","0.00","6.96(4.88,9.00)","10.68(8.59,12.76)","14.21(11.94,16.48)","18.92(16.31,21.48)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0018","1.0000","1.0012",3290,2546,2304,2268,3099,2591,2570,2575
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"EQI+SM+OB+UN","0.00","7.46(5.50,9.40)","11.48(9.40,13.51)","15.22(13.03,17.38)","20.46(17.86,22.86)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0005","1.0005","1.0021",3214,2725,2313,2103,3373,2965,2877,2663
