ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,EQI,0.00,"3.03(2.37,3.69)","4.49(3.83,5.15)","5.06(4.37,5.73)","4.05(3.37,4.74)",0.0002,0.0002,0.0002,0.0002,1.0004,0.9999,1.0012,1.0003,1749,1737,1694,1544,2429,2542,2381,2355
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+SM","0.00","3.01(2.43,3.60)","5.00(4.41,5.60)","6.09(5.47,6.71)","6.75(6.09,7.40)","0.0002","0.0002","0.0002","0.0002","1.0006","1.0006","1.0019","1.0022",1922,1564,1531,1258,2781,2312,2183,2024
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+PA","0.00","3.27(2.64,3.88)","5.03(4.37,5.69)","5.91(5.19,6.63)","5.27(4.48,6.06)","0.0002","0.0002","0.0002","0.0002","1.0034","1.0027","1.0047","1.0066",2506,1879,1462,1335,2927,2635,2204,2056
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+OB","0.00","3.09(2.48,3.70)","4.66(4.02,5.29)","5.34(4.64,6.00)","4.54(3.77,5.27)","0.0002","0.0002","0.0002","0.0002","1.0044","1.0063","1.0094","1.0086",1705,1460,1205,1083,2344,2294,2452,1916
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+UN","0.00","2.47(1.81,3.11)","3.61(2.97,4.27)","3.85(3.13,4.57)","2.52(1.77,3.31)","0.0002","0.0002","0.0002","0.0002","1.0000","1.0008","1.0013","1.0004",2060,1661,1635,1443,2479,2510,2338,2123
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+PD","0.00","3.05(2.43,3.70)","4.53(3.89,5.17)","5.15(4.46,5.81)","4.21(3.46,4.95)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0027","1.0013","1.0011",2014,1760,1578,1480,2431,2689,2283,2034
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+DB","0.00","3.15(2.51,3.77)","4.75(4.12,5.37)","5.45(4.78,6.14)","4.60(3.88,5.28)","0.0002","0.0002","0.0002","0.0002","1.0000","0.9998","1.0005","1.0008",2714,2180,1920,1795,2907,2710,2773,2697
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+SM+PA","0.00","2.81(2.21,3.41)","4.61(4.00,5.24)","5.52(4.86,6.20)","6.03(5.28,6.77)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0022","1.0026","1.0034",1768,1460,1392,1294,2586,2160,2251,1696
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+SM+OB","0.00","2.73(2.17,3.31)","4.41(3.81,5.01)","5.23(4.60,5.85)","5.51(4.80,6.20)","0.0002","0.0002","0.0002","0.0002","0.9998","1.0005","1.0004","1.0005",2133,1994,1575,1363,2526,2510,2204,2142
"X60_X84_Y87.0","2000_2005","2006_2010",5,"EQI+SM+UN","0.00","2.44(1.84,3.01)","4.12(3.51,4.73)","4.90(4.24,5.55)","5.21(4.50,5.92)","0.0002","0.0002","0.0002","0.0002","1.0016","1.0061","1.0067","1.0087",1721,1295,1079,920,2412,2127,2067,1854
