ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,Cluster_EQI_A_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.11(1.05,1.17)","1.16(1.04,1.28)","1.00(0.56,1.44)","1.00(0.56,1.44)",0.0010,0.0069,0.9871,0.9933,1.0035,1.0011,1.0012,1.0013,6079,6842,9946,10458,3943,3811,3521,3695
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.11(1.02,1.21)","1.09(0.98,1.20)","1.07(0.94,1.21)","1.08(0.71,1.45)","0.0148","0.0989","0.2981","0.6576","1.0008","1.0010","1.0006","1.0003",2461,2230,3051,6120,2962,3006,3516,3703
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.94(0.83,1.06)","1.03(0.91,1.17)","1.06(0.93,1.21)","1.10(0.96,1.26)","0.2818","0.6342","0.3464","0.1635","1.0024","1.0008","1.0010","1.0007",1549,1402,1627,1939,2370,2624,2672,3021
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.97(0.90,1.06)","1.04(0.95,1.14)","1.04(0.93,1.17)","1.07(0.92,1.22)","0.5164","0.3364","0.4926","0.3776","1.0015","1.0002","1.0009","1.0012",3963,3412,2905,2937,3290,3790,3489,3434
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.14(1.06,1.21)","1.13(1.04,1.23)","1.13(1.01,1.26)","1.21(1.04,1.39)","0.0002","0.0015","0.0348","0.0144","0.9999","0.9998","1.0002","0.9998",4409,4151,4228,5482,3733,4019,3802,4022
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.03(0.95,1.11)","1.04(0.94,1.15)","1.08(0.94,1.22)","1.18(0.95,1.41)","0.4530","0.4376","0.2914","0.1194","1.0013","1.0015","1.0006","1.0013",2899,2771,3190,3707,3099,3493,3050,3718
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI+SM+PA+OB","1.00(1.00,1.00)","1.16(1.08,1.23)","1.16(1.03,1.29)","1.00(0.48,1.51)","1.00(0.49,1.51)","0.0002","0.0140","0.9838","0.9900","0.9998","1.0006","1.0010","0.9998",5034,5601,6793,8500,3800,3838,3555,3758
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.11(1.00,1.23)","1.14(1.01,1.28)","1.21(1.05,1.40)","1.23(0.79,1.66)","0.0602","0.0331","0.0102","0.3018","1.0023","1.0010","1.0006","1.0017",2921,2709,3867,8502,3521,3198,3822,3530
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.95(0.83,1.10)","1.12(0.97,1.30)","1.15(0.99,1.34)","1.16(0.99,1.37)","0.4584","0.1260","0.0723","0.0702","1.0021","1.0015","1.0014","1.0012",2077,2037,2172,2200,2879,3334,3237,3136
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.99(0.90,1.09)","0.97(0.87,1.09)","0.96(0.83,1.10)","1.05(0.89,1.22)","0.8013","0.6030","0.5443","0.5976","1.0015","1.0004","1.0000","1.0008",5119,4298,3390,3264,4064,4089,4055,3764
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.13(1.05,1.22)","1.22(1.11,1.34)","1.10(0.96,1.25)","1.29(1.09,1.51)","0.0027","0.0002","0.1635","0.0027","1.0010","1.0010","1.0008","1.0014",4924,5642,5645,6753,3743,4091,3509,3475
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.03(0.95,1.13)","1.02(0.91,1.15)","1.09(0.92,1.26)","1.29(1.02,1.58)","0.4647","0.7192","0.3081","0.0340","1.0002","1.0003","1.0004","1.0015",3801,3629,3922,5445,3312,3742,3572,3632
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI+SM+PA+OB","1.00(1.00,1.00)","1.13(1.07,1.19)","1.11(1.00,1.23)","1.00(0.52,1.47)","1.00(0.54,1.45)","0.0002","0.0385","0.9979","0.9917","1.0009","0.9998","1.0039","1.0015",5763,6442,8738,9181,3890,3963,3365,3559
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.11(1.02,1.20)","1.12(1.01,1.22)","1.17(1.04,1.31)","1.07(0.72,1.42)","0.0181","0.0248","0.0098","0.7126","1.0008","1.0018","1.0011","1.0022",2807,2362,3284,6470,3771,3415,3368,3576
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.95(0.84,1.07)","1.06(0.93,1.21)","1.08(0.95,1.22)","1.10(0.95,1.27)","0.3776","0.3914","0.2606","0.1952","1.0066","1.0070","1.0067","1.0066",1563,1507,1600,1668,2731,2593,2490,2798
