ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J40_J47_J60_J70_J84_D86_C34,2000_2005,2006_2010,5,Cluster_EQI_A_EQI+SM+PA+OB,0.00,"8.19(4.53,11.82)","9.70(3.29,16.04)","0.12(-9.90,9.94)","0.06(-9.79,9.80)",0.0002,0.0023,0.9838,0.9892,1.0001,1.0008,1.0021,1.0010,4876,5657,5644,6493,3826,3930,3430,3649
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Air+SM+PA+OB","0.00","2.90(-1.67,7.50)","6.25(1.40,11.20)","4.75(-1.53,10.98)","0.94(-8.27,10.23)","0.2135","0.0123","0.1377","0.8475","1.0003","1.0014","1.0002","1.0011",4346,4723,5675,6462,3677,3963,3892,3441
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Water+SM+PA+OB","0.00","-3.85(-8.68,1.15)","1.16(-4.08,6.51)","5.13(-0.15,10.29)","3.16(-2.59,8.92)","0.1306","0.6755","0.0581","0.2793","1.0013","1.0014","1.0010","1.0008",3636,3583,3600,3728,3616,3653,3370,3495
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Land+SM+PA+OB","0.00","-1.89(-6.02,2.28)","-1.78(-6.48,2.94)","0.38(-5.29,6.03)","3.74(-2.77,9.98)","0.3685","0.4476","0.9004","0.2593","1.0015","1.0032","1.0000","1.0030",5016,5201,4562,4584,3714,3831,3859,3771
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Built+SM+PA+OB","0.00","0.69(-3.31,4.61)","7.60(2.95,12.39)","8.16(2.17,14.23)","3.16(-4.25,10.71)","0.7292","0.0010","0.0081","0.4118","1.0002","1.0008","1.0013","1.0012",5948,6008,6216,5275,3847,3725,3719,3606
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Social+SM+PA+OB","0.00","0.81(-3.43,4.96)","2.01(-3.11,7.25)","7.40(0.81,14.03)","6.58(-1.63,15.08)","0.7142","0.4589","0.0290","0.1252","1.0005","1.0010","1.0004","1.0024",5150,4629,5625,6294,3912,3643,3911,3592
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI+SM+PA+OB","0.00","8.36(4.72,11.95)","6.55(0.27,12.59)","0.11(-9.73,10.29)","-0.00(-9.55,9.64)","0.0002","0.0402","0.9879","0.9867","1.0011","1.0003","1.0017","1.0020",4893,4455,5963,5691,3613,3460,3325,3445
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Air+SM+PA+OB","0.00","4.40(-0.02,8.75)","6.84(2.06,11.72)","3.50(-2.89,9.73)","-0.34(-9.46,8.71)","0.0510","0.0048","0.2731","0.9404","0.9999","1.0012","1.0010","0.9999",4861,4509,5906,8444,3788,3681,4284,3723
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Water+SM+PA+OB","0.00","-1.79(-6.69,3.40)","0.17(-5.19,5.48)","4.54(-0.83,10.05)","3.79(-2.21,9.93)","0.4914","0.9642","0.1044","0.2081","1.0009","1.0011","1.0013","1.0008",3860,3976,3803,4538,3354,3400,3469,3783
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Land+SM+PA+OB","0.00","-2.28(-6.43,1.92)","-3.49(-8.14,1.07)","3.42(-2.31,9.08)","4.99(-1.39,11.71)","0.2789","0.1373","0.2347","0.1335","1.0027","0.9998","0.9997","1.0001",5484,6129,5050,5395,3231,4121,3908,3734
