ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2000_2005,2006_2010,5,Cluster_EQI_A_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.10(1.07,1.13)","1.08(1.03,1.12)","1.00(0.94,1.06)","1.00(0.94,1.06)",0.0002,0.0002,0.9958,0.9838,1.0003,0.9998,1.0001,1.0004,4358,4519,5318,4343,3287,3502,3978,3220
"C00_C97","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.06(1.02,1.10)","1.06(1.03,1.10)","1.05(1.01,1.10)","1.00(0.95,1.06)","0.0006","0.0010","0.0298","0.8984","1.0011","1.0010","1.0002","1.0007",3833,4007,5081,5929,3659,3722,3789,3655
"C00_C97","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.96(0.93,1.00)","1.02(0.98,1.06)","1.05(1.01,1.09)","1.02(0.98,1.06)","0.0552","0.2610","0.0115","0.4126","1.0010","1.0013","1.0012","1.0015",3436,3853,3722,4361,3542,3683,3347,3675
"C00_C97","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.98(0.95,1.02)","1.01(0.97,1.04)","1.00(0.96,1.05)","1.02(0.98,1.07)","0.3626","0.7605","0.8492","0.3385","0.9995","1.0015","1.0012","1.0008",5410,4702,4200,5184,3706,3321,3713,3775
"C00_C97","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.04(1.01,1.07)","1.08(1.04,1.12)","1.05(1.01,1.09)","1.03(0.98,1.08)","0.0127","0.0002","0.0240","0.2185","1.0006","1.0010","1.0004","1.0014",4885,5567,5920,5457,3604,3709,3704,3764
"C00_C97","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.00(0.97,1.03)","1.03(0.99,1.07)","1.05(1.00,1.09)","1.04(0.99,1.10)","0.8200","0.1248","0.0485","0.1198","1.0019","1.0009","1.0006","1.0001",4725,5295,4434,6198,3595,3890,3473,3566
"C00_C97","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI+SM+PA+OB","1.00(1.00,1.00)","1.09(1.06,1.12)","1.07(1.02,1.11)","1.00(0.94,1.06)","1.00(0.94,1.06)","0.0002","0.0035","0.9971","0.9954","1.0009","1.0010","1.0008","1.0022",5727,5910,6428,6999,3759,3835,3213,3789
"C00_C97","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.06(1.03,1.10)","1.07(1.04,1.11)","1.05(1.01,1.10)","1.00(0.94,1.06)","0.0006","0.0002","0.0273","0.9763","1.0005","1.0005","1.0010","1.0017",4610,4454,5487,7151,4086,4330,3753,3921
"C00_C97","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.97(0.94,1.01)","1.02(0.98,1.06)","1.04(1.00,1.08)","1.03(0.98,1.07)","0.1014","0.2968","0.0294","0.2610","1.0013","1.0019","1.0003","1.0014",4230,4088,4029,5148,3626,3950,3636,3684
"C00_C97","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.00(0.97,1.03)","0.99(0.95,1.03)","1.01(0.96,1.05)","1.02(0.98,1.07)","0.8600","0.6601","0.8230","0.3089","1.0019","1.0015","0.9995","1.0005",5935,5536,5080,4725,3673,3802,3814,3673
"C00_C97","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.04(1.01,1.07)","1.07(1.03,1.11)","1.04(1.00,1.09)","1.05(1.00,1.10)","0.0173","0.0002","0.0744","0.0698","1.0001","1.0009","1.0008","1.0000",6645,6704,7670,6288,3627,3699,3328,3278
"C00_C97","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.00(0.97,1.03)","1.01(0.97,1.05)","1.04(0.99,1.09)","1.04(0.99,1.10)","0.9354","0.7713","0.0910","0.1273","1.0000","1.0017","1.0011","1.0012",6253,6101,4832,6375,3857,4045,3712,3588
"C00_C97","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI+SM+PA+OB","1.00(1.00,1.00)","1.09(1.07,1.12)","1.08(1.03,1.12)","1.00(0.94,1.07)","1.00(0.94,1.06)","0.0002","0.0010","0.9938","0.9963","0.9999","1.0006","1.0009","1.0003",4593,5173,6269,5509,3583,3301,3663,3471
"C00_C97","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.05(1.01,1.08)","1.05(1.01,1.09)","1.04(1.00,1.09)","1.00(0.94,1.07)","0.0106","0.0085","0.0810","0.9554","1.0006","1.0002","1.0007","1.0006",4155,4461,6524,7094,3734,3556,3355,3263
"C00_C97","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.98(0.95,1.02)","1.03(0.99,1.07)","1.03(0.99,1.08)","1.02(0.98,1.07)","0.3668","0.0973","0.0919","0.2856","1.0016","1.0013","1.0004","1.0005",4370,4033,4277,4704,3412,3646,4059,3554
"C00_C97","2000_2005","2016_2020",15,"Cluster_EQI_A_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.00(0.97,1.04)","0.99(0.95,1.03)","1.01(0.97,1.05)","1.03(0.99,1.08)","0.8125","0.6080","0.7405","0.1781","0.9998","1.0023","1.0006","1.0011",5808,5962,5121,5488,3759,3743,3762,3330
