ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Cluster_EQI_A_EQI+SM+PA+OB,0.00,"7.52(4.66,10.30)","8.35(3.29,13.37)","0.01(-9.81,10.02)","0.01(-10.02,9.66)",0.0002,0.0023,0.9900,0.9779,1.0003,1.0003,1.0006,1.0025,5369,6615,6687,6653,3838,4106,3431,3266
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Air+SM+PA+OB","0.00","2.46(-1.15,5.92)","5.09(1.05,8.99)","8.33(2.85,13.76)","1.00(-8.31,10.09)","0.1852","0.0119","0.0040","0.8284","1.0003","1.0013","1.0009","1.0020",4028,4482,6078,9533,3397,3648,3196,3204
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Water+SM+PA+OB","0.00","0.02(-4.33,4.22)","0.82(-3.46,5.09)","5.25(0.78,9.75)","1.96(-3.07,7.00)","0.9938","0.7034","0.0240","0.4539","1.0006","1.0006","1.0014","1.0005",4173,3511,4063,4290,3808,3868,3953,3817
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Land+SM+PA+OB","0.00","0.35(-2.88,3.67)","2.65(-1.16,6.49)","3.66(-0.94,8.30)","2.70(-2.62,8.17)","0.8342","0.1885","0.1298","0.3106","1.0007","0.9997","1.0010","1.0018",5870,5853,4840,5125,4383,3721,3602,3945
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Built+SM+PA+OB","0.00","1.79(-1.17,4.75)","2.66(-0.95,6.21)","4.51(-0.50,9.41)","2.29(-3.92,8.57)","0.2518","0.1527","0.0794","0.4726","1.0012","1.0000","1.0006","1.0007",6543,6613,7515,7281,3835,3852,3661,3532
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Cluster_EQI_A_EQI_Social+SM+PA+OB","0.00","4.08(0.79,7.26)","4.26(-0.07,8.48)","7.50(2.03,12.94)","4.26(-3.42,11.82)","0.0140","0.0535","0.0069","0.2981","1.0000","1.0005","0.9996","1.0008",5938,5810,6466,7064,3890,3857,4359,3010
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI+SM+PA+OB","0.00","9.38(6.42,12.36)","10.05(4.63,15.48)","0.10(-9.62,10.01)","0.04(-9.84,9.94)","0.0002","0.0010","0.9833","0.9858","1.0007","1.0002","1.0025","1.0015",5055,6229,7632,6569,3044,3663,3461,3482
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Air+SM+PA+OB","0.00","4.84(1.13,8.60)","8.43(4.23,12.79)","8.45(2.78,14.09)","0.67(-8.66,9.99)","0.0110","0.0002","0.0023","0.9017","1.0019","1.0001","1.0000","1.0017",6304,5362,6429,9904,4326,4517,3872,3152
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Water+SM+PA+OB","0.00","0.76(-3.89,5.29)","1.66(-3.12,6.35)","6.44(1.40,11.22)","4.64(-0.95,10.15)","0.7346","0.4834","0.0102","0.0998","1.0003","1.0003","1.0006","1.0005",3407,3623,3539,4038,3682,3655,3610,3740
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Cluster_EQI_A_EQI_Land+SM+PA+OB","0.00","-0.38(-3.87,3.15)","-1.73(-5.72,2.23)","1.23(-3.62,6.09)","6.73(0.87,12.66)","0.8309","0.4060","0.6213","0.0244","1.0000","0.9997","1.0019","1.0003",6489,6621,5110,5588,4047,3813,3636,3682
