ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"3.87(2.43,5.29)","7.25(5.71,8.74)","11.07(9.30,12.79)","19.48(17.46,21.41)",0.0002,0.0002,0.0002,0.0002,1.0035,1.0036,1.0036,1.0033,2056,1637,1371,1386,2355,2443,2163,2163
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","1.86(0.52,3.19)","5.14(3.69,6.64)","9.96(8.33,11.57)","22.26(20.46,24.10)","0.0052","0.0002","0.0002","0.0002","1.0016","1.0033","1.0030","1.0032",1848,1367,1272,1334,2198,2162,2094,2154
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","-0.43(-2.26,1.40)","0.29(-1.63,2.20)","-0.66(-2.63,1.26)","-0.01(-2.04,2.02)","0.6426","0.7571","0.5106","0.9910","1.0004","1.0007","0.9999","1.0006",1302,1146,1094,1209,2413,2169,1996,1996
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-3.40(-4.78,-1.97)","-3.35(-4.82,-1.81)","-3.74(-5.45,-2.06)","-2.48(-4.26,-0.68)","0.0002","0.0002","0.0002","0.0062","1.0013","1.0024","1.0015","1.0018",1836,1360,1331,1412,2459,2163,2096,2059
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","1.52(0.26,2.78)","3.75(2.43,5.09)","4.71(3.33,6.11)","5.51(4.03,6.96)","0.0212","0.0002","0.0002","0.0002","1.0018","1.0018","1.0010","1.0008",2451,2080,1891,1896,2850,2738,2794,2639
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","1.81(0.50,3.21)","0.34(-1.14,1.85)","1.37(-0.24,3.08)","-0.60(-2.62,1.48)","0.0087","0.6636","0.1067","0.5591","1.0009","1.0006","1.0006","1.0011",1574,1341,1255,1197,2636,2067,2163,2032
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","3.85(2.53,5.16)","6.78(5.37,8.17)","10.59(9.00,12.15)","18.05(16.18,19.85)","0.0002","0.0002","0.0002","0.0002","1.0020","1.0018","1.0023","1.0025",1348,1308,1144,1094,2237,2008,1771,1623
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","1.89(0.65,3.11)","5.14(3.71,6.49)","9.55(8.09,11.05)","20.50(18.85,22.15)","0.0052","0.0002","0.0002","0.0002","1.0004","1.0008","1.0015","1.0004",1909,1661,1515,1510,2508,2378,2227,2471
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","0.25(-1.41,1.90)","0.60(-1.17,2.29)","0.11(-1.68,1.87)","-0.31(-2.27,1.59)","0.7626","0.4891","0.8900","0.7401","1.0026","1.0018","1.0025","1.0016",1662,1460,1441,1530,2222,2006,2237,2117
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-2.65(-3.92,-1.32)","-2.89(-4.27,-1.48)","-2.38(-3.97,-0.75)","-1.86(-3.55,-0.17)","0.0002","0.0007","0.0052","0.0347","1.0004","1.0005","1.0001","1.0001",1852,1692,1464,1413,2469,2529,2351,2188
