ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"3.84(2.43,5.25)","7.21(5.67,8.74)","11.04(9.35,12.72)","19.45(17.42,21.41)",0.0002,0.0002,0.0002,0.0002,1.0012,1.0030,1.0034,1.0044,2430,2055,1911,1895,2901,2621,2888,2897
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","1.83(0.51,3.19)","5.10(3.65,6.52)","9.92(8.32,11.51)","22.20(20.36,24.00)","0.0060","0.0002","0.0002","0.0002","1.0019","1.0029","1.0040","1.0028",2334,1927,1833,1730,3327,3044,2433,2663
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","-0.40(-2.27,1.44)","0.32(-1.62,2.31)","-0.62(-2.62,1.31)","0.05(-2.00,2.12)","0.6784","0.7521","0.5280","0.9604","1.0015","1.0020","1.0026","1.0022",1449,1225,1309,1297,2327,2053,2424,2214
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-3.41(-4.77,-1.97)","-3.34(-4.85,-1.80)","-3.73(-5.41,-2.06)","-2.48(-4.32,-0.67)","0.0002","0.0002","0.0002","0.0065","1.0007","1.0011","1.0028","1.0036",2356,1947,1839,1780,3430,2952,2801,2958
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","1.51(0.25,2.79)","3.74(2.47,5.06)","4.71(3.37,6.11)","5.50(4.03,6.99)","0.0156","0.0002","0.0002","0.0002","1.0008","1.0019","1.0022","1.0030",2720,2533,2208,2291,3479,3177,2825,3129
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","1.83(0.41,3.20)","0.36(-1.19,1.89)","1.40(-0.41,3.14)","-0.55(-2.67,1.53)","0.0098","0.6484","0.1198","0.5901","1.0009","1.0016","1.0004","1.0021",1855,1640,1442,1442,2952,2798,2487,2227
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","3.84(2.53,5.09)","6.79(5.45,8.15)","10.59(9.05,12.17)","18.06(16.23,19.89)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0021","1.0020","1.0022",1838,1716,1401,1421,2673,3127,2509,2573
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","1.90(0.72,3.11)","5.15(3.83,6.45)","9.57(8.06,11.03)","20.51(18.83,22.19)","0.0023","0.0002","0.0002","0.0002","1.0027","1.0029","1.0028","1.0035",1575,1322,1157,1213,2865,2392,2527,2176
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","0.25(-1.42,1.92)","0.61(-1.15,2.35)","0.12(-1.69,1.78)","-0.30(-2.17,1.55)","0.7600","0.4909","0.8725","0.7471","1.0033","1.0035","1.0037","1.0024",1634,1445,1482,1588,2437,2354,2439,2501
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-2.66(-3.95,-1.37)","-2.89(-4.30,-1.48)","-2.37(-3.96,-0.81)","-1.87(-3.61,-0.17)","0.0002","0.0002","0.0027","0.0315","1.0006","1.0020","1.0018","1.0022",1813,1686,1573,1549,2742,2529,2272,2607
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Built+SM+PA+OB","0.00","1.84(0.77,2.94)","3.62(2.42,4.83)","3.98(2.73,5.21)","5.04(3.68,6.41)","0.0015","0.0002","0.0002","0.0002","1.0008","1.0009","1.0002","1.0006",2474,2200,1915,1844,3586,2992,3083,3101
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Social+SM+PA+OB","0.00","1.71(0.45,3.01)","0.66(-0.72,2.07)","1.83(0.24,3.44)","0.35(-1.66,2.30)","0.0085","0.3630","0.0256","0.7209","1.0024","1.0038","1.0034","1.0055",1760,1422,1318,1137,2937,2253,2090,2082
