ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.81(1.32,7.66)","2.40(1.70,12.97)","3.52(2.11,18.76)","5.19(3.00,32.36)",0.0365,0.0365,0.0365,0.0365,1.0012,1.0030,1.0034,1.0044,2430,2055,1911,1895,2901,2621,2888,2897
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","2.02(-0.46,4.92)","3.70(-3.62,10.94)","6.43(-7.28,19.79)","12.74(-17.65,42.19)","0.0660","0.0610","0.0610","0.0610","1.0019","1.0029","1.0040","1.0028",2334,1927,1833,1730,3327,3044,2433,2663
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.83(-0.23,2.10)","1.44(0.11,3.13)","0.87(-0.49,1.97)","1.25(-0.16,2.84)","0.6634","0.7946","0.5247","0.9971","1.0015","1.0020","1.0026","1.0022",1449,1225,1309,1297,2327,2053,2424,2214
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","-0.60(-4.95,3.44)","-0.48(-4.85,3.25)","-0.84(-5.50,3.43)","-0.16(-3.05,2.17)","0.0610","0.0610","0.0610","0.0639","1.0007","1.0011","1.0028","1.0036",2356,1947,1839,1780,3430,2952,2801,2958
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.74(-0.18,4.36)","2.91(-2.24,8.41)","3.39(-3.23,10.39)","3.71(-3.77,11.70)","0.0756","0.0610","0.0610","0.0610","1.0008","1.0019","1.0022","1.0030",2720,2533,2208,2291,3479,3177,2825,3129
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","2.11(-0.60,4.95)","1.33(0.21,2.79)","2.01(-0.04,4.69)","0.95(-0.44,2.07)","0.0698","0.6842","0.1798","0.6017","1.0009","1.0016","1.0004","1.0021",1855,1640,1442,1442,2952,2798,2487,2227
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","1.00(1.00,1.00)","2.27(1.42,5.91)","3.25(1.86,9.29)","4.50(2.37,14.00)","6.97(3.41,22.85)","0.0231","0.0231","0.0231","0.0231","1.0013","1.0021","1.0020","1.0022",1838,1716,1401,1421,2673,3127,2509,2573
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","2.03(-8.11,12.39)","3.82(-22.97,30.81)","6.32(-40.65,54.47)","12.44(-90.59,116.22)","0.2664","0.2643","0.2643","0.2643","1.0027","1.0029","1.0028","1.0035",1575,1322,1157,1213,2865,2392,2527,2176
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.07(-2.81,4.99)","1.31(-3.70,6.69)","1.07(-2.52,5.06)","0.86(-2.49,4.89)","0.9275","0.6917","0.9992","0.7088","1.0033","1.0035","1.0037","1.0024",1634,1445,1482,1588,2437,2354,2439,2501
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","-0.58(-13.61,11.74)","-0.63(-14.66,13.56)","-0.39(-11.85,10.53)","-0.17(-9.37,8.63)","0.2643","0.2643","0.2643","0.2764","1.0006","1.0020","1.0018","1.0022",1813,1686,1573,1549,2742,2529,2272,2607
