ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"1.94(1.30,2.58)","3.43(2.76,4.13)","4.95(4.18,5.74)","9.19(8.34,10.08)",0.0002,0.0002,0.0002,0.0002,1.0019,1.0035,1.0035,1.0040,2182,1807,1535,1443,2902,2949,2282,2343
"K70_K76_C22","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","0.82(0.24,1.40)","2.47(1.82,3.13)","4.74(4.04,5.46)","10.79(9.97,11.59)","0.0069","0.0002","0.0002","0.0002","1.0008","1.0016","1.0021","1.0005",2570,2126,2028,1961,3224,2749,2549,2824
"K70_K76_C22","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","-0.12(-0.92,0.68)","-0.48(-1.32,0.38)","-0.48(-1.33,0.37)","-0.22(-1.12,0.70)","0.7842","0.2901","0.2835","0.6392","1.0012","1.0021","1.0010","1.0007",1849,1773,1775,2014,2855,2739,2885,2677
"K70_K76_C22","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-0.53(-1.13,0.09)","-0.97(-1.62,-0.33)","-1.28(-2.02,-0.53)","-0.73(-1.51,0.08)","0.1010","0.0031","0.0010","0.0789","1.0016","1.0031","1.0020","1.0014",3027,2208,2243,2339,3737,3236,3034,3038
"K70_K76_C22","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","0.55(0.01,1.10)","1.23(0.67,1.78)","1.39(0.79,1.99)","2.44(1.77,3.09)","0.0460","0.0002","0.0002","0.0002","1.0003","1.0007","1.0003","1.0007",3117,2812,2466,2431,3208,3402,3409,3275
"K70_K76_C22","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","0.05(-0.54,0.68)","-0.33(-1.00,0.35)","-0.02(-0.80,0.75)","-1.07(-1.97,-0.14)","0.8475","0.3551","0.9604","0.0281","1.0005","1.0021","1.0023","1.0024",2883,2388,2203,2175,3579,3541,3223,2927
"K70_K76_C22","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","2.04(1.29,2.78)","3.42(2.64,4.19)","5.61(4.75,6.45)","10.22(9.24,11.26)","0.0002","0.0002","0.0002","0.0002","1.0041","1.0031","1.0063","1.0048",1765,1518,1340,1351,2775,2222,2283,2201
"K70_K76_C22","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","1.11(0.47,1.75)","3.04(2.31,3.75)","5.68(4.89,6.49)","12.52(11.62,13.43)","0.0010","0.0002","0.0002","0.0002","1.0018","1.0018","1.0014","1.0006",2533,2114,1884,1892,3765,2921,2891,2836
"K70_K76_C22","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","0.08(-0.83,0.99)","0.22(-0.75,1.19)","-0.04(-1.03,0.95)","0.27(-0.79,1.29)","0.8634","0.6538","0.9525","0.6088","1.0068","1.0073","1.0069","1.0063",1866,1808,1665,1741,2935,2605,2757,3223
"K70_K76_C22","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-0.68(-1.40,0.02)","-1.26(-2.01,-0.51)","-1.27(-2.12,-0.43)","-1.02(-1.89,-0.12)","0.0602","0.0006","0.0040","0.0252","1.0019","1.0010","1.0013","1.0050",3076,2713,2135,2342,3735,3634,2658,2907
