ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
J40_J47_J60_J70_J84_D86_C34,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.23(1.01,1.53)","1.73(1.40,2.36)","2.21(1.72,3.14)","3.51(2.59,5.30)",0.0356,0.0002,0.0002,0.0002,1.0009,1.0014,1.0031,1.0006,2624,2227,1860,1739,3454,2997,2896,2876
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.17(0.84,2.20)","2.16(1.48,5.73)","3.59(2.26,11.48)","6.80(3.84,24.33)","0.3010","0.0115","0.0115","0.0115","1.0002","1.0011","1.0015","1.0016",4000,3485,3103,3157,3935,3562,3554,3707
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.78(0.20,1.44)","0.98(0.46,1.87)","0.94(0.36,1.68)","1.13(0.58,2.25)","0.4530","0.9658","0.6980","0.7405","1.0001","1.0010","1.0006","1.0008",3419,2839,2888,2926,3613,3780,3465,3635
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.31(-1.40,0.76)","0.32(-1.44,0.73)","0.50(-0.83,0.89)","0.83(0.13,1.47)","0.0119","0.0119","0.0235","0.4655","1.0013","1.0023","1.0017","1.0009",4340,3675,3202,3293,4006,3707,3854,3820
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.22(0.86,2.32)","1.87(1.32,4.81)","2.18(1.50,5.96)","2.61(1.68,7.19)","0.1948","0.0115","0.0115","0.0115","1.0006","1.0004","1.0011","1.0012",4788,4174,4007,3819,3870,3700,3617,2422
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.60(1.11,3.56)","1.28(0.85,2.38)","1.86(1.20,4.24)","1.51(0.81,2.80)","0.0160","0.2372","0.0127","0.2443","1.0016","1.0011","1.0000","1.0000",3623,3289,2951,2602,3938,3352,3706,2832
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","1.00(1.00,1.00)","1.23(1.02,1.53)","1.69(1.37,2.23)","2.29(1.79,3.19)","3.46(2.56,5.02)","0.0306","0.0002","0.0002","0.0002","1.0016","1.0008","1.0026","1.0024",2483,2052,1833,1685,2675,2298,2994,2428
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.33(0.91,2.31)","2.39(1.53,5.65)","3.99(2.29,10.61)","7.39(3.83,21.49)","0.1552","0.0081","0.0081","0.0081","1.0014","1.0014","1.0019","1.0026",3437,2742,2510,2417,3654,3210,3376,3358
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.78(0.18,1.30)","0.90(0.40,1.51)","0.75(0.08,1.26)","0.89(0.33,1.58)","0.3001","0.6742","0.2772","0.6067","1.0019","1.0011","1.0008","1.0009",2434,2116,2319,2223,3216,3269,3222,3001
"J40_J47_J60_J70_J84_D86_C34","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.23(-1.17,0.71)","0.23(-1.15,0.71)","0.48(-0.50,0.92)","0.92(0.40,1.53)","0.0085","0.0085","0.0227","0.6747","1.0021","1.0007","1.0003","1.0016",3749,3338,3063,2862,3818,3509,3481,3270
