ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I00_I99,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"-5.31(-12.66,1.97)","2.64(-4.55,9.89)","11.05(3.55,18.77)","37.85(29.75,45.57)",0.1539,0.4714,0.0027,0.0002,1.0009,1.0014,1.0021,1.0029,4720,4997,4270,3795,3557,3557,3691,3695
"I00_I99","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","-15.66(-22.74,-8.55)","-2.88(-10.12,4.41)","17.84(10.22,25.00)","58.85(50.80,66.78)","0.0002","0.4385","0.0002","0.0002","1.0009","1.0007","1.0008","1.0010",4015,4075,4079,3374,3517,3574,3421,3013
"I00_I99","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","-6.30(-14.07,1.36)","1.05(-6.63,8.42)","-2.36(-9.88,5.13)","4.35(-3.59,12.54)","0.1131","0.7875","0.5418","0.2768","1.0015","1.0004","1.0012","1.0006",4567,4067,3971,3719,3665,3543,3789,3716
"I00_I99","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-9.40(-16.48,-2.09)","-8.05(-15.14,-0.93)","-1.56(-9.17,5.95)","5.25(-2.84,13.20)","0.0110","0.0277","0.6730","0.1877","1.0005","1.0012","1.0009","1.0010",5037,4365,4258,4053,3420,3720,3815,3409
"I00_I99","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","-4.17(-11.52,2.93)","11.47(4.58,18.50)","18.47(10.94,26.08)","21.68(14.45,29.01)","0.2518","0.0019","0.0002","0.0002","0.9997","1.0016","1.0009","0.9999",4486,4597,4218,4168,3502,3592,3389,3493
"I00_I99","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","4.16(-3.07,11.34)","-0.70(-7.85,6.37)","8.43(1.02,15.81)","2.88(-5.44,10.90)","0.2647","0.8550","0.0265","0.4864","1.0006","1.0006","1.0017","1.0001",4545,4793,4311,3466,3403,3868,3421,3306
"I00_I99","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","-5.34(-12.15,1.73)","2.54(-4.07,9.31)","10.80(3.67,18.02)","41.33(33.54,49.02)","0.1285","0.4630","0.0044","0.0002","1.0001","1.0019","1.0004","1.0006",4248,4202,4171,3415,3646,3615,3563,3314
"I00_I99","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","-13.73(-20.64,-6.84)","-1.41(-8.25,5.32)","17.86(10.98,24.76)","61.94(54.26,69.17)","0.0002","0.6797","0.0002","0.0002","1.0002","0.9999","1.0005","1.0006",4314,4464,4806,4601,3344,3405,3630,3808
"I00_I99","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","-6.30(-13.64,1.01)","1.21(-6.04,8.93)","-2.12(-9.43,5.38)","4.47(-3.47,12.40)","0.0964","0.7613","0.5547","0.2735","1.0003","1.0014","1.0004","1.0001",5184,4290,4740,4246,3925,3397,3320,3491
"I00_I99","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-9.92(-16.60,-3.23)","-7.90(-14.80,-1.05)","-0.60(-7.62,6.35)","3.77(-3.56,11.15)","0.0031","0.0202","0.8650","0.3181","1.0015","1.0012","1.0005","1.0005",4851,4901,4435,4239,3733,3511,3717,3457
