ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
C00_C97,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"-1.94(-7.67,3.95)","6.52(0.75,12.31)","17.27(11.33,23.38)","45.76(38.61,52.45)",0.5021,0.0262,0.0002,0.0002,1.0017,1.0003,1.0007,1.0007,2295,2153,2120,1836,2755,2617,2822,2551
"C00_C97","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","-8.79(-14.49,-3.14)","3.96(-1.62,9.79)","21.16(15.30,27.12)","64.01(57.38,70.80)","0.0022","0.1737","0.0002","0.0002","1.0003","1.0002","0.9998","0.9998",3490,3221,3182,2686,2745,3068,2713,2819
"C00_C97","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","-4.33(-10.47,1.79)","1.70(-4.73,8.03)","-1.32(-7.65,5.12)","3.22(-3.48,10.01)","0.1647","0.5781","0.6756","0.3527","1.0022","1.0024","1.0012","1.0028",2968,2921,2687,2730,2728,2814,2797,3012
"C00_C97","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-8.16(-13.89,-2.66)","-7.17(-12.84,-1.47)","-3.74(-9.94,2.15)","0.91(-5.48,7.06)","0.0032","0.0122","0.2302","0.7871","0.9999","1.0011","1.0011","0.9995",3553,3342,3361,3218,3142,3059,2763,3396
"C00_C97","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","-0.52(-5.99,5.16)","10.51(5.13,15.99)","18.37(12.79,23.79)","22.70(16.79,28.58)","0.8675","0.0002","0.0002","0.0002","1.0004","1.0001","1.0013","1.0028",3254,2990,3010,2617,2776,3163,2936,2759
"C00_C97","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","5.10(-0.46,10.61)","0.36(-5.22,6.04)","9.72(3.77,15.62)","4.81(-1.63,11.50)","0.0712","0.9010","0.0017","0.1582","1.0006","0.9997","1.0009","1.0020",3772,3394,2851,2519,2981,3143,2790,2906
"C00_C97","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","-1.56(-6.84,3.65)","7.46(2.12,12.96)","18.10(12.40,23.98)","47.90(41.27,54.54)","0.5551","0.0057","0.0002","0.0002","1.0011","0.9999","1.0017","1.0016",3283,2492,2281,2166,3220,2566,2562,2376
"C00_C97","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","-7.81(-13.08,-2.43)","5.83(0.45,11.24)","23.30(17.72,28.97)","64.42(58.11,70.89)","0.0037","0.0352","0.0002","0.0002","1.0012","1.0010","1.0009","1.0023",3462,3069,3141,2777,2844,2956,3159,3037
"C00_C97","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","-4.15(-9.81,1.82)","0.58(-5.27,6.44)","-2.10(-8.08,3.64)","1.86(-4.60,8.29)","0.1647","0.8455","0.4866","0.5726","1.0012","1.0022","1.0017","1.0001",3363,3131,3128,3004,3135,3101,2404,2672
"C00_C97","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-8.52(-13.48,-3.51)","-8.37(-13.85,-2.98)","-3.54(-9.46,2.32)","2.66(-3.36,8.64)","0.0012","0.0022","0.2167","0.3817","1.0007","1.0004","0.9996","1.0006",3445,3024,3096,2814,3103,3036,2677,2973
"C00_C97","2000_2005","2011_2015",10,"Black_EQI_Built+SM+PA+OB","0.00","1.17(-4.09,6.20)","13.09(7.60,18.31)","17.56(12.35,22.71)","22.37(16.60,27.95)","0.6526","0.0002","0.0002","0.0002","1.0005","1.0021","1.0008","0.9996",3850,3587,3291,3280,3471,3141,3292,3087
"C00_C97","2000_2005","2011_2015",10,"Black_EQI_Social+SM+PA+OB","0.00","3.56(-1.90,8.74)","-0.27(-5.68,4.77)","8.37(2.86,13.87)","5.19(-1.38,11.64)","0.1817","0.9425","0.0042","0.1247","1.0013","1.0017","1.0022","1.0012",4359,3382,2856,2953,3032,2983,3125,3218
"C00_C97","2000_2005","2016_2020",15,"Black_EQI+SM+PA+OB","0.00","-2.22(-7.39,3.24)","7.51(2.31,12.77)","19.73(14.06,25.28)","52.15(45.62,58.47)","0.3992","0.0032","0.0002","0.0002","1.0019","1.0011","1.0005","1.0000",2486,2142,1873,1985,2306,2553,2476,2114
"C00_C97","2000_2005","2016_2020",15,"Black_EQI_Air+SM+PA+OB","0.00","-6.22(-11.29,-1.28)","7.43(2.12,12.56)","26.45(21.23,31.88)","66.51(60.51,72.19)","0.0147","0.0052","0.0002","0.0002","1.0007","1.0010","1.0008","1.0012",3512,3140,2915,2143,3136,2798,2981,2632
"C00_C97","2000_2005","2016_2020",15,"Black_EQI_Water+SM+PA+OB","0.00","-3.57(-8.98,2.16)","0.38(-5.28,5.96)","-2.32(-7.93,3.64)","2.36(-3.66,8.40)","0.2107","0.8845","0.4241","0.4421","1.0008","1.0000","1.0026","1.0006",2701,2857,2633,2764,2678,3477,3066,2958
"C00_C97","2000_2005","2016_2020",15,"Black_EQI_Land+SM+PA+OB","0.00","-8.06(-13.09,-3.06)","-8.13(-13.04,-2.91)","-0.37(-5.86,5.08)","3.70(-2.02,9.31)","0.0022","0.0037","0.8875","0.2137","1.0005","1.0000","1.0003","1.0008",3738,3021,2858,2482,3115,2943,2790,2825
"C00_C97","2000_2005","2016_2020",15,"Black_EQI_Built+SM+PA+OB","0.00","1.99(-3.14,6.81)","12.17(7.22,16.94)","17.52(12.44,22.64)","20.85(15.49,26.20)","0.4211","0.0002","0.0002","0.0002","1.0003","1.0007","1.0005","1.0002",3603,3207,3100,2950,2918,2768,2863,2903
"C00_C97","2000_2005","2016_2020",15,"Black_EQI_Social+SM+PA+OB","0.00","3.90(-1.00,8.88)","-0.75(-5.95,4.27)","6.58(1.13,11.91)","8.75(2.33,15.02)","0.1252","0.7996","0.0177","0.0057","1.0010","1.0025","1.0007","1.0003",2958,2775,2615,2163,2676,3049,2315,2531
"C00_C97","2000_2005","2021_2024",20,"Black_EQI+SM+PA+OB","0.00","-4.57(-10.04,1.03)","3.50(-2.17,9.11)","15.92(10.18,21.75)","50.62(44.14,57.16)","0.1087","0.2167","0.0002","0.0002","1.0009","1.0036","1.0000","1.0019",2410,2653,2516,2315,2826,2745,2979,2901
"C00_C97","2000_2005","2021_2024",20,"Black_EQI_Air+SM+PA+OB","0.00","-8.68(-14.07,-3.16)","5.14(-0.37,10.66)","23.84(18.13,29.44)","68.46(62.04,74.74)","0.0022","0.0647","0.0002","0.0002","1.0019","1.0004","1.0010","1.0009",3486,3278,2532,2497,3005,3225,2902,2513
"C00_C97","2000_2005","2021_2024",20,"Black_EQI_Water+SM+PA+OB","0.00","-4.91(-10.62,0.98)","-0.17(-6.33,6.05)","-2.23(-8.23,3.95)","1.56(-5.28,8.04)","0.1057","0.9555","0.4881","0.6521","1.0015","1.0014","0.9999","1.0001",3614,3387,3097,3015,3147,3352,2996,2890
"C00_C97","2000_2005","2021_2024",20,"Black_EQI_Land+SM+PA+OB","0.00","-10.51(-16.04,-4.99)","-8.30(-13.77,-2.70)","-1.73(-7.74,4.25)","2.44(-3.97,8.61)","0.0007","0.0032","0.5821","0.4376","1.0014","1.0000","0.9999","1.0002",3421,3249,3078,3203,2590,2946,2869,2931
"C00_C97","2000_2005","2021_2024",20,"Black_EQI_Built+SM+PA+OB","0.00","0.62(-4.74,5.94)","11.48(6.14,17.00)","17.26(11.80,22.82)","23.73(17.91,29.63)","0.8045","0.0002","0.0002","0.0002","1.0012","1.0014","1.0004","1.0013",3273,3416,3268,2959,2630,2886,3264,3086
"C00_C97","2000_2005","2021_2024",20,"Black_EQI_Social+SM+PA+OB","0.00","2.43(-2.97,7.63)","-3.50(-9.07,1.93)","5.41(-0.39,11.22)","5.97(-0.66,12.56)","0.3897","0.2212","0.0707","0.0722","1.0015","1.0016","1.0011","1.0010",3242,3057,2934,2554,2755,3068,2930,2674
"C00_C97","2000_2005","2006_2010",5,"Female_EQI+SM+PA+OB","0.00","11.01(7.88,14.16)","13.18(10.05,16.52)","16.68(13.17,20.19)","22.67(18.93,26.55)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0002","1.0010","1.0011",3187,2708,2057,1860,2978,3040,2770,2558
"C00_C97","2000_2005","2006_2010",5,"Female_EQI_Air+SM+PA+OB","0.00","11.14(7.78,14.59)","11.78(8.47,15.27)","11.81(8.36,15.35)","15.19(11.44,19.11)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0016","1.0003","1.0002",3504,3101,2557,2458,3231,3008,2790,2869
"C00_C97","2000_2005","2006_2010",5,"Female_EQI_Water+SM+PA+OB","0.00","-2.56(-6.10,0.81)","0.08(-3.55,3.65)","3.42(-0.14,6.98)","3.17(-0.55,6.85)","0.1472","0.9730","0.0627","0.0897","1.0008","1.0011","1.0008","1.0008",3277,2809,2813,2788,3363,2937,3324,3315
"C00_C97","2000_2005","2006_2010",5,"Female_EQI_Land+SM+PA+OB","0.00","1.49(-1.45,4.47)","3.12(-0.04,6.21)","3.30(-0.18,6.77)","3.10(-0.62,6.64)","0.3272","0.0532","0.0612","0.1012","1.0017","1.0004","1.0002","1.0017",4167,3623,3298,3167,3230,2976,3357,2965
"C00_C97","2000_2005","2006_2010",5,"Female_EQI_Built+SM+PA+OB","0.00","5.41(2.38,8.50)","8.46(5.29,11.61)","9.46(6.21,12.67)","12.14(8.66,15.54)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0009","1.0022","1.0011",4182,3754,3222,3224,3294,3292,3214,3109
"C00_C97","2000_2005","2006_2010",5,"Female_EQI_Social+SM+PA+OB","0.00","-2.83(-6.02,0.27)","-2.62(-5.89,0.64)","0.35(-3.24,3.95)","4.21(0.09,8.34)","0.0782","0.1157","0.8345","0.0427","1.0002","1.0007","1.0005","1.0007",4356,3356,2839,2695,3693,3667,3418,2774
"C00_C97","2000_2005","2011_2015",10,"Female_EQI+SM+PA+OB","0.00","7.87(4.96,10.82)","11.31(8.45,14.28)","14.24(11.06,17.42)","19.77(16.20,23.34)","0.0002","0.0002","0.0002","0.0002","1.0001","1.0007","0.9996","1.0011",3826,3102,2733,2616,3267,3209,2935,2616
"C00_C97","2000_2005","2011_2015",10,"Female_EQI_Air+SM+PA+OB","0.00","8.67(5.57,11.71)","10.98(7.77,14.10)","10.62(7.46,13.85)","12.23(8.77,15.69)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0000","1.0002","1.0003",3168,2525,2317,2294,3079,2954,2881,2877
"C00_C97","2000_2005","2011_2015",10,"Female_EQI_Water+SM+PA+OB","0.00","-4.32(-7.66,-0.98)","-0.08(-3.48,3.38)","3.69(0.26,6.87)","4.04(0.47,7.61)","0.0137","0.9720","0.0337","0.0247","1.0008","1.0022","1.0007","1.0006",2493,2255,2084,2339,3383,2718,2757,2859
"C00_C97","2000_2005","2011_2015",10,"Female_EQI_Land+SM+PA+OB","0.00","2.58(-0.18,5.23)","1.97(-0.84,4.70)","3.30(0.17,6.32)","3.79(0.53,6.93)","0.0662","0.1722","0.0362","0.0237","1.0004","1.0005","1.0002","1.0009",3507,2742,2648,2575,3309,2786,3112,3014
"C00_C97","2000_2005","2011_2015",10,"Female_EQI_Built+SM+PA+OB","0.00","5.01(2.21,7.82)","7.50(4.79,10.32)","9.12(6.23,12.00)","12.54(9.47,15.58)","0.0007","0.0002","0.0002","0.0002","0.9996","0.9997","1.0002","1.0002",3849,3239,2800,2767,3215,3415,3246,3131
"C00_C97","2000_2005","2011_2015",10,"Female_EQI_Social+SM+PA+OB","0.00","-2.53(-5.27,0.31)","-3.34(-6.35,-0.32)","-1.50(-4.84,1.80)","1.80(-1.94,5.50)","0.0817","0.0327","0.3642","0.3442","1.0008","1.0003","1.0004","1.0016",3431,2855,2495,2106,3320,3089,3045,2912
"C00_C97","2000_2005","2016_2020",15,"Female_EQI+SM+PA+OB","0.00","10.20(7.31,13.08)","10.76(7.98,13.61)","12.86(9.76,15.86)","15.82(12.40,19.14)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0023","1.0021","1.0013",2971,2084,2052,1788,2804,2766,2678,2649
"C00_C97","2000_2005","2016_2020",15,"Female_EQI_Air+SM+PA+OB","0.00","8.08(5.15,11.02)","9.50(6.41,12.36)","9.54(6.50,12.56)","8.97(5.62,12.13)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0021","1.0006","1.0011",2278,2048,1756,1683,3019,2555,2582,2626
"C00_C97","2000_2005","2016_2020",15,"Female_EQI_Water+SM+PA+OB","0.00","-0.34(-3.58,2.89)","3.40(0.01,6.71)","3.63(0.40,6.99)","3.34(-0.14,6.86)","0.8385","0.0497","0.0257","0.0632","1.0014","1.0014","1.0004","1.0004",2190,2101,1910,2203,2688,2674,2947,2888
"C00_C97","2000_2005","2016_2020",15,"Female_EQI_Land+SM+PA+OB","0.00","2.31(-0.24,4.81)","0.69(-1.96,3.40)","2.05(-0.99,5.04)","3.72(0.51,6.90)","0.0747","0.6366","0.1727","0.0212","0.9998","1.0005","1.0005","1.0006",3664,3302,2790,2690,3415,3253,3014,2809
"C00_C97","2000_2005","2016_2020",15,"Female_EQI_Built+SM+PA+OB","0.00","8.01(5.32,10.60)","9.24(6.62,11.92)","10.88(8.19,13.68)","12.90(10.00,15.81)","0.0002","0.0002","0.0002","0.0002","1.0004","1.0001","1.0008","1.0012",3297,2713,2352,2434,3406,3103,2504,3101
"C00_C97","2000_2005","2016_2020",15,"Female_EQI_Social+SM+PA+OB","0.00","-0.45(-3.14,2.23)","0.06(-2.76,2.92)","-0.60(-3.72,2.48)","2.00(-1.52,5.50)","0.7571","0.9760","0.7071","0.2552","0.9996","0.9997","1.0005","1.0000",3304,2535,2132,2221,3005,2895,2925,2989
"C00_C97","2000_2005","2021_2024",20,"Female_EQI+SM+PA+OB","0.00","12.53(8.99,16.16)","12.68(9.10,16.41)","12.55(8.70,16.55)","14.19(9.73,18.62)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0003","1.0011","1.0004",2831,2319,2010,1881,2802,2731,2565,2679
"C00_C97","2000_2005","2021_2024",20,"Female_EQI_Air+SM+PA+OB","0.00","11.67(8.02,15.39)","11.13(7.52,14.89)","8.76(5.06,12.52)","5.16(1.23,9.38)","0.0002","0.0002","0.0002","0.0112","1.0002","1.0011","1.0009","1.0011",3204,2349,2279,1967,3125,2616,2755,2625
"C00_C97","2000_2005","2021_2024",20,"Female_EQI_Water+SM+PA+OB","0.00","-4.81(-9.12,-0.57)","0.64(-3.61,4.89)","5.44(1.19,9.77)","0.04(-4.63,4.57)","0.0247","0.7706","0.0127","0.9855","1.0021","1.0022","1.0014","1.0007",2320,2016,2043,2213,2920,2466,2734,2535
"C00_C97","2000_2005","2021_2024",20,"Female_EQI_Land+SM+PA+OB","0.00","0.08(-3.20,3.29)","1.31(-2.13,4.84)","2.54(-1.34,6.36)","4.27(0.23,8.27)","0.9660","0.4656","0.2017","0.0392","1.0000","1.0013","1.0005","1.0004",3927,2821,2552,2428,3137,3093,2811,2935
