ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"4.97(2.82,7.22)","10.05(7.72,12.37)","15.80(13.21,18.32)","29.43(26.46,32.41)",0.0002,0.0002,0.0002,0.0002,1.0031,1.0017,1.0019,1.0011,3077,2369,2047,2076,3371,3158,3220,2962
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","2.00(-0.15,4.10)","7.00(4.70,9.30)","15.46(12.96,17.97)","34.06(31.23,36.89)","0.0685","0.0002","0.0002","0.0002","1.0001","1.0008","1.0009","1.0010",3120,2678,2353,2246,3661,3309,3207,3087
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","0.30(-2.46,3.03)","1.53(-1.35,4.40)","-0.99(-3.98,1.97)","0.74(-2.40,3.79)","0.8325","0.3081","0.5168","0.6255","1.0020","1.0027","1.0023","1.0023",2148,2112,2180,2245,3264,3056,2909,3400
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-2.45(-4.59,-0.33)","-3.60(-5.92,-1.35)","-4.01(-6.54,-1.33)","-3.83(-6.55,-1.03)","0.0223","0.0040","0.0027","0.0052","1.0008","1.0014","1.0026","1.0010",3866,3070,2931,2950,3718,3498,3161,3767
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","1.91(-0.12,3.97)","4.91(2.88,6.96)","6.39(4.21,8.61)","6.65(4.38,8.99)","0.0669","0.0002","0.0002","0.0002","1.0001","1.0006","1.0012","1.0002",4396,3345,3114,3031,3767,3550,3396,3548
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","3.23(1.17,5.35)","2.42(0.04,4.83)","4.96(2.21,7.64)","3.40(0.21,6.47)","0.0044","0.0464","0.0010","0.0377","1.0022","1.0022","1.0022","1.0026",2938,2194,1945,1787,3412,3171,2714,2448
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","5.97(3.51,8.55)","11.03(8.37,13.66)","17.85(14.98,20.71)","33.76(30.41,37.11)","0.0002","0.0002","0.0002","0.0002","1.0014","1.0003","1.0007","1.0002",2673,2404,2094,2083,3286,3111,2894,2870
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","1.90(-0.47,4.38)","8.39(5.71,10.95)","16.68(13.83,19.43)","39.50(36.22,42.58)","0.1185","0.0002","0.0002","0.0002","1.0009","1.0020","1.0025","1.0015",2840,2401,2213,2210,3376,2892,3193,3292
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","-0.88(-3.94,2.17)","0.55(-2.64,3.85)","-1.62(-4.89,1.57)","0.41(-3.13,3.86)","0.5747","0.7426","0.3322","0.8146","1.0027","1.0026","1.0026","1.0025",2280,2229,2227,1977,3095,2915,2846,2930
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-3.62(-6.05,-1.24)","-3.88(-6.44,-1.19)","-3.77(-6.70,-0.80)","-2.87(-6.03,0.28)","0.0056","0.0056","0.0119","0.0777","1.0002","1.0011","1.0033","1.0018",3022,2811,2487,2424,3398,3561,3204,3405
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Built+SM+PA+OB","0.00","3.40(1.17,5.64)","7.55(5.17,9.89)","8.25(5.61,10.60)","8.42(5.72,11.07)","0.0023","0.0002","0.0002","0.0002","1.0015","1.0005","1.0022","1.0000",3597,3145,2994,2843,3865,3377,3557,3671
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Social+SM+PA+OB","0.00","3.52(1.01,5.92)","2.69(0.05,5.20)","5.25(2.30,8.22)","4.11(0.74,7.64)","0.0048","0.0456","0.0006","0.0219","1.0009","1.0009","1.0006","1.0020",2935,2422,2268,2096,3462,2926,3035,3139
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Black_EQI+SM+PA+OB","0.00","4.69(2.15,7.19)","10.25(7.57,13.00)","17.43(14.48,20.52)","35.94(32.52,39.36)","0.0006","0.0002","0.0002","0.0002","1.0012","1.0017","1.0023","1.0017",2087,1745,1545,1525,2857,2597,2551,2399
