ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.99(1.29,4.33)","2.93(1.75,7.29)","4.04(2.23,10.89)","6.64(3.36,19.11)",0.0094,0.0094,0.0094,0.0094,1.0031,1.0017,1.0019,1.0011,3077,2369,2047,2076,3371,3158,3220,2962
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","2.73(-6.52,12.55)","6.77(-24.32,38.43)","11.98(-55.41,86.62)","24.95(-120.09,191.56)","0.5001","0.4476","0.4476","0.4476","1.0001","1.0008","1.0009","1.0010",3120,2678,2353,2246,3661,3309,3207,3087
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.96(-3.81,6.53)","2.04(-6.33,11.71)","0.28(-5.12,6.71)","1.62(-5.42,8.34)","0.9333","0.6871","0.5843","0.9221","1.0020","1.0027","1.0023","1.0023",2148,2112,2180,2245,3264,3056,2909,3400
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","-0.67(-11.45,9.31)","-1.57(-16.94,12.21)","-2.48(-19.83,14.00)","-2.09(-18.38,14.31)","0.4472","0.4464","0.4476","0.4493","1.0008","1.0014","1.0026","1.0010",3866,3070,2931,2950,3718,3498,3161,3767
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","2.37(-6.32,11.90)","4.36(-16.28,28.08)","5.41(-22.26,36.60)","5.33(-23.53,36.97)","0.5001","0.4476","0.4476","0.4476","1.0001","1.0006","1.0012","1.0002",4396,3345,3114,3031,3767,3550,3396,3548
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","2.86(-11.22,18.83)","2.68(-8.00,15.30)","3.79(-17.21,27.94)","2.58(-12.36,20.94)","0.4518","0.4822","0.4484","0.4809","1.0022","1.0022","1.0022","1.0026",2938,2194,1945,1787,3412,3171,2714,2448
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","1.00(1.00,1.00)","1.71(1.28,2.69)","2.30(1.63,4.00)","3.11(2.08,5.79)","4.97(3.11,9.84)","0.0019","0.0019","0.0019","0.0019","1.0014","1.0003","1.0007","1.0002",2673,2404,2094,2083,3286,3111,2894,2870
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","2.20(-2.29,6.99)","6.09(-11.37,23.86)","11.04(-23.49,47.01)","24.47(-54.91,104.95)","0.2735","0.1602","0.1602","0.1602","1.0009","1.0020","1.0025","1.0015",2840,2401,2213,2210,3376,2892,3193,3292
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.53(-1.96,3.21)","1.41(-1.50,4.91)","0.18(-3.11,3.41)","1.35(-1.97,4.57)","0.5805","0.8384","0.3955","0.9096","1.0027","1.0026","1.0026","1.0025",2280,2229,2227,1977,3095,2915,2846,2930
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","-0.87(-7.27,5.30)","-1.15(-7.22,5.65)","-1.33(-6.84,5.39)","-0.61(-5.57,4.33)","0.1639","0.1639","0.1643","0.2135","1.0002","1.0011","1.0033","1.0018",3022,2811,2487,2424,3398,3561,3204,3405
