ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
X60_X84_Y87.0,2000_2005,2006_2010,5,Black_EQI+SM+PA+OB,0.00,"0.42(0.27,0.56)","0.69(0.54,0.85)","0.97(0.80,1.15)","1.83(1.63,2.04)",0.0002,0.0002,0.0002,0.0002,0.9998,1.0000,1.0004,1.0007,2818,2289,2026,2031,3568,2992,2597,2758
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Black_EQI_Air+SM+PA+OB","0.00","0.10(-0.04,0.24)","0.35(0.19,0.50)","0.81(0.65,0.98)","2.23(2.04,2.43)","0.1798","0.0002","0.0002","0.0002","1.0008","1.0007","1.0006","1.0012",1999,1767,1624,1614,2872,2936,2430,2246
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Black_EQI_Water+SM+PA+OB","0.00","0.02(-0.17,0.21)","0.02(-0.18,0.22)","-0.12(-0.32,0.09)","0.13(-0.09,0.36)","0.8367","0.8234","0.2502","0.2560","1.0025","1.0032","1.0024","1.0018",1555,1422,1319,1423,2679,2160,2356,2592
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Black_EQI_Land+SM+PA+OB","0.00","-0.07(-0.22,0.08)","-0.17(-0.32,-0.01)","-0.22(-0.40,-0.05)","-0.17(-0.36,0.02)","0.3497","0.0327","0.0106","0.0735","1.0022","1.0037","1.0035","1.0037",2269,1644,1405,1392,3310,2601,2534,2392
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Black_EQI_Built+SM+PA+OB","0.00","0.04(-0.08,0.17)","0.16(0.02,0.29)","0.26(0.11,0.40)","0.38(0.22,0.54)","0.5022","0.0244","0.0019","0.0002","1.0010","1.0008","1.0017","1.0009",2689,2455,2171,2174,3274,3253,2763,2990
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Black_EQI_Social+SM+PA+OB","0.00","-0.04(-0.19,0.11)","-0.11(-0.27,0.05)","-0.03(-0.22,0.16)","-0.25(-0.48,-0.02)","0.6117","0.1914","0.7505","0.0323","1.0015","1.0030","1.0045","1.0054",2144,1524,1375,1311,3173,2499,2391,2355
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Black_EQI+SM+PA+OB","0.00","0.51(0.35,0.66)","0.80(0.63,0.98)","1.06(0.87,1.25)","2.03(1.80,2.25)","0.0002","0.0002","0.0002","0.0002","1.0021","1.0021","1.0015","1.0018",2043,1653,1671,1821,3046,2895,3034,2665
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Black_EQI_Air+SM+PA+OB","0.00","0.04(-0.11,0.19)","0.35(0.19,0.51)","0.83(0.64,1.01)","2.48(2.27,2.68)","0.5659","0.0002","0.0002","0.0002","1.0020","1.0026","1.0023","1.0030",1842,1684,1479,1608,3109,3109,2575,2578
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Black_EQI_Water+SM+PA+OB","0.00","0.00(-0.20,0.19)","0.04(-0.17,0.25)","-0.09(-0.31,0.13)","0.04(-0.19,0.28)","0.9808","0.7226","0.4155","0.7021","1.0019","1.0024","1.0040","1.0016",1604,1520,1442,1576,2519,2221,2323,2413
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Black_EQI_Land+SM+PA+OB","0.00","-0.13(-0.28,0.03)","-0.23(-0.40,-0.06)","-0.39(-0.58,-0.20)","-0.32(-0.52,-0.11)","0.1035","0.0069","0.0002","0.0023","1.0009","1.0018","1.0004","1.0007",2526,2143,1891,1863,3082,2938,3049,2816
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Black_EQI_Built+SM+PA+OB","0.00","0.06(-0.07,0.19)","0.20(0.06,0.34)","0.39(0.24,0.55)","0.43(0.27,0.59)","0.4264","0.0056","0.0002","0.0002","1.0005","1.0006","1.0016","1.0033",2936,2515,2377,2356,3336,3286,3207,3020
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Black_EQI_Social+SM+PA+OB","0.00","0.03(-0.13,0.18)","0.00(-0.17,0.18)","0.13(-0.07,0.34)","-0.05(-0.29,0.18)","0.7438","0.9704","0.1927","0.6480","1.0008","1.0015","1.0017","1.0011",2100,1814,1506,1527,3015,2804,2405,2507
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Black_EQI+SM+PA+OB","0.00","0.65(0.43,0.87)","1.12(0.87,1.36)","1.62(1.35,1.89)","3.16(2.84,3.46)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0022","1.0021","1.0017",2493,2058,1928,1933,3264,3075,3023,3105
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Black_EQI_Air+SM+PA+OB","0.00","0.22(0.01,0.42)","0.62(0.40,0.86)","1.52(1.27,1.76)","3.91(3.63,4.20)","0.0360","0.0002","0.0002","0.0002","1.0046","1.0069","1.0062","1.0060",1661,906,984,927,2201,1692,1363,1293
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Black_EQI_Water+SM+PA+OB","0.00","0.03(-0.25,0.30)","-0.02(-0.31,0.27)","-0.09(-0.39,0.20)","0.12(-0.19,0.43)","0.8571","0.8813","0.5376","0.4543","1.0019","1.0024","1.0028","1.0037",1432,1353,1290,1424,2615,2544,2986,2575
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Black_EQI_Land+SM+PA+OB","0.00","-0.28(-0.49,-0.07)","-0.38(-0.63,-0.14)","-0.53(-0.80,-0.26)","-0.41(-0.69,-0.13)","0.0085","0.0006","0.0002","0.0060","1.0016","1.0018","1.0026","1.0024",2172,1823,1624,1574,3364,2625,2596,2573
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Black_EQI_Built+SM+PA+OB","0.00","0.09(-0.09,0.28)","0.21(0.01,0.41)","0.43(0.22,0.64)","0.45(0.22,0.67)","0.3630","0.0398","0.0006","0.0002","1.0009","1.0027","1.0012","1.0026",2845,2332,1998,1970,3483,3070,3031,2937
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Black_EQI_Social+SM+PA+OB","0.00","-0.13(-0.34,0.07)","-0.13(-0.38,0.11)","0.04(-0.24,0.31)","-0.32(-0.66,0.00)","0.2335","0.3006","0.7567","0.0531","1.0004","1.0006","1.0001","1.0016",2377,1897,1728,1548,3601,2764,2871,2542
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Black_EQI+SM+PA+OB","0.00","0.81(0.51,1.12)","1.47(1.14,1.80)","2.18(1.81,2.54)","4.19(3.79,4.61)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0006","1.0008","1.0004",2987,2483,2104,2123,3479,3258,2993,2787
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Black_EQI_Air+SM+PA+OB","0.00","0.19(-0.09,0.47)","0.91(0.60,1.22)","2.00(1.67,2.34)","5.24(4.85,5.64)","0.1968","0.0002","0.0002","0.0002","1.0018","1.0013","1.0024","1.0012",2441,2081,1905,1982,3237,3403,3167,3144
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Black_EQI_Water+SM+PA+OB","0.00","0.14(-0.24,0.51)","0.09(-0.30,0.47)","-0.07(-0.48,0.32)","-0.03(-0.47,0.39)","0.4480","0.6463","0.7288","0.9079","1.0042","1.0046","1.0040","1.0057",1730,1641,1582,1557,2686,2643,2628,2798
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Black_EQI_Land+SM+PA+OB","0.00","-0.21(-0.50,0.07)","-0.39(-0.69,-0.08)","-0.60(-0.94,-0.25)","-0.38(-0.77,-0.01)","0.1435","0.0144","0.0019","0.0452","1.0010","1.0006","1.0008","1.0018",2650,2184,1875,1797,3200,3479,3013,3015
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Black_EQI_Built+SM+PA+OB","0.00","0.03(-0.22,0.28)","0.28(0.02,0.54)","0.62(0.34,0.90)","0.66(0.34,0.97)","0.7742","0.0323","0.0002","0.0002","1.0015","1.0021","1.0029","1.0033",2928,2833,2412,2434,3595,3125,2775,3151
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Black_EQI_Social+SM+PA+OB","0.00","-0.25(-0.53,0.04)","-0.44(-0.77,-0.11)","-0.14(-0.52,0.25)","-0.78(-1.23,-0.31)","0.1031","0.0102","0.4818","0.0015","1.0014","1.0012","1.0028","1.0021",2426,1804,1736,1544,3047,2905,2528,2419
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Female_EQI+SM+PA+OB","0.00","1.03(0.58,1.48)","1.68(1.21,2.16)","2.37(1.85,2.91)","2.11(1.51,2.72)","0.0002","0.0002","0.0002","0.0002","1.0012","1.0015","1.0017","1.0008",3199,2830,2711,2655,3832,3231,3610,3396
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Female_EQI_Air+SM+PA+OB","0.00","2.12(1.63,2.59)","3.04(2.52,3.56)","2.40(1.87,2.92)","1.49(0.91,2.05)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0011","1.0011","1.0006",3032,2616,2087,2084,3273,3316,3443,2980
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Female_EQI_Water+SM+PA+OB","0.00","0.28(-0.29,0.85)","0.75(0.14,1.35)","0.46(-0.14,1.05)","0.75(0.12,1.40)","0.3222","0.0144","0.1256","0.0248","1.0012","1.0008","1.0009","1.0008",1976,1935,1898,2079,3008,2752,2945,2732
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Female_EQI_Land+SM+PA+OB","0.00","-0.41(-0.90,0.07)","-0.57(-1.08,-0.06)","-0.80(-1.37,-0.25)","-0.77(-1.36,-0.17)","0.1023","0.0235","0.0052","0.0119","1.0008","1.0013","1.0010","1.0016",3263,2527,2275,2267,3596,3452,3369,3351
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Female_EQI_Built+SM+PA+OB","0.00","0.35(-0.09,0.78)","0.60(0.13,1.04)","0.94(0.48,1.41)","1.05(0.54,1.55)","0.1073","0.0102","0.0006","0.0002","1.0000","1.0001","1.0000","1.0005",3720,3338,2932,2886,4090,3828,3666,3738
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Female_EQI_Social+SM+PA+OB","0.00","-0.29(-0.77,0.18)","-0.60(-1.13,-0.06)","-0.40(-1.02,0.20)","-0.25(-0.96,0.46)","0.2372","0.0294","0.1831","0.4851","1.0012","1.0008","1.0016","1.0008",2901,2264,2025,1878,3232,3262,2783,2531
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Female_EQI+SM+PA+OB","0.00","1.22(0.70,1.73)","2.56(2.01,3.10)","2.92(2.31,3.52)","2.56(1.89,3.26)","0.0002","0.0002","0.0002","0.0002","1.0009","1.0023","1.0029","1.0027",4045,3083,2679,2784,3806,3424,3154,3475
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Female_EQI_Air+SM+PA+OB","0.00","3.01(2.45,3.57)","3.74(3.12,4.35)","2.97(2.34,3.59)","1.85(1.17,2.52)","0.0002","0.0002","0.0002","0.0002","1.0027","1.0020","1.0020","1.0026",2649,2525,2448,2157,3374,3179,3271,3016
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Female_EQI_Water+SM+PA+OB","0.00","0.47(-0.18,1.13)","1.42(0.73,2.13)","1.45(0.76,2.15)","2.04(1.32,2.77)","0.1589","0.0002","0.0002","0.0002","1.0025","1.0035","1.0029","1.0013",2443,2316,2277,2526,3405,3325,3486,3757
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Female_EQI_Land+SM+PA+OB","0.00","0.10(-0.44,0.64)","-0.22(-0.78,0.36)","-0.35(-0.97,0.27)","-0.53(-1.19,0.14)","0.7001","0.4476","0.2739","0.1164","1.0003","1.0009","1.0016","1.0008",3744,2905,2474,2657,3972,3579,3396,3423
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Female_EQI_Built+SM+PA+OB","0.00","0.10(-0.39,0.62)","0.16(-0.37,0.70)","0.66(0.12,1.21)","0.76(0.19,1.35)","0.7117","0.5380","0.0156","0.0094","1.0019","1.0021","1.0020","1.0027",3190,2872,2460,2443,3502,3667,3408,3681
"X60_X84_Y87.0","2000_2005","2011_2015",10,"Female_EQI_Social+SM+PA+OB","0.00","0.01(-0.54,0.57)","-0.01(-0.61,0.60)","-0.08(-0.78,0.60)","0.10(-0.72,0.93)","0.9933","0.9846","0.8246","0.8088","1.0001","1.0007","1.0012","1.0014",3689,2750,2526,2345,3648,3225,2875,2848
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Female_EQI+SM+PA+OB","0.00","1.84(1.29,2.40)","2.93(2.35,3.52)","3.44(2.79,4.08)","3.29(2.55,4.04)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0021","1.0011","1.0014",3561,2973,2585,2601,3617,3435,3565,3278
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Female_EQI_Air+SM+PA+OB","0.00","2.55(1.94,3.17)","3.19(2.52,3.86)","2.34(1.63,3.04)","1.17(0.40,1.93)","0.0002","0.0002","0.0002","0.0027","1.0017","1.0024","1.0023","1.0029",2808,2185,2071,1862,3252,3024,2894,3082
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Female_EQI_Water+SM+PA+OB","0.00","0.85(0.11,1.61)","1.60(0.81,2.41)","2.02(1.23,2.80)","1.66(0.79,2.50)","0.0235","0.0002","0.0002","0.0006","1.0030","1.0025","1.0030","1.0019",1612,1653,1570,1621,3008,2760,2698,2743
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Female_EQI_Land+SM+PA+OB","0.00","-0.48(-1.06,0.09)","-0.04(-0.66,0.59)","-0.54(-1.23,0.15)","-0.79(-1.53,-0.04)","0.1119","0.9042","0.1198","0.0406","1.0004","1.0014","1.0026","1.0041",2743,2156,1771,1583,3564,2989,2103,2595
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Female_EQI_Built+SM+PA+OB","0.00","0.88(0.36,1.43)","1.77(1.17,2.34)","2.04(1.45,2.64)","2.01(1.37,2.66)","0.0019","0.0002","0.0002","0.0002","0.9999","1.0006","1.0011","1.0022",3283,2784,2494,2403,3460,3130,3334,3209
"X60_X84_Y87.0","2000_2005","2016_2020",15,"Female_EQI_Social+SM+PA+OB","0.00","0.23(-0.37,0.82)","0.61(-0.06,1.28)","0.65(-0.11,1.40)","0.93(0.04,1.82)","0.4618","0.0727","0.0848","0.0410","1.0007","1.0012","1.0013","1.0019",2337,1934,1809,1776,3288,2771,2630,2466
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Female_EQI+SM+PA+OB","0.00","1.91(1.30,2.53)","3.92(3.25,4.61)","4.16(3.44,4.91)","3.93(3.12,4.76)","0.0002","0.0002","0.0002","0.0002","1.0010","1.0011","1.0010","1.0014",3802,3243,2671,2535,3870,3692,3212,2829
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Female_EQI_Air+SM+PA+OB","0.00","3.00(2.29,3.68)","4.09(3.37,4.82)","3.16(2.39,3.93)","1.84(1.02,2.67)","0.0002","0.0002","0.0002","0.0002","1.0017","1.0013","1.0016","1.0018",3181,2681,2338,2156,3879,3708,3418,3167
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Female_EQI_Water+SM+PA+OB","0.00","0.51(-0.31,1.34)","1.10(0.23,1.99)","1.21(0.32,2.13)","1.40(0.47,2.33)","0.2239","0.0102","0.0060","0.0031","1.0022","1.0030","1.0036","1.0037",2099,2008,2042,1836,2984,3010,3242,2523
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Female_EQI_Land+SM+PA+OB","0.00","-0.41(-1.09,0.25)","-0.41(-1.11,0.28)","-0.95(-1.73,-0.16)","-0.80(-1.65,0.03)","0.2285","0.2406","0.0169","0.0598","1.0005","1.0007","1.0002","1.0011",3486,3062,2669,2589,3213,3984,3589,3422
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Female_EQI_Built+SM+PA+OB","0.00","1.35(0.75,1.94)","2.06(1.41,2.68)","2.15(1.47,2.80)","2.25(1.55,2.95)","0.0002","0.0002","0.0002","0.0002","1.0000","1.0006","1.0010","1.0010",3972,3031,3045,2990,4010,3752,3533,3890
"X60_X84_Y87.0","2000_2005","2021_2024",20,"Female_EQI_Social+SM+PA+OB","0.00","-0.23(-0.91,0.45)","-0.69(-1.45,0.08)","-0.09(-0.93,0.78)","-0.48(-1.49,0.54)","0.5301","0.0810","0.8409","0.3597","1.0020","1.0019","1.0038","1.0053",2749,2304,2193,1921,3667,3042,2685,2806
"X60_X84_Y87.0","2000_2005","2006_2010",5,"Male_EQI+SM+PA+OB","0.00","4.98(4.01,5.91)","8.77(7.77,9.81)","10.45(9.35,11.56)","11.49(10.26,12.75)","0.0002","0.0002","0.0002","0.0002","1.0013","1.0019","1.0016","1.0015",2489,1903,1749,1635,3313,3048,2661,2553
