ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"-0.73(-5.68,4.39)","-2.32(-6.71,2.58)","-0.08(-4.33,4.71)","0.05(-4.22,4.87)",0.7621,0.3292,0.9460,0.9770,1.0017,1.0012,1.0022,1.0016,1588,1341,1304,1296,2565,1700,1720,1812
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-1.61(-6.27,3.49)","-1.40(-5.98,3.54)","-0.78(-5.34,4.03)","0.01(-4.58,4.77)","0.5191","0.5336","0.7176","0.9955","1.0018","1.0012","1.0021","1.0019",2295,2059,1884,1954,2877,2501,2370,2501
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.70(-1.42,2.84)","1.55(-0.75,3.70)","1.26(-0.70,3.13)","1.16(-0.95,3.26)","0.5301","0.1852","0.1927","0.2712","1.0007","1.0015","1.0007","1.0006",3766,3611,3170,3186,3273,3233,3191,3218
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-1.83(-5.33,1.71)","-0.80(-4.21,2.47)","-1.06(-4.31,2.22)","-1.98(-5.44,1.24)","0.3042","0.6421","0.5321","0.2367","1.0027","1.0026","1.0023","1.0024",2200,2110,2118,2119,2469,2447,2411,2412
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","-3.03(-6.82,0.67)","-3.74(-7.08,-0.39)","-2.16(-5.41,1.20)","-0.69(-3.93,2.62)","0.1082","0.0317","0.2147","0.7046","1.0005","1.0008","1.0005","1.0007",2935,2700,2654,2679,3486,2934,2827,2852
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","3.04(0.03,6.03)","1.84(-0.91,4.51)","1.71(-1.01,4.44)","2.66(-0.14,5.45)","0.0472","0.1827","0.2287","0.0667","1.0002","1.0001","1.0005","1.0002",3002,2742,2677,2555,3209,2799,2765,2900
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-1.60(-5.96,2.70)","-0.41(-4.39,3.51)","0.33(-3.68,4.30)","1.22(-2.68,5.28)","0.4546","0.8340","0.8650","0.5296","1.0013","1.0021","1.0029","1.0028",1488,1356,1317,1264,1949,1828,1844,1781
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-0.97(-4.93,3.36)","-1.08(-5.14,3.15)","-0.41(-4.49,3.79)","0.28(-3.74,4.59)","0.6471","0.5891","0.8450","0.8900","1.0009","1.0015","1.0017","1.0016",2403,2322,2263,2217,2442,2578,2545,2408
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","-0.44(-2.30,1.47)","0.81(-1.13,2.72)","0.67(-1.16,2.46)","1.68(-0.24,3.61)","0.6436","0.4271","0.4636","0.0887","1.0002","1.0002","1.0025","1.0030",3888,3928,3135,3460,3166,3411,3138,2966
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-1.77(-4.60,1.17)","-0.97(-3.75,1.81)","-0.90(-3.71,1.87)","-2.09(-4.89,0.80)","0.2322","0.4841","0.5181","0.1487","1.0003","1.0007","1.0012","1.0010",2333,2254,2251,2282,2843,2577,2570,2549
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","0.95(-2.39,4.23)","0.87(-1.93,3.45)","1.73(-1.07,4.36)","2.41(-0.45,5.09)","0.5656","0.5046","0.2152","0.0912","1.0012","1.0009","1.0014","1.0014",2658,2400,2302,2330,3009,2294,2363,2640
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","1.80(-0.75,4.39)","2.02(-0.28,4.39)","1.30(-1.13,3.62)","2.02(-0.52,4.48)","0.1627","0.0862","0.2787","0.1087","1.0012","1.0027","1.0015","1.0023",3027,2666,2550,2513,3072,3133,2661,2689
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","0.00","-1.52(-5.56,2.81)","-0.40(-4.02,3.56)","0.41(-3.20,4.28)","0.79(-2.89,4.65)","0.4751","0.8085","0.8520","0.7086","1.0003","1.0006","1.0004","1.0007",1614,1442,1419,1413,2552,2278,2160,2089
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-1.69(-6.31,2.91)","-1.99(-6.50,2.51)","-1.60(-6.18,2.84)","-1.53(-6.05,2.83)","0.4726","0.3852","0.4886","0.5161","1.0020","1.0020","1.0032","1.0028",2722,2408,2386,2470,2693,2241,2312,2242
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","-0.29(-2.18,1.65)","1.84(-0.30,3.89)","0.86(-0.84,2.61)","1.09(-0.74,2.90)","0.7501","0.0947","0.3317","0.2417","1.0007","1.0000","0.9998","1.0004",3724,3736,3488,3440,3104,3082,3189,2892
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","0.37(-2.80,3.45)","0.78(-2.11,3.65)","0.17(-2.73,3.04)","-0.38(-3.33,2.54)","0.8225","0.6101","0.9165","0.7971","1.0020","1.0016","1.0024","1.0013",2609,2402,2501,2510,2616,2606,2732,2834
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","-1.55(-4.77,1.63)","-0.97(-3.91,1.92)","0.62(-2.30,3.49)","1.61(-1.41,4.49)","0.3472","0.4946","0.6801","0.2712","1.0009","1.0018","1.0015","1.0015",2352,2159,1948,1919,2809,2375,2381,2286
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","2.26(-0.25,4.78)","1.50(-0.89,3.86)","1.79(-0.59,4.15)","2.46(0.01,4.89)","0.0767","0.2152","0.1517","0.0502","1.0018","1.0012","1.0013","1.0009",2827,2554,2410,2458,2984,2861,2624,2714
"N00_N29_C64_C65","2000_2005","2021_2024",20,"Census_Region_1_EQI+SM+PA+OB","0.00","-3.24(-8.65,2.23)","-1.81(-6.54,3.15)","-0.26(-4.85,4.52)","-1.18(-5.84,3.72)","0.2552","0.4691","0.9150","0.6171","1.0014","1.0014","1.0004","1.0003",1783,1534,1509,1504,2374,1629,1720,1644
"N00_N29_C64_C65","2000_2005","2021_2024",20,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-1.13(-6.21,4.03)","-1.18(-5.68,3.64)","-1.35(-5.90,3.49)","-1.20(-5.75,3.48)","0.6596","0.6241","0.5776","0.6111","1.0011","1.0011","1.0013","1.0015",2813,2469,2513,2467,3028,2379,2331,2339
