ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
N00_N29_C64_C65,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,"1.00(1.00,1.00)","0.97(0.74,1.26)","0.90(0.72,1.15)","1.01(0.82,1.29)","1.01(0.82,1.29)",0.7625,0.3206,0.9554,0.9888,1.0003,1.0013,1.0021,1.0020,1917,1751,1630,1633,2822,2635,2411,2389
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.94(0.72,1.23)","0.95(0.74,1.23)","0.98(0.77,1.26)","1.02(0.81,1.32)","0.5297","0.5609","0.7605","0.9842","1.0000","1.0008","1.0008","1.0010",3095,2892,2828,2843,3329,3263,3191,3219
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.04(0.93,1.16)","1.08(0.96,1.22)","1.07(0.97,1.20)","1.06(0.95,1.19)","0.5288","0.1918","0.1943","0.2635","1.0007","1.0001","1.0008","1.0008",4929,4271,3892,3910,3994,4029,3947,3675
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.91(0.75,1.10)","0.97(0.81,1.16)","0.95(0.80,1.14)","0.91(0.75,1.09)","0.2935","0.6113","0.5255","0.2506","1.0006","1.0019","1.0016","1.0011",2720,2658,2561,2641,3111,2963,2774,2771
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","0.85(0.66,1.04)","0.81(0.64,0.97)","0.90(0.73,1.07)","0.97(0.80,1.16)","0.1148","0.0244","0.2139","0.7171","1.0006","1.0010","1.0015","1.0017",3136,2935,2830,2873,3685,3200,3498,3727
"N00_N29_C64_C65","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.16(1.00,1.39)","1.10(0.96,1.29)","1.09(0.96,1.28)","1.14(0.99,1.35)","0.0456","0.1935","0.2256","0.0648","0.9997","1.0001","1.0011","1.0009",3230,2805,2677,2675,3658,3247,3357,3113
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.92(0.70,1.20)","0.99(0.79,1.28)","1.04(0.83,1.34)","1.10(0.87,1.41)","0.4780","0.8634","0.8475","0.5213","1.0062","1.0064","1.0070","1.0069",1788,1677,1613,1608,2709,2114,2084,1940
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.96(0.69,1.38)","0.95(0.69,1.35)","1.00(0.72,1.41)","1.05(0.77,1.51)","0.6592","0.6159","0.8679","0.8696","1.0018","1.0013","1.0017","1.0016",2714,2559,2501,2546,3021,2691,2838,2944
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.97(0.82,1.12)","1.06(0.92,1.25)","1.06(0.93,1.22)","1.13(0.99,1.35)","0.6630","0.4268","0.4322","0.0698","1.0009","1.0004","1.0005","1.0009",4857,4470,3922,3980,3798,3586,3565,3345
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.88(0.68,1.12)","0.94(0.75,1.19)","0.94(0.75,1.19)","0.85(0.65,1.07)","0.2539","0.4964","0.5388","0.1589","1.0009","1.0013","1.0012","1.0009",2912,2715,2763,2794,3178,3115,3025,3059
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.08(0.84,1.38)","1.08(0.87,1.35)","1.15(0.94,1.46)","1.20(0.98,1.54)","0.5597","0.4984","0.1943","0.0781","1.0018","1.0019","1.0015","1.0023",3565,2775,2745,2768,3648,3056,3190,3245
"N00_N29_C64_C65","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.14(0.95,1.43)","1.16(0.97,1.45)","1.10(0.93,1.37)","1.16(0.96,1.47)","0.1760","0.1019","0.3110","0.1327","1.0009","1.0014","1.0010","1.0015",3260,3258,2960,2969,3410,3227,2973,2853
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.93(0.71,1.21)","0.99(0.80,1.27)","1.04(0.84,1.34)","1.06(0.86,1.38)","0.5093","0.8650","0.8230","0.6780","1.0011","1.0030","1.0023","1.0032",2148,1915,1875,1842,2935,2786,2640,2514
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.91(0.66,1.25)","0.89(0.65,1.20)","0.91(0.67,1.25)","0.92(0.67,1.25)","0.4722","0.3780","0.4959","0.5126","1.0008","1.0016","1.0014","1.0016",2841,2815,2797,2789,3101,3050,3037,2919
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.98(0.86,1.11)","1.12(0.98,1.30)","1.06(0.95,1.20)","1.07(0.96,1.23)","0.7363","0.0852","0.3439","0.2502","1.0004","1.0007","1.0001","1.0000",4867,4505,4035,3563,3691,3572,3773,3365
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.03(0.84,1.28)","1.05(0.87,1.30)","1.01(0.83,1.25)","0.98(0.79,1.21)","0.8763","0.6634","0.9571","0.7630","1.0009","1.0017","1.0021","1.0019",3085,2807,2829,2822,3587,3407,3425,3189
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","0.90(0.69,1.13)","0.94(0.75,1.15)","1.05(0.86,1.28)","1.11(0.92,1.37)","0.3151","0.4830","0.6863","0.2939","1.0001","1.0019","1.0024","1.0026",3055,2464,2605,2558,3660,2875,2672,2874
"N00_N29_C64_C65","2000_2005","2016_2020",15,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.15(0.97,1.38)","1.10(0.95,1.30)","1.12(0.96,1.33)","1.17(1.00,1.39)","0.0927","0.2268","0.1456","0.0514","1.0002","0.9997","1.0003","1.0003",3419,3167,3207,3118,3475,3410,3435,3192
"N00_N29_C64_C65","2000_2005","2021_2024",20,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.84(0.62,1.13)","0.92(0.72,1.20)","1.00(0.79,1.30)","0.95(0.76,1.24)","0.2139","0.4330","0.8567","0.5818","1.0028","1.0034","1.0038","1.0034",2569,2053,2059,1981,3100,2526,2323,2277
"N00_N29_C64_C65","2000_2005","2021_2024",20,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.95(0.70,1.31)","0.95(0.72,1.30)","0.94(0.71,1.29)","0.95(0.72,1.29)","0.6380","0.5976","0.5543","0.5972","1.0014","1.0008","1.0023","1.0017",3307,2931,2916,2976,3542,3064,2875,2954
"N00_N29_C64_C65","2000_2005","2021_2024",20,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.98(0.85,1.12)","1.01(0.87,1.17)","1.10(0.98,1.28)","1.11(0.97,1.30)","0.8088","0.8759","0.1152","0.1260","1.0005","1.0007","1.0001","1.0012",4686,4304,4240,4214,3612,3990,3766,3861
"N00_N29_C64_C65","2000_2005","2021_2024",20,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.95(0.76,1.18)","1.06(0.88,1.32)","1.07(0.89,1.34)","0.98(0.79,1.21)","0.5584","0.6122","0.5326","0.7605","1.0012","1.0018","1.0029","1.0012",3231,3031,3157,3125,3261,3226,3306,3169
