ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"0.50(-3.97,4.62)","0.94(-3.38,4.84)","1.31(-2.89,5.19)","2.07(-2.26,5.96)",0.8060,0.6451,0.5221,0.3272,1.0006,1.0008,1.0013,1.0009,1756,1707,1668,1667,2327,2219,2038,2173
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-1.51(-6.06,2.59)","0.14(-3.98,4.17)","-0.17(-4.38,3.71)","0.96(-3.13,4.72)","0.5021","0.9135","0.9620","0.6171","1.0004","1.0003","1.0013","1.0006",2038,1885,1910,1988,2724,2442,2290,2209
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","1.03(-0.44,2.55)","1.36(-0.23,2.90)","1.06(-0.31,2.40)","1.38(-0.00,2.79)","0.1712","0.0857","0.1232","0.0507","0.9999","0.9997","1.0001","1.0010",3781,3371,2988,2797,3178,2793,3158,3137
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-0.20(-2.89,2.55)","-0.47(-2.99,2.12)","-0.80(-3.30,1.82)","-0.66(-3.18,1.92)","0.8695","0.6951","0.5061","0.5826","1.0009","1.0010","1.0008","1.0014",2027,1930,1952,2062,2434,2416,2387,2596
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","3.03(-0.16,6.18)","1.38(-1.54,4.24)","2.77(-0.08,5.77)","3.41(0.56,6.36)","0.0627","0.3482","0.0572","0.0187","1.0012","0.9999","1.0006","1.0009",2450,2234,2201,2205,2797,2500,2833,2847
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-1.41(-3.66,0.94)","-3.10(-5.11,-1.05)","-3.26(-5.30,-1.23)","-3.22(-5.34,-1.07)","0.2387","0.0027","0.0027","0.0037","1.0017","1.0020","1.0035","1.0022",2965,2594,2508,2466,3274,3158,2548,2784
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-3.06(-7.65,1.26)","-0.37(-4.56,3.49)","-0.14(-4.40,3.70)","0.81(-3.33,4.79)","0.1667","0.8875","0.9690","0.6711","1.0029","1.0022","1.0017","1.0020",1649,1486,1462,1451,2376,2043,1993,2213
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-3.21(-8.08,1.39)","-1.45(-6.07,2.97)","-1.19(-5.82,3.29)","0.55(-3.99,4.89)","0.1992","0.5766","0.6411","0.8240","1.0022","1.0013","1.0007","1.0007",1708,1638,1662,1666,2300,2153,2339,2286
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.40(-1.07,1.87)","2.36(1.09,3.67)","1.22(0.06,2.34)","1.95(0.75,3.17)","0.5941","0.0007","0.0407","0.0032","1.0001","1.0000","1.0006","1.0002",3723,3475,2939,3001,3393,3159,3060,2881
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","1.94(-0.69,4.53)","0.84(-1.61,3.31)","0.97(-1.48,3.41)","0.67(-1.86,3.17)","0.1447","0.5131","0.4376","0.6041","1.0012","1.0011","1.0011","1.0012",1746,1658,1600,1645,2381,2186,2091,2240
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","2.94(0.13,5.62)","-0.33(-2.83,2.01)","1.49(-1.02,3.90)","1.68(-0.88,4.04)","0.0412","0.8080","0.2417","0.1932","1.0004","0.9999","0.9998","1.0004",1926,1759,1910,1847,2556,2465,2322,2415
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-0.25(-2.53,2.02)","-2.79(-4.86,-0.77)","-2.91(-5.00,-0.85)","-3.61(-5.68,-1.53)","0.8325","0.0067","0.0042","0.0007","1.0015","1.0009","1.0005","1.0000",2687,2468,2328,2329,3037,2838,2626,2804
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","0.00","-2.43(-6.12,1.80)","0.72(-2.54,4.64)","0.81(-2.46,4.70)","1.92(-1.35,5.80)","0.2287","0.7431","0.6881","0.2672","1.0023","1.0022","1.0024","1.0014",1538,1361,1349,1343,1836,1756,1489,1535
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-1.04(-4.81,3.06)","-1.14(-4.88,2.77)","0.69(-3.22,4.66)","0.75(-3.14,4.69)","0.5826","0.5556","0.7491","0.7121","1.0012","1.0025","1.0021","1.0022",1972,1807,1825,1799,2605,2273,2024,2112
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.27(-1.11,1.71)","1.77(0.27,3.32)","1.97(0.61,3.31)","2.30(0.81,3.76)","0.7226","0.0207","0.0042","0.0022","1.0011","1.0002","1.0024","1.0002",3534,3454,2575,2643,2773,3286,2765,2812
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","0.27(-2.39,2.88)","0.21(-2.31,2.69)","0.01(-2.50,2.49)","-0.12(-2.67,2.39)","0.8320","0.8700","0.9780","0.9420","1.0027","1.0014","1.0011","1.0009",1682,1506,1528,1671,2146,2194,2232,2088
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","3.89(1.01,6.70)","1.74(-0.75,4.04)","3.79(1.28,6.11)","3.90(1.35,6.30)","0.0097","0.1702","0.0042","0.0027","1.0019","1.0015","1.0016","1.0013",2250,1945,1838,1911,3179,2868,2549,2549
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","1.10(-1.17,3.31)","-0.70(-2.69,1.22)","-0.50(-2.50,1.42)","-1.10(-3.20,0.96)","0.3177","0.4921","0.6266","0.3027","1.0007","1.0011","1.0017","1.0016",2642,2460,2448,2359,2552,2856,2374,2648
"K70_K76_C22","2000_2005","2021_2024",20,"Census_Region_1_EQI+SM+PA+OB","0.00","-1.72(-7.06,3.66)","-2.71(-7.67,2.11)","-1.88(-6.69,3.09)","-2.96(-7.89,2.06)","0.5381","0.2827","0.4501","0.2352","1.0021","1.0009","1.0009","1.0011",2108,1825,1799,1811,2541,2390,2272,2275
