ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"0.57(-4.04,4.88)","0.96(-3.49,5.01)","1.36(-3.00,5.45)","2.12(-2.23,6.23)",0.7842,0.6438,0.5109,0.3143,1.0019,1.0023,1.0027,1.0029,1695,1646,1620,1574,2220,2392,2227,2108
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-1.52(-5.96,2.73)","0.14(-4.08,4.08)","-0.19(-4.41,3.67)","0.95(-3.27,4.71)","0.4930","0.9375","0.9392","0.6188","1.0015","1.0004","1.0011","1.0012",2618,2492,2438,2482,3411,2809,2682,2808
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","1.04(-0.50,2.54)","1.35(-0.16,2.87)","1.06(-0.29,2.44)","1.38(-0.06,2.79)","0.1702","0.0902","0.1173","0.0564","0.9999","1.0005","1.0004","1.0004",4929,3850,3819,3713,3657,3755,3763,3640
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-0.24(-2.89,2.50)","-0.52(-3.03,2.12)","-0.85(-3.35,1.74)","-0.72(-3.24,1.87)","0.8525","0.6926","0.5039","0.5909","1.0016","1.0019","1.0021","1.0019",2551,2534,2498,2493,3211,2721,2885,2932
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","3.10(-0.01,6.40)","1.44(-1.38,4.47)","2.83(-0.08,5.91)","3.48(0.60,6.54)","0.0514","0.3356","0.0581","0.0173","1.0005","1.0023","1.0019","1.0021",2644,2432,2373,2350,3089,2567,2626,2846
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-1.42(-3.79,0.93)","-3.10(-5.22,-0.98)","-3.26(-5.36,-1.16)","-3.22(-5.37,-1.03)","0.2281","0.0048","0.0023","0.0044","1.0011","1.0009","1.0005","1.0011",2806,2678,2754,2807,3564,3465,3244,3216
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-3.13(-7.81,1.16)","-0.43(-4.67,3.52)","-0.20(-4.34,3.67)","0.75(-3.42,4.68)","0.1664","0.8625","0.9388","0.6859","1.0010","1.0011","1.0012","1.0011",2109,1730,1715,1741,2596,1972,2161,2123
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-3.21(-8.02,1.48)","-1.44(-6.09,2.94)","-1.16(-5.79,3.24)","0.56(-3.99,4.84)","0.1823","0.5413","0.6172","0.7955","1.0003","1.0009","1.0007","1.0008",2286,2114,2123,2118,2586,2577,2632,2917
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.39(-1.08,1.86)","2.34(1.06,3.62)","1.23(0.02,2.39)","1.95(0.71,3.15)","0.6051","0.0019","0.0469","0.0035","1.0008","1.0010","0.9999","1.0007",4872,3754,3717,3698,3766,3482,3867,3250
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","1.98(-0.71,4.63)","0.89(-1.62,3.37)","1.01(-1.53,3.50)","0.72(-1.83,3.22)","0.1552","0.4934","0.4251","0.5863","1.0018","1.0034","1.0028","1.0033",2309,2201,2176,2290,3279,2959,3042,3006
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","2.96(0.06,5.61)","-0.28(-2.88,1.98)","1.53(-1.18,3.88)","1.73(-0.88,4.07)","0.0464","0.8588","0.2231","0.1727","1.0027","1.0026","1.0033","1.0028",2487,2466,2465,2427,2896,2766,2841,2840
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-0.26(-2.50,1.98)","-2.82(-4.92,-0.82)","-2.92(-4.98,-0.91)","-3.62(-5.74,-1.53)","0.8117","0.0065","0.0056","0.0006","1.0018","1.0005","1.0008","1.0011",2866,2562,2504,2469,3499,2746,3194,3054
