ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
K70_K76_C22,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,"1.00(1.00,1.00)","1.06(0.78,1.47)","1.09(0.81,1.48)","1.12(0.84,1.52)","1.17(0.88,1.59)",0.7842,0.6438,0.5109,0.3143,1.0019,1.0023,1.0027,1.0029,1695,1646,1620,1574,2220,2392,2227,2108
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.92(0.68,1.24)","1.03(0.78,1.36)","1.00(0.76,1.32)","1.08(0.83,1.41)","0.4930","0.9375","0.9392","0.6188","1.0015","1.0004","1.0011","1.0012",2618,2492,2438,2482,3411,2809,2682,2808
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.07(0.97,1.19)","1.09(0.99,1.22)","1.07(0.98,1.20)","1.09(1.00,1.22)","0.1702","0.0902","0.1173","0.0564","0.9999","1.0005","1.0004","1.0004",4929,3850,3819,3713,3657,3755,3763,3640
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.99(0.83,1.21)","0.97(0.82,1.17)","0.95(0.80,1.14)","0.96(0.80,1.16)","0.8525","0.6926","0.5039","0.5909","1.0016","1.0019","1.0021","1.0019",2551,2534,2498,2493,3211,2721,2885,2932
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.22(1.00,1.56)","1.11(0.92,1.38)","1.20(1.00,1.53)","1.24(1.03,1.58)","0.0514","0.3356","0.0581","0.0173","1.0005","1.0023","1.0019","1.0021",2644,2432,2373,2350,3089,2567,2626,2846
"K70_K76_C22","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","0.91(0.75,1.07)","0.79(0.63,0.93)","0.78(0.63,0.92)","0.79(0.63,0.93)","0.2281","0.0048","0.0023","0.0044","1.0011","1.0009","1.0005","1.0011",2806,2678,2754,2807,3564,3465,3244,3216
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.83(0.63,1.08)","0.99(0.78,1.25)","1.00(0.80,1.26)","1.06(0.84,1.34)","0.1664","0.8625","0.9388","0.6859","1.0010","1.0011","1.0012","1.0011",2109,1730,1715,1741,2596,1972,2161,2123
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.83(0.61,1.11)","0.93(0.71,1.22)","0.95(0.73,1.25)","1.05(0.81,1.38)","0.1823","0.5413","0.6172","0.7955","1.0003","1.0009","1.0007","1.0008",2286,2114,2123,2118,2586,2577,2632,2917
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.02(0.94,1.12)","1.14(1.06,1.25)","1.07(1.00,1.16)","1.12(1.04,1.22)","0.6051","0.0019","0.0469","0.0035","1.0008","1.0010","0.9999","1.0007",4872,3754,3717,3698,3766,3482,3867,3250
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.12(0.96,1.34)","1.06(0.92,1.24)","1.07(0.92,1.25)","1.05(0.90,1.23)","0.1552","0.4934","0.4251","0.5863","1.0018","1.0034","1.0028","1.0033",2309,2201,2176,2290,3279,2959,3042,3006
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.18(1.00,1.39)","0.99(0.84,1.13)","1.10(0.94,1.27)","1.11(0.95,1.28)","0.0464","0.8588","0.2231","0.1727","1.0027","1.0026","1.0033","1.0028",2487,2466,2465,2427,2896,2766,2841,2840
"K70_K76_C22","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","0.99(0.87,1.13)","0.84(0.71,0.95)","0.83(0.71,0.94)","0.79(0.66,0.90)","0.8117","0.0065","0.0056","0.0006","1.0018","1.0005","1.0008","1.0011",2866,2562,2504,2469,3499,2746,3194,3054
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.88(0.71,1.10)","1.05(0.89,1.28)","1.05(0.89,1.28)","1.11(0.94,1.36)","0.2339","0.7209","0.6930","0.2872","1.0002","1.0009","1.0012","1.0016",2130,1796,1770,1784,2539,2059,2131,1902
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","0.94(0.72,1.25)","0.93(0.72,1.23)","1.06(0.82,1.42)","1.06(0.82,1.41)","0.5668","0.5143","0.7488","0.7355","1.0000","1.0004","1.0008","1.0009",2065,2058,1882,1846,2960,2976,2759,2683
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","1.02(0.92,1.13)","1.12(1.01,1.26)","1.14(1.03,1.27)","1.16(1.05,1.31)","0.6605","0.0269","0.0065","0.0052","1.0003","1.0006","1.0014","1.0011",4229,3835,2570,2863,3974,3498,3558,3469
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","1.03(0.86,1.25)","1.03(0.86,1.24)","1.01(0.85,1.22)","1.01(0.84,1.21)","0.8063","0.8259","0.9438","0.9846","1.0013","1.0013","1.0013","1.0012",2288,2221,2005,2136,3260,3045,3143,3294
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.27(1.06,1.54)","1.12(0.96,1.31)","1.26(1.08,1.49)","1.27(1.08,1.50)","0.0098","0.1589","0.0023","0.0035","1.0004","1.0016","1.0012","1.0008",2693,2180,2240,2186,3008,2739,2789,2820
"K70_K76_C22","2000_2005","2016_2020",15,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.08(0.93,1.28)","0.96(0.83,1.10)","0.97(0.85,1.13)","0.93(0.80,1.09)","0.3285","0.5130","0.6688","0.3276","1.0023","1.0008","1.0023","1.0013",2822,2721,2450,2499,3440,3414,2965,3152
