ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I00_I99,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"-2.02(-9.56,5.72)","6.07(-0.57,12.85)","0.89(-5.03,6.82)","0.41(-5.70,6.49)",0.5976,0.0737,0.7801,0.9015,1.0012,1.0009,1.0024,1.0004,3783,3026,2787,2532,3013,3165,2879,2946
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-2.97(-10.36,4.56)","-2.97(-9.25,3.57)","0.32(-5.86,6.54)","9.10(3.12,15.29)","0.4371","0.3762","0.9395","0.0022","1.0003","1.0027","0.9999","1.0005",3569,3022,2827,2307,2850,3065,3135,2633
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","4.83(-1.78,11.45)","-8.64(-15.84,-1.24)","-8.01(-13.83,-2.04)","-7.61(-13.95,-1.02)","0.1502","0.0237","0.0092","0.0227","1.0024","1.0004","1.0016","1.0020",4701,3494,3215,3021,3138,3092,3229,3002
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","2.53(-4.29,9.36)","2.39(-3.79,8.16)","-1.59(-7.78,4.29)","-3.26(-9.64,3.09)","0.4736","0.4131","0.5866","0.3237","1.0007","1.0015","1.0023","1.0012",3117,2301,1986,2392,3111,2647,3011,2609
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","1.78(-5.82,9.44)","-0.61(-6.82,5.61)","1.72(-4.19,7.75)","0.60(-5.53,6.55)","0.6501","0.8395","0.5701","0.8365","1.0012","1.0011","1.0000","1.0025",4813,3370,3207,2764,3228,3241,2985,2939
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-2.35(-9.42,4.42)","4.62(-1.55,10.62)","-6.78(-12.82,-0.69)","-6.93(-13.29,-0.61)","0.5146","0.1342","0.0257","0.0342","1.0005","1.0011","1.0000","1.0002",4185,2861,2700,2459,2853,3424,3017,2669
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-6.61(-14.34,1.04)","8.46(2.38,14.63)","3.91(-1.77,9.79)","6.12(0.18,12.10)","0.0837","0.0052","0.1947","0.0442","0.9999","1.0003","1.0013","1.0015",4059,2542,2310,2154,3166,3335,2986,3004
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-0.66(-7.81,6.60)","1.35(-4.83,7.60)","2.09(-4.17,8.28)","7.62(1.42,13.77)","0.8350","0.6716","0.4941","0.0157","1.0015","1.0013","1.0011","1.0012",3685,3135,2772,2660,2979,2872,2919,2854
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.75(-5.34,6.99)","-8.00(-14.64,-1.22)","-4.52(-10.26,1.24)","-3.58(-9.69,2.37)","0.8410","0.0207","0.1192","0.2472","1.0006","1.0002","1.0002","1.0003",4265,3522,3056,3072,3353,3391,3238,3192
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-0.04(-6.53,6.39)","1.62(-3.79,7.40)","1.08(-4.72,6.61)","0.20(-5.39,6.10)","0.9980","0.5596","0.7086","0.9515","1.0006","1.0013","1.0015","1.0011",2755,2198,2365,2409,2908,2628,3006,2930
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","2.95(-4.20,10.09)","-1.09(-7.00,4.69)","5.11(-0.34,10.94)","5.24(-0.43,10.99)","0.4211","0.7241","0.0712","0.0707","1.0017","1.0003","1.0004","1.0007",3307,2627,2370,2439,3332,2902,2517,2751
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-2.67(-9.25,3.90)","3.26(-2.53,9.00)","-4.55(-9.69,0.99)","-4.91(-10.79,1.09)","0.4181","0.2642","0.1092","0.1027","1.0003","1.0016","1.0015","1.0003",3667,2965,2537,2292,3216,2694,2946,2835
"I00_I99","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","0.00","-4.75(-12.51,2.89)","5.36(-0.67,11.50)","0.94(-4.66,6.63)","5.61(-0.10,11.55)","0.2117","0.0747","0.7606","0.0547","1.0020","1.0024","1.0017","1.0023",3859,2971,2249,2035,2591,3042,2809,2745
"I00_I99","2000_2005","2016_2020",15,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-4.75(-11.88,2.31)","-0.05(-6.07,5.88)","0.27(-5.70,6.21)","9.37(3.53,15.18)","0.1902","0.9765","0.9155","0.0022","1.0025","1.0002","1.0008","0.9999",3561,2517,2415,2443,2985,2584,2860,2549
"I00_I99","2000_2005","2016_2020",15,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","4.41(-1.69,10.44)","-3.50(-9.91,2.89)","-4.51(-9.91,0.87)","-3.63(-9.39,2.12)","0.1562","0.2812","0.1002","0.2027","1.0002","1.0017","1.0019","0.9999",3971,3568,2872,3051,2735,3001,3182,3021
"I00_I99","2000_2005","2016_2020",15,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-1.55(-7.87,4.49)","0.96(-4.44,6.32)","3.02(-2.43,8.56)","2.44(-3.21,8.16)","0.6506","0.7276","0.2602","0.3982","0.9999","1.0003","0.9998","1.0001",3580,2569,2550,2618,3591,3015,3327,3164
"I00_I99","2000_2005","2016_2020",15,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","4.22(-2.90,11.16)","-0.83(-6.19,4.75)","2.34(-2.92,7.69)","0.10(-5.20,5.49)","0.2242","0.7786","0.3862","0.9550","1.0014","1.0013","1.0012","1.0021",3274,2876,2694,2456,3192,3110,2998,3116
"I00_I99","2000_2005","2016_2020",15,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-2.25(-8.56,3.99)","1.84(-3.81,7.46)","-6.57(-11.94,-1.12)","-6.48(-12.15,-0.68)","0.4861","0.5266","0.0187","0.0307","1.0001","1.0007","1.0006","1.0007",3906,3033,2612,2596,3233,2952,2730,3077
"I00_I99","2000_2005","2021_2024",20,"Census_Region_1_EQI+SM+PA+OB","0.00","-3.87(-12.38,4.33)","2.25(-5.09,9.54)","-0.35(-7.00,6.46)","2.83(-4.38,9.78)","0.3842","0.5591","0.9165","0.4161","1.0015","1.0003","1.0006","1.0003",4728,3751,2936,2742,2613,3014,2834,2678
"I00_I99","2000_2005","2021_2024",20,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-0.76(-8.85,7.14)","-2.61(-9.79,4.85)","1.61(-5.41,8.75)","2.91(-4.00,9.93)","0.8575","0.4791","0.6601","0.4211","1.0008","1.0015","1.0006","1.0002",6418,4926,4078,3578,3108,2957,3048,3165
"I00_I99","2000_2005","2021_2024",20,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.45(-7.40,8.12)","-0.32(-8.84,8.30)","1.13(-5.96,8.42)","0.96(-6.69,8.55)","0.9090","0.9310","0.7691","0.8090","1.0011","1.0002","1.0007","1.0017",5446,5108,5227,4971,3159,2818,2937,2985
"I00_I99","2000_2005","2021_2024",20,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-1.79(-9.42,5.76)","0.26(-6.14,6.78)","2.40(-4.14,9.21)","2.04(-4.96,9.12)","0.6681","0.9390","0.4851","0.5561","1.0005","1.0007","1.0023","1.0008",5144,4113,3849,4660,2953,3021,3259,3074
"I00_I99","2000_2005","2021_2024",20,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","-2.30(-10.72,6.13)","-4.63(-11.79,2.45)","4.10(-2.71,10.74)","2.77(-3.92,9.34)","0.5931","0.1982","0.2237","0.4061","1.0007","1.0005","0.9999","1.0003",6216,5218,4342,3720,2717,3258,3447,3241
"I00_I99","2000_2005","2021_2024",20,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","1.83(-6.05,9.72)","1.80(-4.95,8.66)","-2.75(-9.26,3.85)","-4.64(-11.75,2.51)","0.6646","0.6341","0.4081","0.2072","1.0005","1.0003","0.9999","1.0024",5991,4588,4268,3668,3250,3011,3360,3041
"I00_I99","2000_2005","2006_2010",5,"Census_Region_2_EQI+SM+PA+OB","0.00","22.14(16.60,27.86)","23.34(18.05,28.43)","20.45(15.30,25.70)","20.72(15.23,26.43)","0.0002","0.0002","0.0002","0.0002","1.0008","1.0007","1.0024","1.0024",2974,2430,2114,1910,2777,2455,2278,2481
"I00_I99","2000_2005","2006_2010",5,"Census_Region_2_EQI_Air+SM+PA+OB","0.00","6.03(1.34,10.75)","12.17(7.29,17.10)","9.20(4.11,14.43)","9.53(3.84,15.08)","0.0122","0.0002","0.0007","0.0007","1.0007","1.0014","1.0017","1.0024",3420,3203,2671,2491,3037,2789,3129,3025
"I00_I99","2000_2005","2006_2010",5,"Census_Region_2_EQI_Water+SM+PA+OB","0.00","-2.03(-7.29,3.18)","4.71(-0.72,9.96)","4.36(-0.76,9.52)","3.13(-3.24,9.17)","0.4571","0.0917","0.0972","0.3012","1.0022","1.0010","1.0001","1.0007",2991,2940,2889,3283,2692,2811,3079,2878
"I00_I99","2000_2005","2006_2010",5,"Census_Region_2_EQI_Land+SM+PA+OB","0.00","1.34(-4.44,7.32)","6.96(1.39,12.32)","14.22(8.85,19.47)","14.00(8.42,19.36)","0.6666","0.0142","0.0002","0.0002","1.0014","1.0025","1.0019","1.0012",3524,2766,2383,2700,2716,2439,2805,2465
"I00_I99","2000_2005","2006_2010",5,"Census_Region_2_EQI_Built+SM+PA+OB","0.00","14.01(9.22,18.78)","11.34(6.80,15.92)","12.82(7.93,17.57)","14.44(9.32,19.45)","0.0002","0.0002","0.0002","0.0002","0.9999","0.9997","1.0002","1.0012",3590,3322,3024,2863,3416,3020,2926,2720
"I00_I99","2000_2005","2006_2010",5,"Census_Region_2_EQI_Social+SM+PA+OB","0.00","-5.51(-11.14,0.31)","-4.49(-9.62,0.68)","-3.09(-8.30,2.14)","-6.25(-12.15,-0.49)","0.0672","0.0927","0.2502","0.0327","1.0020","1.0016","1.0016","0.9999",3698,2764,2456,2331,3332,2997,2693,2786
"I00_I99","2000_2005","2011_2015",10,"Census_Region_2_EQI+SM+PA+OB","0.00","21.91(16.80,26.96)","22.63(17.86,27.33)","22.18(17.19,27.08)","21.14(15.75,26.67)","0.0002","0.0002","0.0002","0.0002","1.0011","1.0009","1.0008","1.0012",2872,2273,2085,1874,2748,2660,2425,2396
"I00_I99","2000_2005","2011_2015",10,"Census_Region_2_EQI_Air+SM+PA+OB","0.00","6.18(1.73,10.71)","10.14(5.63,14.91)","8.30(3.27,13.42)","5.06(-0.53,10.61)","0.0067","0.0002","0.0007","0.0777","1.0009","1.0006","0.9999","1.0018",3448,3029,3005,2674,2965,2855,2931,2761
"I00_I99","2000_2005","2011_2015",10,"Census_Region_2_EQI_Water+SM+PA+OB","0.00","-6.60(-11.71,-1.79)","3.76(-1.31,8.74)","5.56(0.45,10.50)","3.33(-2.34,9.03)","0.0082","0.1562","0.0312","0.2647","1.0000","1.0020","1.0003","1.0005",3298,2730,3073,3492,3445,2875,2823,3103
"I00_I99","2000_2005","2011_2015",10,"Census_Region_2_EQI_Land+SM+PA+OB","0.00","0.57(-5.30,6.25)","6.12(0.90,11.30)","14.39(9.22,19.47)","15.25(9.92,20.46)","0.8365","0.0242","0.0002","0.0002","1.0015","1.0018","1.0010","1.0014",3368,2963,2712,2745,2718,2975,2952,2883
"I00_I99","2000_2005","2011_2015",10,"Census_Region_2_EQI_Built+SM+PA+OB","0.00","16.26(11.55,20.82)","12.85(8.59,17.35)","14.09(9.51,18.80)","15.30(10.44,20.38)","0.0002","0.0002","0.0002","0.0002","1.0007","1.0007","1.0045","1.0013",3223,2793,2911,2832,2753,2804,3063,3027
"I00_I99","2000_2005","2011_2015",10,"Census_Region_2_EQI_Social+SM+PA+OB","0.00","-3.64(-9.14,2.00)","-3.32(-8.39,1.53)","1.88(-3.03,7.00)","-4.80(-10.33,0.80)","0.1937","0.1877","0.4571","0.0992","1.0006","1.0006","1.0007","1.0009",3543,3141,2565,2553,3056,3056,2919,3024
"I00_I99","2000_2005","2016_2020",15,"Census_Region_2_EQI+SM+PA+OB","0.00","21.68(16.54,26.85)","18.37(13.67,23.30)","18.44(13.53,23.22)","23.25(17.99,28.65)","0.0002","0.0002","0.0002","0.0002","1.0002","1.0015","1.0015","1.0015",2834,2294,2189,1979,2879,2177,2503,2736
"I00_I99","2000_2005","2016_2020",15,"Census_Region_2_EQI_Air+SM+PA+OB","0.00","9.46(5.08,13.80)","8.24(3.84,12.79)","11.34(6.54,16.35)","10.34(4.76,15.75)","0.0002","0.0007","0.0002","0.0007","1.0009","1.0013","1.0004","1.0009",3737,3204,2996,2905,3176,3204,3276,3048
"I00_I99","2000_2005","2016_2020",15,"Census_Region_2_EQI_Water+SM+PA+OB","0.00","-4.33(-9.37,0.74)","5.02(-0.02,10.21)","4.19(-0.85,9.27)","4.11(-1.62,10.10)","0.0952","0.0512","0.1022","0.1657","1.0006","0.9999","1.0008","1.0002",3289,2846,2897,3064,3179,3013,2934,3012
"I00_I99","2000_2005","2016_2020",15,"Census_Region_2_EQI_Land+SM+PA+OB","0.00","1.33(-4.13,6.78)","5.56(0.55,10.69)","12.41(7.24,17.52)","13.03(7.76,18.39)","0.6286","0.0317","0.0002","0.0002","0.9999","1.0002","1.0006","1.0005",3290,2504,2242,2158,2821,2728,2745,2341
"I00_I99","2000_2005","2016_2020",15,"Census_Region_2_EQI_Built+SM+PA+OB","0.00","14.25(9.64,18.45)","13.80(9.46,18.18)","12.49(8.14,16.73)","16.96(12.45,21.65)","0.0002","0.0002","0.0002","0.0002","1.0003","1.0001","1.0012","1.0017",3938,3265,3039,3182,3073,3168,3217,3170
"I00_I99","2000_2005","2016_2020",15,"Census_Region_2_EQI_Social+SM+PA+OB","0.00","-5.13(-10.56,0.32)","-1.20(-6.04,3.77)","0.20(-4.61,5.28)","-3.75(-9.43,1.87)","0.0597","0.6366","0.9555","0.1952","0.9997","1.0005","1.0011","1.0002",3472,2823,2468,2366,2936,2993,2973,2674
"I00_I99","2000_2005","2021_2024",20,"Census_Region_2_EQI+SM+PA+OB","0.00","10.54(3.48,17.63)","7.71(1.22,14.08)","8.87(2.37,15.15)","13.77(6.68,20.89)","0.0047","0.0192","0.0087","0.0002","1.0026","1.0007","1.0019","1.0010",4281,3526,3058,2749,3250,3136,3243,2927
"I00_I99","2000_2005","2021_2024",20,"Census_Region_2_EQI_Air+SM+PA+OB","0.00","5.50(-0.51,11.77)","4.25(-2.09,10.65)","9.50(2.91,15.94)","7.20(0.19,14.29)","0.0782","0.2002","0.0057","0.0442","0.9999","1.0004","1.0008","0.9998",3925,4019,3506,3182,2893,2854,2796,2689
"I00_I99","2000_2005","2021_2024",20,"Census_Region_2_EQI_Water+SM+PA+OB","0.00","-6.79(-13.49,0.06)","1.55(-5.11,8.19)","5.12(-1.38,11.80)","1.62(-6.10,9.16)","0.0532","0.6476","0.1307","0.6736","0.9998","1.0004","1.0011","1.0008",3971,3453,3483,3844,3104,3116,2910,2930
"I00_I99","2000_2005","2021_2024",20,"Census_Region_2_EQI_Land+SM+PA+OB","0.00","-3.97(-11.24,3.54)","-0.63(-7.24,6.09)","6.08(-0.50,12.44)","7.31(0.54,13.94)","0.2852","0.8530","0.0677","0.0342","1.0006","1.0020","1.0019","1.0007",4234,3206,3225,3476,2629,2826,2995,3034
"I00_I99","2000_2005","2021_2024",20,"Census_Region_2_EQI_Built+SM+PA+OB","0.00","5.27(-1.19,11.40)","6.82(0.62,12.90)","8.64(2.27,14.65)","11.48(5.08,17.96)","0.1207","0.0342","0.0062","0.0002","1.0013","1.0017","0.9998","1.0010",4411,3954,3693,3508,3013,3009,3158,3062
"I00_I99","2000_2005","2021_2024",20,"Census_Region_2_EQI_Social+SM+PA+OB","0.00","-6.01(-13.11,1.18)","-4.98(-11.66,1.64)","2.44(-3.96,8.87)","-1.23(-8.07,5.93)","0.1117","0.1472","0.4516","0.7376","1.0012","1.0005","1.0008","1.0007",4539,3853,3185,2838,2994,3093,3195,3109
"I00_I99","2000_2005","2006_2010",5,"Census_Region_3_EQI+SM+PA+OB","0.00","8.91(4.80,12.85)","8.75(4.35,13.11)","10.47(5.57,15.35)","12.00(6.09,18.16)","0.0002","0.0002","0.0002","0.0002","1.0029","1.0012","1.0010","1.0016",2885,2598,2342,2270,2996,2668,2760,2809
