ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
I00_I99,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"-2.04(-9.68,5.72)","6.07(-0.71,12.68)","0.90(-5.10,6.85)","0.41(-5.67,6.54)",0.5984,0.0810,0.7884,0.9067,1.0010,1.0020,1.0013,1.0003,4717,3740,3568,3127,3558,3374,3593,3361
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-2.97(-10.28,4.53)","-2.94(-9.37,3.42)","0.33(-5.88,6.64)","9.15(3.14,15.30)","0.4314","0.3772","0.9271","0.0023","1.0005","1.0021","1.0007","1.0016",4587,3821,3821,3386,3579,3791,3469,3631
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","4.87(-1.77,11.65)","-8.60(-15.79,-1.36)","-7.97(-13.83,-1.91)","-7.55(-13.94,-0.87)","0.1531","0.0210","0.0110","0.0273","1.0020","1.0003","1.0002","1.0016",5782,4335,4319,4238,3757,4070,3810,3917
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","2.57(-4.25,9.46)","2.48(-3.35,8.29)","-1.53(-7.72,4.29)","-3.20(-9.56,3.11)","0.4672","0.3964","0.6080","0.3156","1.0005","1.0010","1.0011","1.0012",4366,2760,2654,3115,3788,3893,3570,3073
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","1.79(-5.97,9.56)","-0.62(-6.98,5.86)","1.70(-4.42,7.68)","0.58(-5.61,6.67)","0.6526","0.8321","0.5722","0.8454","1.0017","1.0004","1.0007","1.0032",5794,4069,3563,3176,3927,3828,3328,3393
"I00_I99","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","-2.34(-9.38,4.37)","4.61(-1.49,10.65)","-6.77(-12.71,-0.85)","-6.93(-13.24,-0.66)","0.5159","0.1277","0.0235","0.0298","0.9994","1.0003","1.0000","0.9996",5057,3619,3293,2938,4023,3977,3497,3430
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-6.62(-14.26,0.98)","8.47(2.40,14.72)","3.95(-1.80,9.86)","6.19(0.18,12.16)","0.0844","0.0065","0.1914","0.0423","1.0010","0.9996","1.0003","1.0007",5056,3113,2967,2546,3660,3632,3590,3469
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","-0.68(-8.06,6.52)","1.35(-4.76,7.64)","2.08(-4.06,8.33)","7.64(1.48,13.84)","0.8492","0.6688","0.4955","0.0135","1.0020","1.0000","1.0009","1.0015",4306,3515,3149,3035,3940,3566,3505,3398
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","0.75(-5.43,7.12)","-7.93(-14.73,-1.22)","-4.53(-10.14,1.07)","-3.61(-9.86,2.48)","0.8346","0.0198","0.1106","0.2518","1.0011","1.0016","1.0002","0.9998",5040,4211,3789,3752,3902,3979,4079,3663
"I00_I99","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","0.00(-6.47,6.41)","1.63(-3.83,7.39)","1.09(-4.62,6.55)","0.22(-5.47,6.12)","0.9979","0.5597","0.6984","0.9375","1.0002","1.0010","1.0010","1.0012",3546,2979,3037,3280,3492,3516,3713,3757
