ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"-4.69(-11.81,2.30)","-2.79(-8.54,3.04)","1.34(-4.07,7.05)","1.72(-3.98,7.55)",0.1932,0.3402,0.6321,0.5511,1.0013,1.0016,1.0026,1.0025,3668,2607,2318,2298,2685,2822,2998,2801
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","2.38(-4.24,9.23)","-2.27(-8.11,3.43)","-0.14(-5.84,5.74)","-2.33(-8.21,3.54)","0.4806","0.4531","0.9560","0.4366","0.9996","1.0018","1.0005","1.0008",3114,2531,2443,2345,2926,2774,2688,2629
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","-5.12(-10.72,0.29)","5.29(-0.74,11.37)","2.30(-2.60,7.32)","3.68(-1.69,8.96)","0.0662","0.0852","0.3562","0.1637","1.0007","1.0011","0.9999","0.9999",3420,3048,2743,2969,2984,2892,2789,2709
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-4.19(-10.02,1.93)","-1.18(-6.28,4.16)","2.10(-2.91,7.20)","1.92(-3.41,7.28)","0.1657","0.6721","0.4381","0.4951","1.0014","1.0009","1.0005","1.0011",2371,2041,2128,2131,2941,2614,2831,2735
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","0.76(-5.67,7.10)","-3.30(-8.38,1.97)","1.62(-3.62,6.66)","0.58(-4.61,5.78)","0.8090","0.2107","0.5356","0.8170","1.0003","1.0032","1.0010","1.0015",3336,2488,2420,2348,3412,3066,2851,2688
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","0.84(-5.07,6.59)","2.04(-3.30,7.27)","1.70(-3.53,6.76)","2.27(-3.28,7.93)","0.7801","0.4506","0.5281","0.4401","1.0003","1.0008","1.0008","1.0004",3257,2775,2364,2321,3103,2923,2969,2732
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-5.80(-12.84,1.37)","-3.46(-9.17,2.29)","-0.17(-5.46,5.21)","3.03(-2.68,8.54)","0.1092","0.2552","0.9515","0.3007","0.9995","1.0005","1.0006","1.0001",3460,2033,1856,1811,3046,2814,2463,2326
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","1.66(-4.89,8.07)","-3.09(-9.23,2.82)","2.20(-3.61,7.82)","1.32(-4.27,7.06)","0.6196","0.2937","0.4571","0.6486","1.0007","1.0009","1.0002","1.0012",3427,2759,2603,2430,2611,2858,2868,2643
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","-3.96(-9.65,1.52)","6.39(0.23,12.50)","3.34(-1.56,8.27)","1.80(-3.55,7.23)","0.1667","0.0442","0.1857","0.5001","1.0001","1.0008","1.0002","1.0022",3882,3470,2914,2768,3451,2687,2994,2794
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-1.65(-7.45,4.11)","-0.69(-6.10,4.74)","1.31(-4.18,6.55)","1.44(-4.29,6.97)","0.5916","0.8010","0.6361","0.6021","1.0004","1.0010","1.0001","1.0007",2772,2058,2321,2498,3378,2796,2768,2641
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","0.88(-5.45,7.48)","-5.23(-10.51,0.03)","-0.23(-5.58,4.95)","-1.95(-7.24,3.25)","0.7841","0.0537","0.9365","0.4726","1.0007","1.0000","1.0006","1.0015",3998,2944,2958,2860,3038,3031,2940,2996
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","0.36(-5.64,6.41)","3.25(-1.92,8.48)","1.05(-4.21,6.33)","3.05(-2.43,8.64)","0.9025","0.2162","0.6821","0.2827","1.0005","1.0003","1.0005","1.0005",3118,2744,2372,2342,3153,2781,2726,2937
"G20_G30_G12.2_F01_F03","2000_2005","2016_2020",15,"Census_Region_1_EQI+SM+PA+OB","0.00","-7.80(-14.68,-0.57)","-4.64(-10.46,1.27)","1.81(-3.58,7.19)","7.06(1.56,12.64)","0.0357","0.1117","0.5106","0.0127","1.0021","1.0022","1.0016","1.0026",3767,2435,2234,2030,2876,2657,2976,2594
