ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,0.00,"-4.62(-11.86,2.51)","-2.64(-8.39,3.33)","1.50(-4.01,6.88)","1.84(-3.86,7.53)",0.2060,0.3768,0.5818,0.5255,1.0008,1.0008,1.0014,1.0011,4444,2764,2533,2324,3002,3466,3252,3068
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","2.55(-4.00,9.42)","-2.12(-8.00,3.89)","0.01(-5.81,5.82)","-2.23(-7.81,3.49)","0.4630","0.4759","0.9942","0.4455","1.0004","1.0009","1.0015","1.0011",3987,3191,3058,2925,3537,3619,3471,3452
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","-5.21(-10.66,0.27)","5.26(-0.49,11.26)","2.24(-2.76,7.33)","3.65(-1.73,9.04)","0.0623","0.0806","0.3835","0.1735","1.0010","1.0001","1.0008","1.0020",4658,4305,3431,3600,3234,3907,3366,3625
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-4.42(-10.35,1.51)","-1.32(-6.50,3.84)","1.97(-3.22,7.35)","1.80(-3.68,7.33)","0.1477","0.6255","0.4605","0.5180","1.0029","1.0043","1.0029","1.0016",3460,2705,2844,2971,3615,3122,3249,3274
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","0.00","0.76(-5.54,7.13)","-3.27(-8.42,2.13)","1.61(-3.69,6.91)","0.61(-4.76,5.90)","0.8117","0.2335","0.5393","0.8384","1.0002","1.0010","1.0011","1.0013",4172,3328,3087,2995,3807,3688,3499,3459
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","0.00","0.74(-5.13,6.66)","1.94(-3.42,7.26)","1.60(-3.69,6.87)","2.17(-3.46,7.95)","0.8150","0.4834","0.5443","0.4493","1.0010","1.0016","1.0021","1.0034",3806,3054,2778,2535,3735,3391,3324,3096
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","0.00","-5.76(-12.91,1.34)","-3.35(-9.07,2.53)","-0.12(-5.28,5.23)","3.10(-2.27,8.71)","0.1139","0.2539","0.9817","0.2614","1.0015","1.0002","1.0010","1.0015",4036,3036,2583,2373,3909,3559,3356,3243
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","0.00","1.65(-4.93,8.18)","-3.04(-8.81,2.82)","2.21(-3.29,7.98)","1.31(-4.41,7.03)","0.6155","0.3072","0.4372","0.6617","1.0009","1.0004","1.0022","1.0002",4255,3360,2984,2905,3888,3903,3699,4005
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","0.00","-3.93(-9.40,1.61)","6.44(0.39,12.34)","3.36(-1.75,8.40)","1.74(-3.57,7.03)","0.1698","0.0390","0.1956","0.5209","0.9998","1.0015","0.9999","1.0011",4605,4321,3881,3830,3786,3182,3817,3736
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","0.00","-1.55(-7.37,4.33)","-0.58(-5.95,4.59)","1.45(-3.83,6.70)","1.54(-3.91,7.02)","0.6197","0.8217","0.5834","0.5976","1.0001","1.0011","1.0011","1.0015",3572,2944,2983,3187,3940,3439,3387,3508
