ICD_Code,EQI_Period,AAMR_Period,Lag,Model,Q1,Q2,Q3,Q4,Q5,Q2_p,Q3_p,Q4_p,Q5_p,Q2_rhat,Q3_rhat,Q4_rhat,Q5_rhat,Q2_ess_bulk,Q3_ess_bulk,Q4_ess_bulk,Q5_ess_bulk,Q2_ess_tail,Q3_ess_tail,Q4_ess_tail,Q5_ess_tail
G20_G30_G12.2_F01_F03,2000_2005,2006_2010,5,Census_Region_1_EQI+SM+PA+OB,"1.00(1.00,1.00)","0.92(0.81,1.04)","0.96(0.87,1.06)","1.03(0.94,1.12)","1.03(0.94,1.14)",0.2060,0.3768,0.5818,0.5255,1.0008,1.0008,1.0014,1.0011,4444,2764,2533,2324,3002,3466,3252,3068
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.04(0.94,1.17)","0.97(0.87,1.07)","1.00(0.91,1.11)","0.96(0.87,1.06)","0.4630","0.4759","0.9942","0.4455","1.0004","1.0009","1.0015","1.0011",3987,3191,3058,2925,3537,3619,3471,3452
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.91(0.82,1.00)","1.09(0.99,1.20)","1.04(0.96,1.13)","1.06(0.97,1.17)","0.0623","0.0806","0.3835","0.1735","1.0010","1.0001","1.0008","1.0020",4658,4305,3431,3600,3234,3907,3366,3625
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.93(0.83,1.03)","0.98(0.90,1.07)","1.04(0.95,1.13)","1.03(0.94,1.13)","0.1477","0.6255","0.4605","0.5180","1.0029","1.0043","1.0029","1.0016",3460,2705,2844,2971,3615,3122,3249,3274
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.01(0.91,1.13)","0.95(0.86,1.04)","1.03(0.94,1.13)","1.01(0.92,1.11)","0.8117","0.2335","0.5393","0.8384","1.0002","1.0010","1.0011","1.0013",4172,3328,3087,2995,3807,3688,3499,3459
"G20_G30_G12.2_F01_F03","2000_2005","2006_2010",5,"Census_Region_1_EQI_Social+SM+PA+OB","1.00(1.00,1.00)","1.01(0.92,1.12)","1.03(0.95,1.13)","1.03(0.94,1.12)","1.04(0.94,1.15)","0.8150","0.4834","0.5443","0.4493","1.0010","1.0016","1.0021","1.0034",3806,3054,2778,2535,3735,3391,3324,3096
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI+SM+PA+OB","1.00(1.00,1.00)","0.92(0.83,1.02)","0.95(0.88,1.04)","1.00(0.93,1.08)","1.04(0.97,1.13)","0.1139","0.2539","0.9817","0.2614","1.0015","1.0002","1.0010","1.0015",4036,3036,2583,2373,3909,3559,3356,3243
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Air+SM+PA+OB","1.00(1.00,1.00)","1.02(0.93,1.12)","0.96(0.88,1.04)","1.03(0.95,1.12)","1.02(0.94,1.11)","0.6155","0.3072","0.4372","0.6617","1.0009","1.0004","1.0022","1.0002",4255,3360,2984,2905,3888,3903,3699,4005
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Water+SM+PA+OB","1.00(1.00,1.00)","0.94(0.86,1.02)","1.09(1.01,1.19)","1.05(0.98,1.13)","1.03(0.95,1.11)","0.1698","0.0390","0.1956","0.5209","0.9998","1.0015","0.9999","1.0011",4605,4321,3881,3830,3786,3182,3817,3736
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Land+SM+PA+OB","1.00(1.00,1.00)","0.98(0.90,1.07)","0.99(0.92,1.07)","1.02(0.95,1.10)","1.02(0.95,1.11)","0.6197","0.8217","0.5834","0.5976","1.0001","1.0011","1.0011","1.0015",3572,2944,2983,3187,3940,3439,3387,3508
"G20_G30_G12.2_F01_F03","2000_2005","2011_2015",10,"Census_Region_1_EQI_Built+SM+PA+OB","1.00(1.00,1.00)","1.01(0.92,1.11)","0.93(0.85,1.00)","1.00(0.93,1.07)","0.97(0.90,1.05)","0.8167","0.0556","0.9071","0.4551","1.0006","1.0010","1.0013","1.0017",4744,3334,2970,3070,3741,3956,3588,3699
